"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2011","0","1","0","1"
"Legal Services Corporation","Agency Overall","2011","0","2","0","2"
"Office of Special Counsel","Agency Overall","2011","14","9","19","7"
"Merit Systems Protection Board","Agency Overall","2011","7","8","7","8"
"National Endowment for the Arts","Agency Overall","2011","2","4","2","4"
"Federal Mediation and Conciliation Service","Agency Overall","2011","1","0","1","0"
"Millennium Challenge Corporation","Agency Overall","2011","0","1","0","1"
"Department of Defense","Agency Overall","2011","1107","1066","1023","907"
"Inter-American Foundation","Agency Overall","2011","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","12","9","12","10"
"Federal Labor Relations Authority","Agency Overall","2011","3","6","1","8"
"National Archives and Records Administration","Agency Overall","2011","39","66","37","64"
"Department of Energy","Agency Overall","2011","91","74","88","70"
"Office of Personnel Management","Agency Overall","2011","35","31","34","26"
"Department of Commerce","Agency Overall","2011","97","83","84","108"
"Department of Agriculture","Agency Overall","2011","197","225","217","192"
"Federal Reserve System","Agency Overall","2011","10","16","9","17"
"Office of Government Ethics","Agency Overall","2011","4","3","4","3"
"Small Business Administration","Agency Overall","2011","20","22","19","22"
"General Services Administration","Agency Overall","2011","23","22","21","21"
"National Mediation Board","Agency Overall","2011","2","0","2","0"
"Federal Election Commission","Agency Overall","2011","2","1","0","3"
"Peace Corps","Agency Overall","2011","8","13","0","11"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","2","1","2","2"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","1","4","0","3"
"National Labor Relations Board","Agency Overall","2011","27","79","27","58"
"Federal Deposit Insurance Corporation","Agency Overall","2011","17","39","20","38"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","0","3","0","3"
"National Endowment for the Humanities","Agency Overall","2011","2","2","2","1"
"Federal Trade Commission","Agency Overall","2011","12","28","13","25"
"United States African Development Foundation","Agency Overall","2011","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","24","13","28","14"
"Postal Regulatory Commission","Agency Overall","2011","1","0","1","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","7","15","4","3"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","1","0","1"
"Environmental Protection Agency","Agency Overall","2011","408","430","430","416"
"Social Security Administration","Agency Overall","2011","155","98","148","100"
"Department of Labor","Agency Overall","2011","353","338","398","393"
"Federal Open Market Committee","Agency Overall","2011","1","1","1","1"
"Department of the Interior","Agency Overall","2011","151","174","304","230"
"National Science Foundation","Agency Overall","2011","6","20","5","21"
"United States Copyright Office","Agency Overall","2011","0","2","0","2"
"Consumer Product Safety Commission","Agency Overall","2011","24","21","24","21"
"United States International Boundary and Water Commission","Agency Overall","2011","1","2","1","2"
"All agencies","Agency Overall","2011","11150","10920","14199","10892"
