"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","2011-09-15","11","2011-09-14","12","2011-09-14","12","2011-09-14","12","2011-09-13","13","2011-09-12","14","2011-09-12","14","2011-09-09","15","2011-09-09","15","2011-08-29","23"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-11-23","215"
"Selective Service System","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2011","2010-11-18","218","2010-11-17","219","2010-10-12","244","2010-10-01","250","2010-08-09","288","2010-08-09","288","2010-08-05","290","2010-07-30","294","2010-06-24","319","2010-06-21","322"
"U.S. Department of State","Agency Overall","2011","2005-04-22","1623","2005-03-30","1640","2005-03-07","1657","2005-02-28","1662","2005-02-22","1666","2005-02-02","1679","2004-10-07","1757","2004-09-13","1775","2004-06-30","1826","2001-02-08","2673"
"Central Intelligence Agency","Agency Overall","2011","2004-07-28","2621","2004-06-03","2676","2004-04-21","2718","2004-02-25","2774","2003-12-12","2832","2003-11-24","2868","2003-07-15","3000","2003-07-10","3005","2003-05-19","3056","2001-01-26","3900"
"Federal Communications Commission","Agency Overall","2011","2010-12-07","206","2010-12-02","209","2010-09-30","251","2010-07-13","308","2010-03-24","387","2009-12-14","459","2009-11-18","477","2009-05-29","600","2009-03-04","662","2007-04-17","1153"
"National Transportation Safety Board","Agency Overall","2011","2010-12-17","205","2010-11-18","226","2010-11-16","228","2010-11-16","228","2010-11-12","230","2010-11-01","239","2010-09-24","265","2010-08-23","289","2010-07-30","305","2009-07-29","567"
"United States Trade and Development Agency","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2010-06-05","332"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-08-25","5","2011-08-02","22","2011-07-28","25","2011-07-19","32"
"Department of Transportation","Agency Overall","2011","2006-10-26","1272","2006-10-26","1272","2006-10-26","1272","2006-10-25","1273","2006-10-25","1273","2006-10-19","1277","2006-10-10","1284","2006-10-04","1287","2006-09-18","1299","2006-09-11","1304"
"Farm Credit System Insurance Corporation","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-17","10"
"Department of Homeland Security","Agency Overall","2011","2006-01-19","1430","2006-01-19","1430","2006-01-19","1430","2006-01-19","1430","2006-01-19","1430","2005-12-02","1461","2005-12-02","1461","2005-11-30","1463","2004-11-01","1735","2004-10-27","1738"
"Office of National Drug Control Policy","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-27","3","2011-09-16","11","2011-08-29","23","2011-08-23","27"
"United States International Trade Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-28","2","2011-09-26","4","2011-09-16","10"
"Equal Employment Opportunity Commission","Agency Overall","2011","2010-12-20","197","2010-12-08","205","2010-12-03","208","2010-12-01","210","2010-12-01","210","2010-11-10","223","2010-10-29","231","2010-08-31","272","2010-08-31","272","2010-08-31","272"
"Federal Housing Finance Agency","Agency Overall","2011","2011-09-20","8","2011-09-19","9","2011-09-16","10","2011-09-13","13","2011-09-09","15","2011-09-09","15","2011-09-07","17","2011-06-24","68","2011-03-02","149","2011-01-06","186"
"National Aeronautics and Space Administration","Agency Overall","2011","2011-04-14","118","2011-03-30","129","2010-12-15","200","2010-08-10","287","2010-07-27","297","2010-07-12","308","2010-04-19","366","2009-05-06","604","2009-05-06","604","2008-10-22","738"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Overseas Private Investment Corporation","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Financial Institutions Examination Council","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Education","Agency Overall","2011","2009-09-08","539","2009-08-25","549","2009-08-11","559","2009-08-03","565","2009-07-31","566","2009-07-30","567","2009-07-27","570","2009-07-09","582","2009-06-02","609","2008-12-17","728"
"Department of Veterans Affairs","Agency Overall","2011","2009-10-28","483","2009-10-13","494","2009-08-19","531","2009-07-27","548","2009-07-23","550","2009-07-16","555","2009-04-29","609","2009-04-14","620","2009-04-08","624","2009-03-05","648"
"National Railroad Passenger Corporation","Agency Overall","2011","2010-07-28","296","2010-05-21","342","2010-04-26","361","2010-04-21","364","2010-04-20","365","2010-03-05","397","2010-02-16","410","2010-01-19","429","2010-01-15","430","2006-03-06","1401"
"Institute of Museum and Library Services","Agency Overall","2011","N/A","0","N/A","0","N/A","0","2011-09-29","1","2011-09-29","1","2011-09-26","4","2011-09-26","4","2011-09-19","9","2011-09-16","10","2011-09-16","10"
"Surface Transportation Board","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2011","2010-05-17","346","2010-03-26","382","2010-03-24","384","2009-11-03","479","2009-09-25","505","2009-09-22","508","2009-09-18","510","2009-08-27","525","2009-08-18","532","2008-12-17","700"
"Department of Justice","Agency Overall","2011","2008-02-01","920","2008-01-30","931","2008-01-30","931","2008-01-29","932","2008-01-18","939","2008-01-16","941","2008-01-14","943","2008-01-11","944","2007-10-24","1001","2007-07-18","1071"
"U.S. Commission on Civil Rights","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-12","14"
"Armed Forces Retirement Home","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-22","7","2011-09-21","8","2011-09-19","10","2011-09-19","10"
"Office of Management and Budget","Agency Overall","2011","2011-09-09","15","2011-09-09","15","2011-09-07","17","2011-09-07","17","2011-09-07","17","2011-09-07","17","2011-09-07","17","2011-09-07","17","2011-08-31","21","2010-01-08","435"
"U.S. Agency for International Development","Agency Overall","2011","2008-05-01","857","2008-04-28","860","2008-04-24","862","2008-04-21","865","2008-03-27","882","2008-01-03","940","2007-02-12","1163","2006-10-05","1249","2006-09-01","1272","2006-02-03","1419"
"Federal Energy Regulatory Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-28","28","2011-01-05","188","2010-12-07","204","2010-10-27","231","2004-10-27","1487"
"Court Services and Offender Supervision Agency","Agency Overall","2011","2011-03-28","167","2011-03-22","171","2011-03-22","171","2011-03-22","171","2011-03-16","175","2011-03-02","185","2011-03-02","185","2011-02-28","187","2011-02-28","187","2010-12-20","233"
"National Capital Planning Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Legal Services Corporation","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2011","2011-02-04","167","2011-01-25","175","2011-01-03","190","2010-12-29","192","2010-12-20","198","2010-10-25","236","2010-10-01","251","2010-07-06","313","2009-11-12","473","2009-09-29","503"
"Merit Systems Protection Board","Agency Overall","2011","N/A","0","2011-09-29","2","2011-09-27","4","2011-09-23","6","2011-09-13","14","2011-09-12","15","2011-08-29","24","2011-08-15","34","2011-05-31","87","2011-03-29","131"
"National Endowment for the Arts","Agency Overall","2011","2011-09-27","4","2011-09-26","5","2011-09-23","6","2011-09-22","7","2011-09-19","10","2011-09-12","15","2011-08-12","35","2011-07-13","57","2011-03-24","134","2010-10-14","243"
"Federal Mediation and Conciliation Service","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2011","1998-02-10","3418","1998-02-09","3419","1996-11-15","3725","1996-05-16","3851","1996-05-09","3856","1996-05-06","3859","1996-05-02","3861","1996-03-11","3899","1995-08-16","4039","1995-07-13","4063"
"Inter-American Foundation","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-19","2"
"Farm Credit Administration","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-23","5","2011-09-17","10"
"American Battle Monuments Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-08-02","42"
"National Credit Union Administration","Agency Overall","2011","2011-07-26","47","2011-06-30","64","2011-06-17","73","2011-05-06","102","2011-05-06","102","2011-05-03","105","2011-03-10","143","2011-02-15","159","2011-02-15","159","2011-02-09","163"
"Federal Labor Relations Authority","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-19","17"
"National Archives and Records Administration","Agency Overall","2011","1993-10-17","4506","1993-09-09","4532","1993-08-02","4560","1993-07-20","4568","1993-06-30","4581","1993-05-31","4603","1993-05-03","4622","1993-01-14","4697","1992-10-05","4765","1992-09-28","4770"
"Department of Energy","Agency Overall","2011","2007-02-08","1167","2006-11-28","1216","2006-11-02","1232","2006-10-06","1250","2006-06-16","1328","2006-06-09","1333","2005-08-05","1544","2005-08-05","1544","2005-02-02","1673","2003-03-12","2149"
"Office of Personnel Management","Agency Overall","2011","2010-11-03","235","2010-11-03","235","2010-11-03","235","2010-11-03","235","2010-11-03","235","2010-11-03","235","2010-10-26","241","2010-10-25","242","2010-10-07","253","2010-10-06","254"
"Department of Commerce","Agency Overall","2011","2010-04-05","377","2010-02-22","407","2009-09-30","496","2009-09-22","502","2009-04-27","605","2009-03-04","643","2009-03-04","650","2009-03-03","651","2008-11-24","709","2007-08-24","1083"
"Department of Agriculture","Agency Overall","2011","2009-07-01","566","2009-06-30","588","2009-04-14","618","2009-03-13","641","2009-02-18","659","2009-01-28","673","2008-11-12","723","2008-05-06","738","2008-03-05","898","2007-05-22","1095"
"Federal Reserve System","Agency Overall","2011","2011-05-24","90","2011-05-16","96","2011-03-03","148","2011-02-09","163","2011-01-20","177","2010-03-26","383","2009-12-05","453","2009-09-02","518","2009-08-11","534","2009-07-18","555"
"Office of Government Ethics","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-28","8","2011-09-26","11","2011-09-19","26"
"Small Business Administration","Agency Overall","2011","2011-09-30","0","2011-09-30","0","2011-09-29","1","2011-09-28","2","2011-09-27","3","2011-09-26","4","2011-09-20","8","2011-09-20","8","2011-09-07","17","2011-08-23","27"
"General Services Administration","Agency Overall","2011","2011-07-23","48","2011-07-22","49","2011-06-30","64","2011-06-23","69","2011-06-21","71","2011-06-14","76","2011-06-09","79","2011-06-08","80","2011-05-26","87","2011-04-27","109"
"National Mediation Board","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-07-07","61","2011-07-06","62","2011-06-01","85","2011-03-24","127","2010-10-23","240"
"Federal Election Commission","Agency Overall","2011","2011-06-09","79","2011-06-02","84","2011-06-02","84","2011-04-19","115","2011-04-13","119","2011-04-01","127","2011-03-28","131","2011-03-08","145","2011-01-24","175","2010-10-04","249"
"Peace Corps","Agency Overall","2011","2011-05-24","134","2011-05-05","147","2011-03-19","180","2011-02-23","185","2011-02-14","204","2011-02-06","209","2011-01-18","223","2010-11-03","272","2010-10-12","278","2010-03-15","435"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2011","2011-08-22","38","2011-08-10","50","2011-06-27","93","2011-06-27","93","2011-06-02","118","2011-05-12","138","2011-05-12","138","2011-05-12","138","2010-12-14","245","2010-10-19","335"
"Administrative Conference of the United States","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-30","1","2011-09-23","6","2011-09-22","11","2011-09-17","14"
"Commodity Futures Trading Commission","Agency Overall","2011","2011-01-20","177","2011-01-19","178","2010-11-18","218","2010-11-12","222","2010-11-02","229","2010-10-21","237","2010-10-07","246","2010-08-27","274","2010-05-27","338","2009-12-22","446"
"National Labor Relations Board","Agency Overall","2011","2011-09-06","18","2011-09-06","18","2011-09-02","19","2011-09-02","19","2011-08-31","21","2011-08-31","21","2011-08-23","27","2011-08-22","28","2011-08-22","28","2011-08-22","28"
"Federal Deposit Insurance Corporation","Agency Overall","2011","2011-08-30","22","2011-08-30","22","2011-08-26","24","2011-08-25","25","2011-08-24","26","2011-08-24","26","2011-08-22","28","2011-08-03","41","2011-07-19","52","2011-07-19","52"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","2009-09-25","501","2009-07-30","541","2009-07-21","548","2009-03-17","636","2009-03-13","638","2008-12-04","703","2008-10-14","738","2008-08-28","769","2008-07-02","809","2008-02-14","906"
"National Endowment for the Humanities","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-22","7","2011-09-19","10","2011-09-19","10"
"Federal Trade Commission","Agency Overall","2011","2011-09-07","16","2011-08-31","17","2011-08-31","21","2011-08-30","23","2011-07-14","33","2011-05-25","88","2011-03-31","128","2011-03-22","133","2010-12-20","196","2010-05-12","329"
"United States African Development Foundation","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2011","2011-03-22","135","2011-03-17","138","2011-03-16","139","2011-03-16","139","2011-03-16","139","2011-03-14","141","2011-02-18","156","2011-02-11","161","2011-02-09","163","2011-01-13","181"
"Postal Regulatory Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2011","2008-04-23","1254","2008-04-23","1254","2008-04-23","1254","2008-03-19","1289","2007-08-30","1492","2007-07-17","1536","2007-07-06","1547","2007-04-16","1628","2007-02-21","1682","2006-12-18","1747"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-01","21","2011-08-29","24"
"Environmental Protection Agency","Agency Overall","2011","2005-07-19","1554","2005-07-18","1555","2005-07-11","1560","2005-06-28","1568","2005-06-14","1578","2005-06-06","1584","2005-03-17","1640","2005-03-08","1647","2005-01-05","1689","2004-12-01","1712"
"Social Security Administration","Agency Overall","2011","2011-06-07","84","2011-06-07","84","2011-06-07","84","2011-06-03","86","2011-05-03","109","2011-04-11","125","2011-03-28","135","2011-03-04","151","2011-02-25","156","2011-02-04","171"
"Department of Labor","Agency Overall","2011","2009-01-30","671","2009-01-13","683","2008-12-29","693","2008-12-01","707","2008-12-01","707","2007-09-25","1002","2007-08-13","1038","2007-01-23","1170","2006-10-05","1248","2005-05-31","1335"
"Federal Open Market Committee","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-07-20","51"
"Department of the Interior","Agency Overall","2011","2012-06-10","1252","2006-04-19","1370","2005-10-18","1495","2005-09-20","1514","2005-03-11","1648","2005-03-03","1654","2005-02-18","1662","2005-02-17","1663","2004-11-01","1736","2004-09-15","1768"
"National Science Foundation","Agency Overall","2011","2010-07-21","302","2010-07-21","302","2010-07-21","302","2010-07-21","302","2010-07-21","302","2010-07-21","302","2010-07-21","302","2010-07-15","306","2010-07-14","307","2010-07-14","307"
"United States Copyright Office","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-26","7","2011-09-21","9","2011-09-19","11","2011-09-02","21","2009-12-10","454"
"Consumer Product Safety Commission","Agency Overall","2011","2009-10-05","499","2009-09-17","511","2009-07-23","550","2009-07-22","551","2009-07-21","552","2009-06-30","566","2008-12-04","709","2008-12-02","711","2008-07-23","801","2008-03-31","881"
"United States International Boundary and Water Commission","Agency Overall","2011","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2011-09-23","3","2011-08-29","11"
