"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"National Railroad Passenger Corporation","Agency Overall","2011","0","1","0","0","0","0","0","0","0","0","1","0","0","2"
"Institute of Museum and Library Services","Agency Overall","2011","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Surface Transportation Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2011","7","1","1","0","0","0","2","0","0","0","0","0","0","11"
"Department of Justice","Agency Overall","2011","30","17","29","17","5","9","6","3","4","2","7","4","15","148"
"U.S. Commission on Civil Rights","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2011","1","0","1","1","0","0","0","0","0","0","1","1","0","5"
"Federal Energy Regulatory Commission","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Court Services and Offender Supervision Agency","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2011","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of Special Counsel","Agency Overall","2011","5","1","0","0","0","0","0","0","0","0","0","0","0","6"
"Merit Systems Protection Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2011","6","1","0","1","0","0","0","0","0","0","0","0","0","8"
"Federal Mediation and Conciliation Service","Agency Overall","2011","35","0","0","0","0","0","0","0","0","0","0","0","0","35"
"Millennium Challenge Corporation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Defense","Agency Overall","2011","966","22","8","3","1","2","2","0","1","1","5","8","5","1024"
"Inter-American Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2011","1","0","1","0","1","0","0","0","0","0","0","0","0","3"
"Federal Labor Relations Authority","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","2","0","0","3"
"Office of Personnel Management","Agency Overall","2011","19","18","28","10","1","1","1","0","0","0","0","0","0","78"
"Department of Commerce","Agency Overall","2011","14","1","0","2","1","0","0","0","0","0","0","0","0","18"
"Department of Agriculture","Agency Overall","2011","38","4","0","1","1","0","0","0","0","0","0","0","0","44"
"Federal Reserve System","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2011","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Small Business Administration","Agency Overall","2011","6","0","0","0","0","0","0","0","0","0","0","0","0","6"
"General Services Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2011","2","0","0","1","0","0","0","0","0","0","0","0","0","3"
"Federal Election Commission","Agency Overall","2011","3","0","0","0","0","0","0","0","0","0","0","0","0","3"
"Peace Corps","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2011","14","2","0","0","0","0","0","0","0","0","0","0","0","16"
"Federal Deposit Insurance Corporation","Agency Overall","2011","9","1","4","2","0","0","0","0","0","0","0","0","0","16"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","2","0","0","0","0","0","0","0","0","0","1","0","0","3"
"National Endowment for the Humanities","Agency Overall","2011","1","0","0","1","0","0","0","0","0","0","0","0","0","2"
"Federal Trade Commission","Agency Overall","2011","0","2","0","0","0","0","0","0","0","0","0","0","0","2"
"United States African Development Foundation","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nuclear Regulatory Commission","Agency Overall","2011","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Postal Regulatory Commission","Agency Overall","2011","2","0","0","0","0","0","0","0","0","0","0","0","0","2"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2011","12","4","1","1","0","1","0","0","0","0","0","0","0","19"
"Social Security Administration","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2011","152","22","9","4","3","2","3","0","3","1","9","5","1","214"
"Federal Open Market Committee","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2011","14","2","2","0","0","0","2","0","8","4","17","0","0","49"
"National Science Foundation","Agency Overall","2011","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"United States Copyright Office","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2011","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"United States International Boundary and Water Commission","Agency Overall","2011","5","0","0","0","0","0","0","0","0","0","0","0","0","5"
"All agencies","Agency Overall","2011","1623","172","104","51","19","18","22","3","16","10","51","26","33","2148"
