"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Department of Energy","Agency Overall","2011","80","300","285","95"
"Office of Personnel Management","Agency Overall","2011","0","4","4","0"
"Department of Commerce","Agency Overall","2011","3","35","31","7"
"Department of Agriculture","Agency Overall","2011","5","73","75","3"
"Federal Reserve System","Agency Overall","2011","0","0","0","0"
"Office of Government Ethics","Agency Overall","2011","0","2","2","0"
"Small Business Administration","Agency Overall","2011","0","0","0","0"
"General Services Administration","Agency Overall","2011","0","0","0","0"
"National Mediation Board","Agency Overall","2011","0","0","0","0"
"Federal Election Commission","Agency Overall","2011","0","1","1","0"
"Peace Corps","Agency Overall","2011","1","1","1","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","0","0","0","0"
"National Labor Relations Board","Agency Overall","2011","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2011","0","22","22","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2011","0","1","1","0"
"Federal Trade Commission","Agency Overall","2011","0","1","1","0"
"United States African Development Foundation","Agency Overall","2011","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","0","12","12","0"
"Postal Regulatory Commission","Agency Overall","2011","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","4","14","18","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","1","0","1","0"
"Environmental Protection Agency","Agency Overall","2011","27","48","60","15"
"Social Security Administration","Agency Overall","2011","0","0","0","0"
"Department of Labor","Agency Overall","2011","25","132","151","6"
"Federal Open Market Committee","Agency Overall","2011","0","0","0","0"
"Department of the Interior","Agency Overall","2011","2","5","4","3"
"National Science Foundation","Agency Overall","2011","1","1","1","1"
"United States Copyright Office","Agency Overall","2011","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2011","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2011","0","0","0","0"
"All agencies","Agency Overall","2011","16976","12340","25878","3438"
