"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Election Commission","Agency Overall","2011","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2011","0","1","0","0","3","3","1","0","0","0","0","1","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2011","0","0","0","0","0","1","0","0","1","0","1","0","0","0"
"Administrative Conference of the United States","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2011","0","0","3","1","2","0","0","0","0","0","1","0","0","0"
"National Labor Relations Board","Agency Overall","2011","0","2","0","0","12","13","12","0","13","3","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2011","0","0","0","2","0","3","0","0","0","0","0","0","4","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2011","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2011","0","0","7","3","6","2","1","0","0","1","0","0","0","0"
"United States African Development Foundation","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2011","0","0","0","3","2","2","3","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2011","1","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2011","0","2","0","6","23","16","14","0","5","1","1","0","0","0"
"Social Security Administration","Agency Overall","2011","0","0","0","0","27","18","0","0","8","0","0","0","0","0"
"Department of Labor","Agency Overall","2011","0","0","0","17","8","5","11","0","83","38","1","0","0","0"
"Federal Open Market Committee","Agency Overall","2011","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2011","0","0","2","4","12","11","4","0","6","0","0","0","0","0"
"National Science Foundation","Agency Overall","2011","0","0","0","3","4","7","0","0","4","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2011","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2011","0","0","10","7","7","5","2","0","1","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2011","0","1","0","0","0","1","0","0","0","0","0","1","0","0"
"All agencies","Agency Overall","2011","468","652","743","256","1262","1858","327","9","2010","301","1136","126","22","0"
