"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"United States Postal Service","Agency Overall","2011","39 U.S.C. § 410(c)(3)","None.","Records relating to information prepared for use in negotiating collective bargaining agreements","9"
"United States Postal Service","Agency Overall","2011","39 U.S.C. § 410(c)(4)","None.","Records prepared for proceedings under 39 U.S.C. Chapter 36, relating to rates, classification, and service changes","3"
"United States Postal Service","Agency Overall","2011","39 U.S.C. § 410(c)(5)","None.","Reports and memoranda of consultants or independent contractors, except to the extent that they would be required to be disclosed if prepared within the Postal Service","3"
"United States Postal Service","Agency Overall","2011","39 U.S.C. § 412","None.","Records containing lists of postal customers","16"
"United States Postal Service","Agency Overall","2011","18 U.S.C. § 1461","None.","Records concerning non-mailable matter","1"
"United States Postal Service","Agency Overall","2011","18 U.S.C. 2510 (Title III of the Omnibus Crime Control and Safe Streets Act)","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretap","4"
"United States Postal Service","Agency Overall","2011","18 U.S.C. § 2517 (Title III of the Omnibus Crime Control and Safe Streets Act)","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretap","3"
"United States Postal Service","Agency Overall","2011","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F.Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","11"
"United States Postal Service","Agency Overall","2011","5 U.S.C. app. § 107(a) (Ethics in Government Act of 1978)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted in part on other grounds, 699 F. Supp. 2d 106 (D.D.C. 2010).","Financial disclosure information pertaining to certain government employees","2"
"United States Postal Service","Agency Overall","2011","5 U.S.C. app. § 7(b) (Inspector General Act of 1978)","United Am. Fin. v. Potter, 531 F. Supp. 2d 29, 45-46 (D.D.C. 2008)","Employee complaint information","14"
"Department of the Treasury","Agency Overall","2011","26 U.S.C. § 6103","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, No. 09-35618, 2010 WL 3611645, at *2 (9th Cir. September 15, 2010) (unpublished disposition)","Certain tax return information and certain tax convention information","1909"
"Department of the Treasury","Agency Overall","2011","31 U.S.C. § 5319","Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009); Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","159"
"Department of the Treasury","Agency Overall","2011","41 U.S.C. § 253b(m)(1)","Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","45"
"Department of the Treasury","Agency Overall","2011","41 U.S.C. § 2102(a), recodifies 41 U.S.C. § 423(a)","N/A","Contracts / RFP’s and bids pre-award","3"
"Department of the Treasury","Agency Overall","2011","21 U.S.C. § 1904(e)(3)","N/A","Investigative Information","1"
"Department of the Treasury","Agency Overall","2011","5 U.S.C. app. § 7(b)","N/A","Complaints by employees, disclosure of identity, reprisals","2"
"Department of the Treasury","Agency Overall","2011","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007) Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981) Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008) Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008)","Certain records pertaining to grand jury proceedings","1"
"Tennessee Valley Authority","Agency Overall","2011","42 U.S.C. § 2162","Meeropol v. Smith, No. 75 - 1121, slip op. at 53-55 (D.D.C. Feb.29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Dir. 1986).","""Restricted Data"" pertaining to atomic weapons and special nuclear material","2"
"Tennessee Valley Authority","Agency Overall","2011","6 U.S.C. § 133","","Critical infrastructure information","1"
"Office of the United States Trade Representative","Agency Overall","2011","N/A","N/A","N/A","0"
"Council on Environmental Quality","Agency Overall","2011","0","N/A","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2011","0","N/A","0","0"
"Department of Housing and Urban Development","Agency Overall","2011","41 USC § 253b(m)(1)","Hornsbostel v. United States Department of Interior, 305 F. Supp. 2d 21 (D.D.C., 2003)","Proposals received from unsuccessful offerors and not incorporated into the contract","25"
"Department of Housing and Urban Development","Agency Overall","2011","42 USC § 3545","None","HUD Reform Act","1"
"Department of Housing and Urban Development","Agency Overall","2011","42 USC § 3610(d) (Fair Housing Act)","West v. Jackson, 448 F. Supp. 2d 207, 212-13 (D.D.C. 2006), summary affirmance granted, No. 06-5281, 2007 WL 1723362 (D.C. Cir., March 6, 2007)","Information related to conciliation under the Fair Housing Act","7"
"Department of Housing and Urban Development","Agency Overall","2011","Fed. R. Crim. P.6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F. 3d 1106, 1113 (D.C. Cir., 2007)","Records pertaining to grand jury proceedings","1"
"Federal Maritime Commission","Agency Overall","2011","N/A","N/A","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","29 U.S.C. §1343(f)","N/A","Information submitted to PBGC as part of a notice of reportable event","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2011","29 U.S.C. §1310(c)","N/A","Confidential business information submitted to PBGC under section 4010 of ERISA","1"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2011","N/A","N/A","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2011","45 U.S.C. 362 (d)","Ass'n of Retired Railroad Workers v. U.S. R.R. Retirement Board, 830 F. 2d 331, 334 (D.C. Cir. 1987); Nat'l Ass'n of Retired & Veteran Ry. Employees v. R.R. Ret. Bd., No. 87-117, slip op. at 5 (N.D. Ohio)","Information obtained by the Railroad Retirement Board that reveals, in any manner, an employee's identity","12"
"Selective Service System","Agency Overall","2011","0","0","0","0"
"U.S. Department of State","Agency Overall","2011","8 U.S.C.  § 1202(f)","Medina-Hincapie v. DOS 700 F.2d 737 (D.C. Cir. 1983)","Records pertaining to the issuance or refusal of visas to enter the U.S.","15110"
"U.S. Department of State","Agency Overall","2011","10 U.S.C.  § 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 149592, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ  562 F. Supp. 82, 112 (D.D.C. 2008), Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004)","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligenec Agency","2"
"U.S. Department of State","Agency Overall","2011","22 U.S.C.  § 2778(e)","Council for a Livable World v. U.S. Dep't of State, No. 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C. Nov. 23, 1998)","Information concerning arms export licensing cases","4"
"U.S. Department of State","Agency Overall","2011","22 U.S.C. § 4004","No","Foreign Service employee records","1"
"U.S. Department of State","Agency Overall","2011","50 U.S.C.  § 403g","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F.3d 205 (3d Cir. 2008)","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","25"
"U.S. Department of State","Agency Overall","2011","5 U.S.C. App 3 § 7(b)","No","Names of employees who provide information or file complaints to the Inspector General","1"
"U.S. Department of State","Agency Overall","2011","50 U.S.C. § 402 note","Houghton v. NSA, No. 09-4440, 2010 WL 1784058, at *3 (3d Cir. May 5, 2010) (per curiam); Larson v. Dep't of State, 565 F. 3d 857, 868-69 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824-827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y. Feb. 9, 2009), summary affirmance granted, 354 F. App'x. 591 (2d Cir. 2009)","Information pertaining to the function or organization of NSA; certain information pertaining to NSA employees","3"
"U.S. Department of State","Agency Overall","2011","50 U.S.C. § 403-1(i)(1)","CIA v. Sims, 471 U.S. 159,167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C. Cir. 2007).","Intelligence sources and methods","12"
"U.S. Department of State","Agency Overall","2011","50 U.S.C. Appx § 2170(c)","No","Authority to Review Certain Mergers, Acquisitions, and Takeovers","2"
"U.S. Department of State","Agency Overall","2011","N/A","N/A","N/A","0"
"U.S. Department of State","Agency Overall","2011","10 U.S.C. § 130c","Nat'l Inst. of Military Justice v. DOD, 404 F. Supp. 2d 325, 335-37 (D.D.C. 2005), aff'd on other grounds, 512 F.3d 677 (D.C. Cir. 2008); ACLU v. DOD, 389 F. Supp. 2d 547, 554 (S.D.N.Y. 2005); Gerstein v. DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec. 21, 2004).","Certain ""sensitive information of foreign governments"" and certain international organizations","1"
"U.S. Department of State","Agency Overall","2011","42 U.S.C. § 2162","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff’d in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","“Restricted Data” pertaining to atomic weapons and special nuclear material","1"
"U.S. Department of State","Agency Overall","2011","50 U.S.C.  § 2411(c)","","Information concerning export license applications","2"
"U.S. Department of State","Agency Overall","2011","50 U.S.C. § 1701 note, Pub. L. No. 99-93 section 505","No","Records regarding aribitration of claims before the Iran-United States Claims Tribunal","1"
"Central Intelligence Agency","Agency Overall","2011","50 U.S.C. Section 403g","Halperin v. CIA, 629 F.2d 144 (D.C. Cir. 1980); Minier v. CIA, 88 F.3d 796 (9th Cir. 1996)","E.g., CIA budget information and information relating to the organization, functions, names, official titles, salaries or numbers of personnel employed by CIA, including information relating to intelligence sources and methods.","1746"
"Federal Communications Commission","Agency Overall","2011","5 U.S.C app. Section 107(a) (Ethics in Government Act of 1978","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009).","Financial disclosure information pertaining to certain government employees.","2"
"Federal Communications Commission","Agency Overall","2011","31 U.S.C. Section 3729(c) (False Claims Act)","None -- never litigated.","Records pertaining to financial false claims.","1"
"National Transportation Safety Board","Agency Overall","2011","49 U.S.C. § 1114 (c)(1)","N/A","Any portion of the Cockpit Voice Recorder (CVR) or the portions of the transcipts of the CVR that the Board did not find relevant to an investigation.","2"
"National Transportation Safety Board","Agency Overall","2011","49 U.S.C. § 1114 (f)","N/A","Any information relating to Board participation in foreign aircraft accident, where the country conducting the investigation has not issued its report or two years has not elasped from the date of the accident.","3"
"National Transportation Safety Board","Agency Overall","2011","49 U.S.C. § 1114 (b)(3)","N/A","Voluntarily provided safety-related information if it is not related to the exercise of the NTSB's accident or incident investigation authority and if the NTSB finds that the disclosure would inhibit the voluntary provision of that type of information.","4"
"United States Trade and Development Agency","Agency Overall","2011","26 U.S.C. 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, No. 09-35618, 2010 WL 3611645, at *2 (9th Cir. September 15, 2010) (unpublished disposition); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information and certain tax convetion information","4"
"United States Trade and Development Agency","Agency Overall","2011","41 U.S.C. 253b(m)(1)","Margolin v. NASA, No. 09CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","3"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","41 U.S.C. § 253b(m)(1)","Margolin v. NASA, No. 09¬CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2011","IG Act of 1978, Pub. L. No. 95-452 § 7(b)","None","Employee Complaint Information","1"
"Department of Transportation","Agency Overall","2011","49 U.S.C. 40115","N/A","Information harmful to U.S. international aviation negotiation or to any U.S. international air carrier","3"
"Department of Transportation","Agency Overall","2011","49 U.S.C. 40119","Pub. Citizen, Inc. v. FAA, 988 F.2d 186, 194 (D.C. Cir. 1993); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Certain information obtained or developed in ensuring transportation security if disclosure of that information would:  constitute an invasion of personal privacy, reveal a trade secret or confidential commercial or financial information, or be detrimental to transportation safety","91"
"Department of Transportation","Agency Overall","2011","49 U.S.C. 46102(c)","N/A","Information pertaining to aviation safety, when required for national defense","1"
"Department of Transportation","Agency Overall","2011","49 U.S.C. 70114","N/A","Commercial space launch activities information covered by FOIA Exemption 4 or designated confidential by the submitter","1"
"Department of Transportation","Agency Overall","2011","49 U.S.C. 40110(e)","N/A","Contract proposal not incorporated into contract","11"
"Department of Transportation","Agency Overall","2011","49 U.S.C. 40123(a)","N/A","Aviation Safety Action Program voluntarily submitted information","48"
"Department of Transportation","Agency Overall","2011","41 U.S.C. 253b(m)(1)","Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6 (D. Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","5"
"Department of Transportation","Agency Overall","2011","16 U.S.C. 470w-3","N/A","National historic preservation information","2"
"Department of Transportation","Agency Overall","2011","49 U.S.C. 31143(b)","N/A","Identity of motor carrier safety complainants","82"
"Department of Transportation","Agency Overall","2011","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Dir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","2"
"Department of Transportation","Agency Overall","2011","49 U.S.C. 46311","N/A","Information from air carrier records","1"
"Farm Credit System Insurance Corporation","Agency Overall","2011","0","N/A","0","0"
"Department of Homeland Security","Agency Overall","2011","5 U.S.C. app. 3 §  7(b)","","Names of employees who provide information or complaints to the Inspector General","1"
"Department of Homeland Security","Agency Overall","2011","6 U.S.C. § 133","","Critical Infrastructure Information","3"
"Department of Homeland Security","Agency Overall","2011","8 U.S.C. § 1202(f) (Immigration and Nationality Act)","Medina-Hincapie v. Dep't of State.  700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982);  Judicial Watch, Inc. v. U.S. Dep't of State, 650 F. Supp. 2d 28, 33 (D.D.C. 2009); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983).","Certain records pertaining to the issuance or refusal of visas to enter the United States","1"
"Department of Homeland Security","Agency Overall","2011","10 U.S.C. § 424","Physicians for Human Rights v. DOD. No. RDB-08-273, 2011 WL 1495942 at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office, and the National Geospatial-Intelligence Agency","1"
"Department of Homeland Security","Agency Overall","2011","18 U.S.C. §§ 2510-20","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C. Cir. Sept. 14, 2007) (per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne  v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the content of any wire, oral, or electronic communication obtained through wiretaps","5"
"Department of Homeland Security","Agency Overall","2011","26 U.S.C. §§ 6103, 6105","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103);  Pac. Fisheries, Inc. v. IRS, No. 09-35618, 2010 WL 3611645, at *2 (th Cir. September 15, 2010)(unpublished disposition);  Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax return information and certain tax convention information","1082"
"Department of Homeland Security","Agency Overall","2011","41 U.S.C. § 253b(m)(1)","Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303221, at *6(D.Nev. Mar. 31, 2011); Hornbostel v. U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","28"
"Department of Homeland Security","Agency Overall","2011","41 U.S.C. § 423(a)(1)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army,  No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. 2001) (dictum).","Contractor bid or proposal information; source selection information","5"
"Department of Homeland Security","Agency Overall","2011","46 U.S.C. § 70103(d)","","Security plans and other information related to plans","3"
"Department of Homeland Security","Agency Overall","2011","49 U.S.C. § 114(s)","Tooley v. Bush, No. 06-306, 2006 WL 3783142, at *19 (D.D.C. Dec. 21, 2006), aff'd on other grouds, 586 F. 3d 1006 (D.C. Cir. 2009); Gordon v. FBI, 390 F. Supp. 2d 897, 900 (N.D. Cal. 2004).","Information obtained or developed in carrying out security under the authority of the Aviation and Transportation Act or under chapter 449 of this title","792"
"Department of Homeland Security","Agency Overall","2011","50 U.S.C. § 403g","Larson v. Dep’t of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff’d on other grounds, 541 F. 3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: “the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency”","2"
"Department of Homeland Security","Agency Overall","2011","50 U.S.C. app., § 2170(c)","","CFIUS Filing Material","1"
"Department of Homeland Security","Agency Overall","2011","Fed. R. Crim. P. 6(e)","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","11"
"Office of National Drug Control Policy","Agency Overall","2011","0","N/A","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2011","N/A","N/A","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2011","50 USC app. 2170(c)","","Material filed with CFIUS","1"
"United States International Trade Commission","Agency Overall","2011","19 U.S.C. 1677(f)","Mudge Rose Guthrie Alexander & Ferdon v. U.S. Int'l Trade Comm'n, 846 F.2d 1527, 1530 (D.C. Cir. 1988)","Certain ""information submitted to the administering authority or the [United States International Trade] Commission which is designated as proprietary by the person submitting the information""","2"
"United States International Trade Commission","Agency Overall","2011","19 U.S.C. 1332(g)","N/A","Confidential Business Information","1"
"Equal Employment Opportunity Commission","Agency Overall","2011","42 U.S.C. Sec. 2000e-5(b), 2000e-8(e) (Civil Rights Act of 1964)","EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)","Information pertaining to charges of unlawful employment practices; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.","2396"
"Equal Employment Opportunity Commission","Agency Overall","2011","42 U.S.C.  Sec. 12117","EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)","Information pertaining to charges of unlawful employment practices under the ADA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and information required to be furnished to the EEOC.","323"
"Equal Employment Opportunity Commission","Agency Overall","2011","42 U.S.C.  Sec. 2000ff (Section 2 of GINA)","EEOC  v. Associated Dry Goods Corp., 449 U.S. 590 (1981); Frito-Lay v. EEOC, 964 F. Supp. 236, 240-43 (W.D. Ky. 1997); Am. Centennial Ins. Co. v. EEOC, 722 F. Supp. 180, 184 (D.N.J. 1989)","Information pertaining to charges of unlawful employment practices under GINA; information obtained by the EEOC in investigating charges of unlawful employment practices including conciliation materials; and specific reports and  information required to be furnished to the EEOC.","26"
"Federal Housing Finance Agency","Agency Overall","2011","N/A","N/A","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2011","10 USC § 2305(g)","None cited","Certain contractor proposals","20"
"National Aeronautics and Space Administration","Agency Overall","2011","22 USC § 2751","None cited","Information subject to the Arms Exports Control; Technical data withheld according to regulations establishing lists or categories of technical data that may not be exported, under the Arms Export Control Act.","10"
"National Aeronautics and Space Administration","Agency Overall","2011","15 U.S.C. § 638(j)","","SBIR Program Policy Directive","2"
"National Aeronautics and Space Administration","Agency Overall","2011","16 USC § 470hh","None cited","Information concerning the nature and location of certain archeological resources.","1"
"Federal Retirement Thrift Investment Board","Agency Overall","2011","0","N/A","0","0"
"Overseas Private Investment Corporation","Agency Overall","2011","41 U.S.C. 253b(m)(1)","","Contractor proposals that are in the possession or control of an executive agency that have not been set forth or incorporated by reference into contracts","1"
"Federal Financial Institutions Examination Council","Agency Overall","2011","0","0","0","0"
