"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Overseas Private Investment Corporation","Agency Overall","2019","0","3","3","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","3","0","3"
"United States African Development Foundation","Agency Overall","2019","0","1","1","0"
"Federal Labor Relations Authority","Agency Overall","2019","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","22","286","268","40"
"Office of Personnel Management","Agency Overall","2019","45","61","97","9"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","2","2","0"
"Institute of Museum and Library Services","Agency Overall","2019","0","0","0","0"
"United States Institute of Peace","Agency Overall","2019","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2019","0","1","1","0"
"Federal Election Commission","Agency Overall","2019","9","1","9","1"
"Commission of Fine Arts","Agency Overall","2019","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","3","7","1","9"
"Office of Science and Technology Policy","Agency Overall","2019","2","2","2","2"
"Denali Commission","Agency Overall","2019","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","0","1","0","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2019","1","29","30","0"
"Selective Service System","Agency Overall","2019","0","2","2","0"
"Office of Government Ethics","Agency Overall","2019","0","1","1","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","0","2","2","0"
"Armed Forces Retirement Home","Agency Overall","2019","0","1","1","0"
"Department of Housing and Urban Development","Agency Overall","2019","15","45","40","20"
"Administrative Conference of the United States","Agency Overall","2019","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","0","1","1","0"
"Federal Deposit Insurance Corporation","Agency Overall","2019","0","12","12","0"
"Central Intelligence Agency","Agency Overall","2019","180","249","173","256"
"Small Business Administration","Agency Overall","2019","2","10","10","2"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","0","0","0"
"National Labor Relations Board","Agency Overall","2019","2","11","12","1"
"National Credit Union Administration","Agency Overall","2019","0","2","2","0"
"Department of Health and Human Services","Agency Overall","2019","427","242","130","539"
"Department of Veterans Affairs","Agency Overall","2019","113","303","276","140"
"Department of Transportation","Agency Overall","2019","102","91","92","101"
"National Council on Disability","Agency Overall","2019","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","1","1","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","0","3","3","0"
"Legal Services Corporation","Agency Overall","2019","2","2","4","0"
"U.S. Agency for Global Media","Agency Overall","2019","3","0","3","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2019","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2019","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0","0","0"
"All agencies","Agency Overall","2019","5611","15387","15022","5976"
