"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Presidio Trust","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2019","0","0","0","15","5","25","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","0","11","2","37","99","169","34","1","3","10","29","1","35","0"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2019","0","0","1","35","30","42","3","0","1","0","5","0","28","0"
"Securities and Exchange Commission","Agency Overall","2019","0","10","35","436","289","313","471","1","300","17","27","1","22","1"
"Appraisal Subcommittee","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","10","0","15","17","40","74","1","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2019","0","3","3","0","9","20","1","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2019","0","18","111","76","136","476","166","1","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2019","0","2","2","146","8","150","1","0","3","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2019","0","0","1","15","11","37","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","0","0","0","0","10","0","0","9","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2019","0","2","0","1","0","1","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2019","0","0","0","0","0","2","0","0","1","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","0","0","1771","34","13609","4311","2402","0","5984","65","35","2","0","0"
"Office of Personnel Management","Agency Overall","2019","0","14","2223","12","10","2230","0","0","2148","88","463","3","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","0","1","1","3","6","1","0","3","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2019","0","0","0","0","3","8","1","1","1","1","0","0","0","0"
"United States Institute of Peace","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2019","0","0","0","14","7","10","0","0","5","0","1","0","0","0"
"Federal Election Commission","Agency Overall","2019","0","0","17","4","17","21","1","0","9","0","5","0","0","0"
"Commission of Fine Arts","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","0","0","0","7","11","28","4","0","11","0","2","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2019","0","0","1","0","9","13","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","0","1","0","0","2","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0","0","0","0","0","0","0","3","3","1","0","0","0"
"National Transportation Safety Board","Agency Overall","2019","0","0","10","17","231","54","182","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2019","1","0","0","0","1","3","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2019","0","0","24","16","43","61","0","0","2","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","0","0","0","25","19","29","6","0","7","0","5","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2019","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2019","0","2","20","67","62","378","26","1","55","3","5","1","1","0"
"Administrative Conference of the United States","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","0","1","1","2","7","15","1","0","1","0","0","1","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2019","0","5","2","25","18","53","2","0","5","0","7","0","17","0"
"Central Intelligence Agency","Agency Overall","2019","959","7","1028","12","34","212","4","0","15","16","19","0","0","0"
"Small Business Administration","Agency Overall","2019","0","4","8","33","40","99","2","1","20","1","1","1","2","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","0","0","9","1","8","7","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2019","0","0","1","96","159","793","250","0","775","135","4","2","0","0"
"National Credit Union Administration","Agency Overall","2019","0","6","0","28","17","59","5","0","12","0","10","0","36","0"
"Department of Health and Human Services","Agency Overall","2019","0","13","297","1296","445","8199","523","30","1675","78","26","61","0","3"
"Department of Veterans Affairs","Agency Overall","2019","31","3","2647","287","793","13099","64","9","1934","10","36","12","2","6"
"Department of Transportation","Agency Overall","2019","0","15","320","227","517","2722","108","1","1043","204","22","27","0","0"
"National Council on Disability","Agency Overall","2019","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","0","30","1","0","39","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","1","1","2","2","1","3","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2019","0","0","0","1","2","5","0","0","0","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2019","0","0","0","7","15","23","1","0","2","0","0","0","0","1"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2019","4165","1439","71765","13234","73706","267071","10637","1013","267137","7031","248562","2964","200","71"
