"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Federal Communications Commission","Agency Overall","2019","3289945.76","67372.50","3357318.26","16336.39","0.5000"
"Tennessee Valley Authority","Agency Overall","2019","215523.77","0.00","215523.77","1162.45","0.5400"
"Nuclear Regulatory Commission","Agency Overall","2019","1776252.47","0.00","1776252.47","16931.33","0.9500"
"Federal Energy Regulatory Commission","Agency Overall","2019","595592.00","0.00","595592.00","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2019","4704677.00","53857.00","4758534.00","0.00","0.0000"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","7360.00","0.00","7360.00","0.00","0.0000"
"Department of Education","Agency Overall","2019","6021961.99","537813.95","6559775.94","3757.74","0.0600"
"Department of Energy","Agency Overall","2019","8341384.30","344332.00","8685716.30","3306.31","0.0400"
"National Commission on Military, National, and Public Service","Agency Overall","2019","101166.72","0.00","101166.72","0.00","0.0000"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","1.00","0.00","1.00","0.00","0.0000"
"United States Access Board","Agency Overall","2019","159381.00","0.00","159381.00","56.00","0.0400"
"United States Trade and Development Agency","Agency Overall","2019","15000.00","0.00","15000.00","0.00","0.0000"
"Federal Open Market Committee","Agency Overall","2019","88102.00","0.00","88102.00","0.00","0.0000"
"Department of Homeland Security","Agency Overall","2019","68183700.62","3814896.44","71998597.06","16729.34","0.0200"
"Federal Mediation and Conciliation Service","Agency Overall","2019","75000.00","0.00","75000.00","0.00","0.0000"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","45000.00","0.00","45000.00","0.00","0.0000"
"Department of Commerce","Agency Overall","2019","7447776.65","174447.10","7622223.75","86639.03","1.1600"
"Inter-American Foundation","Agency Overall","2019","10000.00","0.00","10000.00","0.00","0.0000"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","100.00","0.00","100.00","0.00","0.0000"
"Presidio Trust","Agency Overall","2019","9369.00","0.00","9369.00","0.00","0.0000"
"National Endowment for the Humanities","Agency Overall","2019","100000.00","0.00","100000.00","0.00","0.0000"
"Consumer Financial Protection Bureau","Agency Overall","2019","725081.00","130000.00","855081.00","1086.00","0.1500"
"Advisory Council on Historic Preservation","Agency Overall","2019","25093.30","0.00","25093.30","0.00","0.0000"
"Federal Reserve System","Agency Overall","2019","1390794.00","14089.00","1404883.00","426.40","0.0300"
"Securities and Exchange Commission","Agency Overall","2019","7238733.49","343201.68","7581935.17","17921.90","0.2500"
"Appraisal Subcommittee","Agency Overall","2019","219.00","0.00","219.00","0.00","0.0000"
"Office of the United States Trade Representative","Agency Overall","2019","258000.00","0.00","258000.00","874.00","0.3400"
"United States International Boundary and Water Commission","Agency Overall","2019","150000.00","0.00","150000.00","0.00","0.0000"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","100.00","0.00","100.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2019","873633.20","22988.00","896621.20","11487.64","1.3100"
"National Science Foundation","Agency Overall","2019","371996.00","5545.00","377541.00","380.07","0.1000"
"Overseas Private Investment Corporation","Agency Overall","2019","172968.00","0.00","172968.00","4274.25","2.4700"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","3420.00","0.00","3420.00","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","55951.68","46328.45","102280.13","0.00","0.0000"
"United States African Development Foundation","Agency Overall","2019","9000.00","0.00","9000.00","0.00","0.0000"
"Federal Labor Relations Authority","Agency Overall","2019","22371.00","0.00","22371.00","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2019","4064243.14","4863.05","4069106.19","25636.35","0.6300"
"Office of Personnel Management","Agency Overall","2019","2233841.48","44550.00","2278391.48","15000.00","0.6700"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","83398.00","0.00","83398.00","0.00","0.0000"
"Institute of Museum and Library Services","Agency Overall","2019","36655.00","0.00","36655.00","0.00","0.0000"
"United States Institute of Peace","Agency Overall","2019","50000.00","0.00","50000.00","0.00","0.0000"
"National Indian Gaming Commission","Agency Overall","2019","50000.00","0.00","50000.00","3827.75","7.6600"
"Federal Election Commission","Agency Overall","2019","234589.44","278.44","234867.88","0.00","0.0000"
"Commission of Fine Arts","Agency Overall","2019","12000.00","0.00","12000.00","96.00","0.8000"
"National Railroad Passenger Corporation","Agency Overall","2019","100000.00","0.00","100000.00","78.00","0.0800"
"Office of Science and Technology Policy","Agency Overall","2019","202008.31","0.00","202008.31","0.00","0.0000"
"Denali Commission","Agency Overall","2019","100.00","0.00","100.00","0.00","0.0000"
"United States Copyright Office","Agency Overall","2019","26783.09","0.00","26783.09","0.00","0.0000"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","20875.00","9925.00","30800.00","0.00","0.0000"
"National Transportation Safety Board","Agency Overall","2019","703110.00","0.00","703110.00","0.00","0.0000"
"Selective Service System","Agency Overall","2019","4723.06","0.00","4723.06","0.00","0.0000"
"Office of Government Ethics","Agency Overall","2019","222010.42","52041.51","274051.93","0.00","0.0000"
"Export-Import Bank of the U.S.","Agency Overall","2019","491752.80","0.00","491752.80","368.00","0.0700"
"Armed Forces Retirement Home","Agency Overall","2019","31030.00","0.00","31030.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2019","600910.98","19000.00","619910.98","20779.07","3.4600"
"Administrative Conference of the United States","Agency Overall","2019","11233.00","0.00","11233.00","0.00","0.0000"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","35600.00","0.00","35600.00","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2019","259474.00","10156.00","269630.00","8952.48","3.4500"
"Central Intelligence Agency","Agency Overall","2019","7060591.00","1155651.00","8216242.00","577.21","0.0100"
"Small Business Administration","Agency Overall","2019","346486.00","0.00","346486.00","19500.00","5.6300"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","45190.00","2104.00","47294.00","4532.00","10.0300"
"National Labor Relations Board","Agency Overall","2019","2002447.00","191.00","2002638.00","6426.00","0.3200"
"National Credit Union Administration","Agency Overall","2019","422697.00","0.00","422697.00","169.00","0.0400"
"Department of Health and Human Services","Agency Overall","2019","21208131.45","1392072.34","22600203.79","590493.49","2.7800"
"Department of Veterans Affairs","Agency Overall","2019","14773022.61","75001.00","14848023.61","58289.32","0.3900"
"Department of Transportation","Agency Overall","2019","12846762.38","215419.00","13062181.38","323391.43","2.5200"
"National Council on Disability","Agency Overall","2019","10000.00","0.00","10000.00","0.00","0.0000"
"U.S. Railroad Retirement Board","Agency Overall","2019","57461.00","0.00","57461.00","145.00","0.2500"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","876.21","0.00","876.21","0.00","0.0000"
"Millennium Challenge Corporation","Agency Overall","2019","177000.00","0.00","177000.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2019","46627.00","0.00","46627.00","0.00","0.0000"
"U.S. Agency for Global Media","Agency Overall","2019","160000.00","10000.00","170000.00","0.00","0.0000"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","97624.00","0.00","97624.00","0.00","0.0000"
"Marine Mammal Commission","Agency Overall","2019","1000.00","0.00","1000.00","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2019","8500.00","0.00","8500.00","0.00","0.0000"
"Postal Regulatory Commission","Agency Overall","2019","15000.00","0.00","15000.00","0.00","0.0000"
"All agencies","Agency Overall","2019","486194199.49","38710512.61","524904712.10","2547638.48","N/A"
