"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"United States International Boundary and Water Commission","Agency Overall","2019","17","86","96","0","N/A","N/A","0","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2019","26","5","6.2","32","23","39.14","2","25","25"
"National Science Foundation","Agency Overall","2019","54","142","274","256","502","523","8","164","210"
"Overseas Private Investment Corporation","Agency Overall","2019","3","3","6","8","77","82.6","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","1","113","113","81","245","350","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2019","8","6","12.25","0","N/A","N/A","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2019","732","17","35.198","18","58.5","80.79","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2019","18","515","500.2","243","148","247.2","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2019","1","9","9","5","587","485.6","0","N/A","N/A"
"United States Institute of Peace","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2019","0","N/A","N/A","2","871","871","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2019","15","49","82.8","44","297","321","0","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2019","4","788.5","661","134","224","283","2","412.5","412"
"Office of Science and Technology Policy","Agency Overall","2019","54","340.5","306","22","159","279","3","722","680"
"Denali Commission","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2019","2","6.5","6.5","8","241.5","250.5","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","1","184","184","13","232","261","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2019","12","357.5","417","560","407","442","0","N/A","N/A"
"Selective Service System","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2019","27","127","147.2","0","N/A","N/A","5","364","255.6"
"Export-Import Bank of the U.S.","Agency Overall","2019","10","144","170","25","366","368","0","N/A","N/A"
"Armed Forces Retirement Home","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2019","671","20","45","425","20","45","2","12.5","12"
"Administrative Conference of the United States","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","2","13","13","6","29.5","44.7","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2019","15","12","16","0","n/a","n/a","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2019","578","59","224.98","1950","402","530.23","1","666","666"
"Small Business Administration","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","N/A","N/A","31","371","415","1","66","66"
"National Labor Relations Board","Agency Overall","2019","97","15","45.18","0","N/A","N/A","4","9","10"
"National Credit Union Administration","Agency Overall","2019","1","6","6","18","12","14.67","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2019","1365","247.31","238.98","7707","168.79","232.73","62","275.88","271.97"
"Department of Veterans Affairs","Agency Overall","2019","2145","84","220","1102","161.5","318","22","420.5","475"
"Department of Transportation","Agency Overall","2019","4133","347","454","2167","536","572.22","3","664","646.67"
"National Council on Disability","Agency Overall","2019","0","N/A","N/A","1","30","30","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2019","2","380","479.25","0","N/A","N/A","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2019","2","218.5","218.5","0","N/A","N/A","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for Global Media","Agency Overall","2019","14","147","139","0","N/A","N/A","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","N/A","N/A","3","847","875","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2019","2","13.5","13.5","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2019","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"All agencies","Agency Overall","2019","58104","N/A","N/A","78580","N/A","N/A","1131","N/A","N/A"
