"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Overseas Private Investment Corporation","Agency Overall","2019","2","0","13.5","13.5"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","0","N/A","N/A"
"United States African Development Foundation","Agency Overall","2019","0","0","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2019","1","10","N/A","4.55"
"Equal Employment Opportunity Commission","Agency Overall","2019","19","212","2","6.11"
"Office of Personnel Management","Agency Overall","2019","13","6","1","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2019","0","0","N/A","N/A"
"United States Institute of Peace","Agency Overall","2019","0","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2019","5","2","4","4"
"Federal Election Commission","Agency Overall","2019","37","0","1","1"
"Commission of Fine Arts","Agency Overall","2019","4","0","5","5"
"National Railroad Passenger Corporation","Agency Overall","2019","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2019","27","0","20","18.6"
"Denali Commission","Agency Overall","2019","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","0","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2019","0","0","N/A","N/A"
"Selective Service System","Agency Overall","2019","0","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2019","0","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2019","21","5","1","17.92"
"Armed Forces Retirement Home","Agency Overall","2019","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2019","40","26","2","2.77"
"Administrative Conference of the United States","Agency Overall","2019","0","0","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","2","0","1","1"
"Federal Deposit Insurance Corporation","Agency Overall","2019","1","1","2","2"
"Central Intelligence Agency","Agency Overall","2019","3","1","22","22"
"Small Business Administration","Agency Overall","2019","27","23","0","6.26"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2019","3","222","0",".76"
"National Credit Union Administration","Agency Overall","2019","0","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2019","36","386","3.35","4.11"
"Department of Veterans Affairs","Agency Overall","2019","174","15","2","55.12"
"Department of Transportation","Agency Overall","2019","63","127","N/A","4.46"
"National Council on Disability","Agency Overall","2019","0","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2019","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2019","1","0","25","25"
"U.S. Agency for Global Media","Agency Overall","2019","0","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2019","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2019","0","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2019","7","0","11","11"
"All agencies","Agency Overall","2019","7937","6736","N/A","N/A"
