"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Export-Import Bank of the U.S.","Agency Overall","2019","77","79","85","85"
"Armed Forces Retirement Home","Agency Overall","2019","6","7","6","7"
"Department of Housing and Urban Development","Agency Overall","2019","2383","2140","2245","2018"
"Administrative Conference of the United States","Agency Overall","2019","19","24","19","24"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","53","55","51","50"
"Federal Deposit Insurance Corporation","Agency Overall","2019","423","345","431","341"
"Central Intelligence Agency","Agency Overall","2019","2726","2563","2345","2261"
"Small Business Administration","Agency Overall","2019","1089","895","1061","923"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","49","33","48","34"
"National Labor Relations Board","Agency Overall","2019","1305","1370","1547","1420"
"National Credit Union Administration","Agency Overall","2019","165","148","154","148"
"Department of Health and Human Services","Agency Overall","2019","35445","35358","33876","33817"
"Department of Veterans Affairs","Agency Overall","2019","24555","21336","22851","23749"
"Department of Transportation","Agency Overall","2019","15049","16571","16082","14621"
"National Council on Disability","Agency Overall","2019","3","12","0","11"
"U.S. Railroad Retirement Board","Agency Overall","2019","87","102","86","109"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","57","25","57","25"
"Millennium Challenge Corporation","Agency Overall","2019","23","27","22","28"
"Legal Services Corporation","Agency Overall","2019","27","22","23","26"
"U.S. Agency for Global Media","Agency Overall","2019","60","63","59","74"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","3","2","3","1"
"Marine Mammal Commission","Agency Overall","2019","7","8","8","7"
"National Capital Planning Commission","Agency Overall","2019","8","8","8","8"
"Postal Regulatory Commission","Agency Overall","2019","52","15","53","15"
"All agencies","Agency Overall","2019","862037","858952","830071","877963"
