"Agency","Component","Fiscal Year","Number of Records Posted by the FOIA Office","Number of Records Posted by Program Offices"
"Federal Trade Commission","Agency Overall","2019","23","0"
"National Science Foundation","Agency Overall","2019","0","207"
"Overseas Private Investment Corporation","Agency Overall","2019","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","0"
"United States African Development Foundation","Agency Overall","2019","0","0"
"Federal Labor Relations Authority","Agency Overall","2019","10","152"
"Equal Employment Opportunity Commission","Agency Overall","2019","8","5004"
"Office of Personnel Management","Agency Overall","2019","0","968"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","0"
"Institute of Museum and Library Services","Agency Overall","2019","7","1843"
"United States Institute of Peace","Agency Overall","2019","0","0"
"National Indian Gaming Commission","Agency Overall","2019","0","125"
"Federal Election Commission","Agency Overall","2019","346","134"
"Commission of Fine Arts","Agency Overall","2019","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","5","0"
"Office of Science and Technology Policy","Agency Overall","2019","44","0"
"Denali Commission","Agency Overall","2019","0","0"
"United States Copyright Office","Agency Overall","2019","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0"
"National Transportation Safety Board","Agency Overall","2019","2687","1382"
"Selective Service System","Agency Overall","2019","10","33"
"Office of Government Ethics","Agency Overall","2019","75","60"
"Export-Import Bank of the U.S.","Agency Overall","2019","7","2"
"Armed Forces Retirement Home","Agency Overall","2019","0","0"
"Department of Housing and Urban Development","Agency Overall","2019","0","0"
"Administrative Conference of the United States","Agency Overall","2019","6","227"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","0","4515"
"Federal Deposit Insurance Corporation","Agency Overall","2019","26","645"
"Central Intelligence Agency","Agency Overall","2019","3","13168"
"Small Business Administration","Agency Overall","2019","0","199"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","79"
"National Labor Relations Board","Agency Overall","2019","346","4000"
"National Credit Union Administration","Agency Overall","2019","5","647"
"Department of Health and Human Services","Agency Overall","2019","878","38160"
"Department of Veterans Affairs","Agency Overall","2019","66","0"
"Department of Transportation","Agency Overall","2019","40","3768"
"National Council on Disability","Agency Overall","2019","0","44"
"U.S. Railroad Retirement Board","Agency Overall","2019","1","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","0","0"
"Legal Services Corporation","Agency Overall","2019","724","2468"
"U.S. Agency for Global Media","Agency Overall","2019","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","4","21"
"Marine Mammal Commission","Agency Overall","2019","0","131"
"National Capital Planning Commission","Agency Overall","2019","0","653"
"Postal Regulatory Commission","Agency Overall","2019","0","0"
"All agencies","Agency Overall","2019","209405","113991131"
