"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Consumer Financial Protection Bureau","Agency Overall","2019","30","62.4","<1","345","75","108.9","1","349","N/A","N/A","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2019","30.5","30.5","29","32","81","81","81","81","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2019","8","14","1","206","35","51","1","261","N/A","N/A","0","0"
"Securities and Exchange Commission","Agency Overall","2019","8","18.84","<1","446","542","542","542","542","16","64.4","4","228"
"Appraisal Subcommittee","Agency Overall","2019","17","17","14","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2019","20","29","1","128","111","197","26","1531","7","8","7","10"
"United States International Boundary and Water Commission","Agency Overall","2019","20","43","1","224","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","1","15","1","44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2019","6.5","10.04","1","129","31","49.32","2","329","10.5","18.83","3","45"
"National Science Foundation","Agency Overall","2019","7","43","1","641","52","52","2","824","89","108","2","493"
"Overseas Private Investment Corporation","Agency Overall","2019","37","43.6","<1","150","102","123.1","59","272","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","8","10","6","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","N/A","N/A","N/A","N/A","206.5","215","167","289","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2019","6.5","7.75","1","17","51","51","51","51","N/A","N/A","N/A","N/A"
"Federal Labor Relations Authority","Agency Overall","2019","14","14.79","<1","51","N/A","N/A","N/A","N/A","14","14","14","14"
"Equal Employment Opportunity Commission","Agency Overall","2019","16","37.86","<1","609","36.5","76.96","<1","325","20","20","20","20"
"Office of Personnel Management","Agency Overall","2019","1","2.4","1","1549","28","36.6","1","3550","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","9.5","8","1","12","15.5","15.5","4","27","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2019","7","8.25","1","21","164","196.66","42","413","N/A","N/A","N/A","N/A"
"United States Institute of Peace","Agency Overall","2019","7","16.75","3","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2019","2","5","1","17","73","144","45","492","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2019","13","45.8","2","430","216.5","476","6","1363","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2019","12.6","12.6","8","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2019","8","8","8","8","33.5","108.89","<1","661","652","652","652","652"
"Office of Science and Technology Policy","Agency Overall","2019","21","53.42","1","410","21","192.3","5","927","12.5","58.7","1","174"
"Denali Commission","Agency Overall","2019","12","13","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2019","18","15.4","5","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","49","49","49","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2019","236","366.36","5","981","586","520.33","5","1180","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2019","2","5","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2019","194","237.64","1","632","N/A","N/A","N/A","N/A","337","288","13","594"
"Export-Import Bank of the U.S.","Agency Overall","2019","6","13.47","<1","61","374","424.07","24","1273","15","15","15","15"
"Armed Forces Retirement Home","Agency Overall","2019","2","4","<1","4","2","2","2","2","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2019","20","52.38","<1","860","137","215.63","<1","1148","2.5","6.25","<1","26"
"Administrative Conference of the United States","Agency Overall","2019","1","1","<1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","15.5","16.4","<1","48","72.5","96.8","21","310","2","2","2","2"
"Federal Deposit Insurance Corporation","Agency Overall","2019","9","12.94","1","98","24","29.62","11","109","9","9.33","2","17"
"Central Intelligence Agency","Agency Overall","2019","15","24.09","3","97","341","525.4","5","2641","N/A","N/A","N/A","N/A"
"Small Business Administration","Agency Overall","2019","12","21.63","0","364","69","69","69","69","4","6","0","9"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","18","20","2","66","796","627","2","1074","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2019","11","35.84","<1","653","N/A","N/A","N/A","N/A","7","19.87","<1","361"
"National Credit Union Administration","Agency Overall","2019","8.5","9.61","<1","30","47","69.95","4","333","2","25.25","<1","96"
"Department of Health and Human Services","Agency Overall","2019","9.64","16.68","<1","1194","33.77","103.29","<1","1880","79.93","62.16","10","1169"
"Department of Veterans Affairs","Agency Overall","2019","12","63.47","<1","1312","62","160.14","<1","1365","12","90.69","<1","621"
"Department of Transportation","Agency Overall","2019","16","19.58","<1","1646","40","74.02","<1","1839","12","10.33","<1","93"
"National Council on Disability","Agency Overall","2019","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2019","23","250.75","1","1338","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","3","8.2","1","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2019","76","93.7","1","226","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2019","15","15016","2","25","N/A","N/A","N/A","N/A","25","25","25","25"
"U.S. Agency for Global Media","Agency Overall","2019","48","79","2","338","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2019","12.5","12.5","10","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2019","1","2","1","4","N/A","N/A","N/A","N/A","N/a","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2019","11","14","3","20","N/A","N/A","N/A","N/A","18","18","18","18"
