"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Farm Credit System Insurance Corporation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Arts","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Mediation Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for International Development","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-04","18","2019-08-27","23","2019-08-02","40"
"U.S. Election Assistance Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-01-29","171"
"Occupational Safety and Health Review Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2019","2019-08-27","24","2019-08-23","27","2019-08-20","29","2019-08-14","34","2019-07-31","44","2019-06-12","79","2019-05-03","107","2019-04-29","110","2019-04-22","115","2019-01-08","189"
"Department of Labor","Agency Overall","2019","2015-10-07","998","2015-09-15","1014","2015-09-15","1014","2015-08-24","1029","2015-08-13","1036","2015-08-13","1036","2015-07-29","1047","2015-06-22","1073","2014-11-18","1221","2014-10-27","1236"
"Federal Mine Safety and Health Review Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2019","2010-09-24","2261","2010-09-08","2273","2010-08-02","2299","2010-06-14","2333","2010-05-12","2355","2010-04-21","2370","2010-04-13","2376","2010-03-10","2400","2010-03-04","2404","2009-12-15","2457"
"Department of Justice","Agency Overall","2019","2019-01-28","171","2019-01-28","171","2019-01-28","171","2019-01-28","171","2019-01-28","171","2019-01-25","172","2019-01-11","181","2019-01-08","184","2019-01-08","184","2018-11-28","210"
"Office of the Director of National Intelligence","Agency Overall","2019","2017-10-25","485.0","2017-09-19","510.0","2017-06-21","572.0","2017-04-24","613.0","2016-11-29","713.0","2016-06-02","836.0","2016-01-14","933.0","2015-10-07","999.0","2014-10-15","1245.0","2013-03-20","1641.0"
"Court Services and Offender Supervision Agency","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-17","9"
"Department of the Treasury","Agency Overall","2019","2012-06-20","1827","2012-06-19","1828","2012-06-18","1829","2012-02-23","1910","2011-11-03","1984","2011-09-01","2027","2011-07-26","2054","2011-07-15","2061","2011-04-06","2131","2010-06-09","2275"
"U.S. Commission on Civil Rights","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2019","2019-09-27","3","2019-09-23","5","2019-09-19","7","2019-09-19","7","2019-09-16","10","2019-09-16","10","2019-09-16","10","2019-09-10","14","2019-09-10","14","2019-08-16","30"
"Department of the Interior","Agency Overall","2019","2014-07-30","1048","2014-07-14","1060","2014-07-07","1065","2014-06-17","1078","2014-06-17","1078","2014-05-13","1102","2014-04-18","1119","2014-03-25","1137","2014-03-20","1140","2013-10-23","1240"
"American Battle Monuments Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2019","2019-09-19","7","2019-09-11","13","2019-09-09","15","2019-09-05","17","2019-09-04","18","2019-08-16","30","2019-08-08","36","2019-07-10","57","2019-07-10","57","2019-02-08","162"
"Office of Special Counsel","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2019","2013-06-25","1571","2013-05-22","1594","2013-05-22","1594","2013-03-28","1633","2012-12-05","1708","2012-10-22","1738","2012-10-03","1750","2012-07-19","1803","2012-04-02","1879","2011-08-18","2033"
"Farm Credit Administration","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2019","2013-09-14","1532","2013-07-17","1557","2013-07-09","1563","2013-05-16","1599","2013-06-10","1600","2013-04-11","1624","2013-04-03","1630","2013-04-18","1636","2012-10-09","1750","2012-05-25","1843"
"Pension Benefit Guaranty Corporation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-09","15"
"Council on Environmental Quality","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-25","4","2019-07-18","52"
"Peace Corps","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"General Services Administration","Agency Overall","2019","2019-08-02","40","2019-06-18","72","2018-12-06","204","2018-12-03","206","2018-05-22","339","2018-05-21","340","2018-01-22","424","2017-11-03","475","2017-10-31","478","2017-05-09","599"
"Merit Systems Protection Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-30","0","2018-08-21","276","2018-08-21","276"
"Federal Communications Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-08-15","31","2019-03-14","139","2018-10-01","248"
"Tennessee Valley Authority","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-30","0","2018-09-12","261","2017-05-26","586","2016-11-01","728"
"Federal Energy Regulatory Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-25","3","2019-09-16","10","2019-09-16","10","2019-04-17","115"
"National Archives and Records Administration","Agency Overall","2019","2015-06-03","1086","2015-05-04","1107","2015-01-06","1189","2014-10-06","1250","2014-08-26","1278","2014-05-22","1344","2014-04-24","1364","2014-03-14","1393","2013-07-12","1559","2012-10-26","1738"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Education","Agency Overall","2019","2017-04-03","627","2017-03-27","632","2017-02-12","661","2016-11-21","717","2016-10-21","737","2016-08-05","790","2016-07-12","808","2016-05-03","856","2014-11-28","1213","2014-03-07","1397"
"Department of Energy","Agency Overall","2019","2019-08-08","35","2018-11-20","215","2017-05-24","590","2016-06-21","822","2015-04-20","1117","2014-12-08","1208","2013-11-15","1484","2013-10-16","1495","2013-10-10","1499","2012-07-03","1819"
"National Commission on Military, National, and Public Service","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Access Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Trade and Development Agency","Agency Overall","2019","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2019","2018-04-06","371","2018-02-06","414","2018-01-10","431","2017-11-08","472","2017-10-02","499","2017-09-15","510","2017-09-13","511","2017-07-10","558","2017-02-13","660","2016-07-11","807"
"Federal Mediation and Conciliation Service","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2019","2015-09-30","1001","2015-03-09","1145","2015-02-24","1154","2015-01-07","1186","2014-08-15","1282","2014-02-11","1412","2013-05-02","1606","2013-04-20","1610","2013-01-28","1675","2012-11-02","1732"
"Inter-American Foundation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Presidio Trust","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Humanities","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-24","4","2019-09-04","18"
"Advisory Council on Historic Preservation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Reserve System","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-24","5","2019-09-23","6","2019-09-09","16","2019-07-01","64","2019-02-08","163"
"Securities and Exchange Commission","Agency Overall","2019","2019-09-20","6","2019-09-20","6","2019-09-20","6","2019-09-20","6","2019-09-20","6","2019-09-18","8","2019-08-16","31","2019-05-03","103","2019-03-18","137","2018-12-10","203"
"Appraisal Subcommittee","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","0","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-30","1"
"National Science Foundation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Overseas Private Investment Corporation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-23","6","2019-09-23","6","2019-09-05","17"
"United States African Development Foundation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Labor Relations Authority","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","2019-09-10","14","2019-09-10","14","2019-09-10","14","2019-09-09","15","2019-09-09","15","2019-09-09","15","2019-09-05","17","2019-09-04","18","2019-08-26","24","2019-07-25","46"
"Office of Personnel Management","Agency Overall","2019","N/A","0","2019-09-30","1","2019-05-16","94","2019-05-01","108","2019-03-27","130","2019-03-12","141","2018-11-21","198","2018-10-24","217","2018-10-03","231","2018-10-01","233"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Institute of Peace","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-08-30","270"
"Commission of Fine Arts","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2019","N/A","0","2019-07-30","43","2019-06-18","72","2019-02-12","160","2019-02-11","161","2019-02-11","161","2018-12-21","194","2018-04-19","364","2017-08-02","544","2017-03-08","634"
"Office of Science and Technology Policy","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-11-06","16","2018-10-26","29"
"Denali Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-05-30","86"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-07-08","9","2019-07-08","9"
"Office of Government Ethics","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Armed Forces Retirement Home","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Housing and Urban Development","Agency Overall","2019","2019-01-29","170","2018-06-06","330","2018-06-06","330","2018-05-30","335","2018-04-17","365","2018-03-26","378","2018-03-01","398","2017-11-27","462","2016-07-13","806","2016-04-22","862"
"Administrative Conference of the United States","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Central Intelligence Agency","Agency Overall","2019","2013-07-19","1556","2013-04-30","1612","2013-04-10","1626","2013-03-07","1650","2012-11-19","1723","2012-10-09","1751","2012-09-10","1771","2012-01-06","1942","2011-01-06","2017","2007-04-16","3128"
"Small Business Administration","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-08-19","29","2019-08-06","38"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2019-09-23","5"
"National Credit Union Administration","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2019","2014-03-10","1451","2014-03-10","1451","2014-02-11","1470","2013-08-19","1534","2013-04-04","1629","2012-04-17","1871","2012-04-23","1941","2012-04-12","1948","2011-12-09","2037","2011-06-21","2077"
"Department of Veterans Affairs","Agency Overall","2019","2018-01-30","420","2018-01-29","421","2018-01-10","433","2017-08-10","536","2017-08-10","536","2017-06-22","570","2017-04-12","620","2016-09-20","759","2016-09-20","759","2016-06-08","831"
"Department of Transportation","Agency Overall","2019","2016-08-23","778","2016-08-23","778","2016-08-17","782","2016-05-25","840","2015-11-24","966","2015-11-19","969","2015-11-19","969","2015-09-21","1010","2015-09-18","1011","2015-07-17","1055"
"National Council on Disability","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Legal Services Corporation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Marine Mammal Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2019","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
