"Agency","Component","Fiscal Year","Median Number of Days","Average Number of Days","Lowest Number of Days","Highest Number of Days"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","0","0","0","0"
"Department of Commerce","Agency Overall","2019","20","94.66","<1","2257"
"Inter-American Foundation","Agency Overall","2019","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0"
"Presidio Trust","Agency Overall","2019","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2019","20","23","9","68"
"Advisory Council on Historic Preservation","Agency Overall","2019","16","16","16","16"
"Federal Reserve System","Agency Overall","2019","41","44","21","78"
"Securities and Exchange Commission","Agency Overall","2019","15.00","26.28","<1","258"
"Appraisal Subcommittee","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2019","15","19","6","37"
"United States International Boundary and Water Commission","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","0","0"
"Federal Trade Commission","Agency Overall","2019","20","19.08","11","39"
"National Science Foundation","Agency Overall","2019","16","16","0","19"
"Overseas Private Investment Corporation","Agency Overall","2019","14","12","4","18"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","0","0","0"
"United States African Development Foundation","Agency Overall","2019","30","30","30","30"
"Federal Labor Relations Authority","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2019","19","22.5","<1","482"
"Office of Personnel Management","Agency Overall","2019","99","114","28","300"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","25","25","20","30"
"Institute of Museum and Library Services","Agency Overall","2019","N/A","N/A","0","0"
"United States Institute of Peace","Agency Overall","2019","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2019","17","17","17","17"
"Federal Election Commission","Agency Overall","2019","174","682.6","40","1758"
"Commission of Fine Arts","Agency Overall","2019","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2019","74","74","74","74"
"Office of Science and Technology Policy","Agency Overall","2019","17.5","17.5","16","19"
"Denali Commission","Agency Overall","2019","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2019","14.25","24.6","<1","85"
"Selective Service System","Agency Overall","2019","9","9","9","9"
"Office of Government Ethics","Agency Overall","2019","37","37","37","37"
"Export-Import Bank of the U.S.","Agency Overall","2019","34","34","0","52"
"Armed Forces Retirement Home","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2019","24","57.47","<1","415"
"Administrative Conference of the United States","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","20","20","20","20"
"Federal Deposit Insurance Corporation","Agency Overall","2019","18","16.5","<1","28"
"Central Intelligence Agency","Agency Overall","2019","<1","124.73","<1","2593"
"Small Business Administration","Agency Overall","2019","13","23","7","38"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","N/A","N/A","N/A","N/A"
"National Labor Relations Board","Agency Overall","2019","19","17.33","3","22"
"National Credit Union Administration","Agency Overall","2019","20","20","20","20"
"Department of Health and Human Services","Agency Overall","2019","242.85","365.54","<1","1681"
"Department of Veterans Affairs","Agency Overall","2019","110.5","130.75","1","656"
"Department of Transportation","Agency Overall","2019","42.5","229.19","<1","1066"
"National Council on Disability","Agency Overall","2019","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","24","24","0","24"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2019","6","10","6","18"
"Legal Services Corporation","Agency Overall","2019","13","13","12","14"
"U.S. Agency for Global Media","Agency Overall","2019","129","168","52","323"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2019","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2019","N/A","N/A","0","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0","0","0"
