"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"Department of Commerce","Agency Overall","2019","70","146","8","23.26","112"
"Inter-American Foundation","Agency Overall","2019","0","0","N/A","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","N/A","N/A","0"
"Presidio Trust","Agency Overall","2019","0","0","N/A","N/A","0"
"National Endowment for the Humanities","Agency Overall","2019","0","2","2","2","2"
"Consumer Financial Protection Bureau","Agency Overall","2019","0","16","6.5","17","12"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","0","N/A","N/A","0"
"Federal Reserve System","Agency Overall","2019","3","6","7","7","7"
"Securities and Exchange Commission","Agency Overall","2019","10","253","4","5.43","234"
"Appraisal Subcommittee","Agency Overall","2019","0","0","N/A","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2019","3","6","9","9","8"
"United States International Boundary and Water Commission","Agency Overall","2019","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","N/A","N/A","0"
"Federal Trade Commission","Agency Overall","2019","22","81","7","10","73"
"National Science Foundation","Agency Overall","2019","2","7","5","9","3"
"Overseas Private Investment Corporation","Agency Overall","2019","0","10","8.5","8.5","7"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","0","N/A","N/A","0"
"United States African Development Foundation","Agency Overall","2019","1","0","3","3","1"
"Federal Labor Relations Authority","Agency Overall","2019","1","13","18","19.64","3"
"Equal Employment Opportunity Commission","Agency Overall","2019","1","8","2","5.89","8"
"Office of Personnel Management","Agency Overall","2019","0","77","1","1","77"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","1","10","10","1"
"Institute of Museum and Library Services","Agency Overall","2019","0","0","N/A","N/A","0"
"United States Institute of Peace","Agency Overall","2019","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2019","0","2","9","9","1"
"Federal Election Commission","Agency Overall","2019","0","1","10","10","1"
"Commission of Fine Arts","Agency Overall","2019","0","0","N/A","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2019","0","0","N/A","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2019","14","6","12.5","58.7","7"
"Denali Commission","Agency Overall","2019","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","0","2","13","13","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0","N/A","N/A","0"
"National Transportation Safety Board","Agency Overall","2019","0","2","29","29","0"
"Selective Service System","Agency Overall","2019","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2019","5","2","4","4.5","5"
"Export-Import Bank of the U.S.","Agency Overall","2019","1","5","6.5","5.5","6"
"Armed Forces Retirement Home","Agency Overall","2019","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2019","17","91","3","11.25","80"
"Administrative Conference of the United States","Agency Overall","2019","0","0","N/A","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","1","0","1","1","1"
"Federal Deposit Insurance Corporation","Agency Overall","2019","12","8","5.5","7.35","18"
"Central Intelligence Agency","Agency Overall","2019","1","32","3.5","9.5","23"
"Small Business Administration","Agency Overall","2019","14","37","16","27.16","21"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","7","9","8","6"
"National Labor Relations Board","Agency Overall","2019","58","152","3","5.56","195"
"National Credit Union Administration","Agency Overall","2019","5","1","1","3","5"
"Department of Health and Human Services","Agency Overall","2019","31","661","5.57","7.2","644"
"Department of Veterans Affairs","Agency Overall","2019","64","81","8","189.58","81"
"Department of Transportation","Agency Overall","2019","10","343","0","1.19","336"
"National Council on Disability","Agency Overall","2019","0","0","N/A","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","0","N/A","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2019","3","0","20","19","0"
"U.S. Agency for Global Media","Agency Overall","2019","0","0","N/A","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","N/A","N/A","0"
"Marine Mammal Commission","Agency Overall","2019","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2019","0","0","N/A","N/A","0"
"Postal Regulatory Commission","Agency Overall","2019","1","0","18","18","0"
"All agencies","Agency Overall","2019","2394","12847","N/A","N/A","10176"
