"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Merit Systems Protection Board","Agency Overall","2019","1","0","1","0"
"Federal Communications Commission","Agency Overall","2019","0","7","6","1"
"Tennessee Valley Authority","Agency Overall","2019","0","4","4","0"
"Nuclear Regulatory Commission","Agency Overall","2019","1","9","7","3"
"Federal Energy Regulatory Commission","Agency Overall","2019","1","2","3","0"
"National Archives and Records Administration","Agency Overall","2019","0","7","7","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","0","0","0","0"
"Department of Education","Agency Overall","2019","1","15","12","4"
"Department of Energy","Agency Overall","2019","138","262","237","163"
"National Commission on Military, National, and Public Service","Agency Overall","2019","0","0","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","0"
"United States Access Board","Agency Overall","2019","0","2","2","0"
"United States Trade and Development Agency","Agency Overall","2019","0","4","4","0"
"Federal Open Market Committee","Agency Overall","2019","0","0","0","0"
"Department of Homeland Security","Agency Overall","2019","352","674","612","414"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","0","1","1","0"
"Department of Commerce","Agency Overall","2019","25","86","74","37"
"Inter-American Foundation","Agency Overall","2019","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0"
"Presidio Trust","Agency Overall","2019","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2019","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","0","10","10","0"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","1","0","1"
"Federal Reserve System","Agency Overall","2019","4","5","5","4"
"Securities and Exchange Commission","Agency Overall","2019","0","11","9","2"
"Appraisal Subcommittee","Agency Overall","2019","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","0","31","31","0"
"United States International Boundary and Water Commission","Agency Overall","2019","0","4","4","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","0","0"
"Federal Trade Commission","Agency Overall","2019","0","1","1","0"
"National Science Foundation","Agency Overall","2019","0","3","3","0"
"Overseas Private Investment Corporation","Agency Overall","2019","0","4","4","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","2","2","0"
"United States African Development Foundation","Agency Overall","2019","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2019","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","0","10","7","3"
"Office of Personnel Management","Agency Overall","2019","0","11","10","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","1","1","0"
"Institute of Museum and Library Services","Agency Overall","2019","0","0","0","0"
"United States Institute of Peace","Agency Overall","2019","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2019","0","0","0","0"
"Federal Election Commission","Agency Overall","2019","0","2","2","0"
"Commission of Fine Arts","Agency Overall","2019","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2019","0","13","7","6"
"Denali Commission","Agency Overall","2019","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","0","1","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","1","1","0"
"National Transportation Safety Board","Agency Overall","2019","0","0","0","0"
"Selective Service System","Agency Overall","2019","0","10","10","0"
"Office of Government Ethics","Agency Overall","2019","0","1","1","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","0","2","1","1"
"Armed Forces Retirement Home","Agency Overall","2019","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2019","1","5","5","1"
"Administrative Conference of the United States","Agency Overall","2019","0","1","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2019","0","9","8","1"
"Central Intelligence Agency","Agency Overall","2019","509","589","395","703"
"Small Business Administration","Agency Overall","2019","0","6","5","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","2","2","0"
"National Labor Relations Board","Agency Overall","2019","0","0","0","0"
"National Credit Union Administration","Agency Overall","2019","0","1","1","0"
"Department of Health and Human Services","Agency Overall","2019","64","115","100","79"
"Department of Veterans Affairs","Agency Overall","2019","5","1","3","3"
"Department of Transportation","Agency Overall","2019","9","60","49","20"
"National Council on Disability","Agency Overall","2019","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","0","0","0","0"
"Legal Services Corporation","Agency Overall","2019","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2019","0","1","1","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2019","0","1","0","1"
"National Capital Planning Commission","Agency Overall","2019","0","2","2","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0","0","0"
"All agencies","Agency Overall","2019","3121","5882","5439","3564"
