"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"National Archives and Records Administration","Agency Overall","2019","48743","3115","782","3316","7731","141","16","178","801","42","1459","1738","68062"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2019","9","0","0","0","0","0","0","0","0","0","0","0","9"
"Department of Education","Agency Overall","2019","326","1276","80","232","4","136","17","32","0","212","39","14","2368"
"Department of Energy","Agency Overall","2019","483","368","47","324","222","230","35","33","17","43","81","0","1883"
"National Commission on Military, National, and Public Service","Agency Overall","2019","1","2","0","29","0","0","0","2","0","0","0","0","34"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","4","0","0","0","0","0","0","0","0","0","0","0","4"
"United States Access Board","Agency Overall","2019","2","12","2","5","0","3","0","2","0","0","0","0","26"
"United States Trade and Development Agency","Agency Overall","2019","9","2","1","5","0","0","0","0","0","2","0","0","19"
"Federal Open Market Committee","Agency Overall","2019","6","2","1","1","6","0","0","4","2","4","0","0","26"
"Department of Homeland Security","Agency Overall","2019","32233","255653","6143","74166","2005","1698","16","3481","23436","4070","25861","1036","429798"
"Federal Mediation and Conciliation Service","Agency Overall","2019","18","4","0","17","0","13","0","0","0","1","1","0","54"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","4","7","0","3","0","0","0","1","1","0","0","0","16"
"Department of Commerce","Agency Overall","2019","437","412","91","291","6","189","77","31","53","78","102","250","2017"
"Inter-American Foundation","Agency Overall","2019","5","0","0","5","0","0","0","0","0","0","0","0","10"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2019","0","0","0","2","0","0","3","0","0","0","0","0","5"
"National Endowment for the Humanities","Agency Overall","2019","15","27","0","10","0","2","0","0","0","0","0","0","54"
"Consumer Financial Protection Bureau","Agency Overall","2019","82","175","35","67","1","34","3","3","5","9","21","0","435"
"Advisory Council on Historic Preservation","Agency Overall","2019","3","0","0","2","0","0","0","0","0","0","0","0","5"
"Federal Reserve System","Agency Overall","2019","318","72","16","54","7","23","1","22","10","25","4","9","561"
"Securities and Exchange Commission","Agency Overall","2019","4695","733","1132","4287","71","182","31","8","39","42","267","0","11487"
"Appraisal Subcommittee","Agency Overall","2019","2","0","0","0","0","0","0","0","0","0","0","0","2"
"Office of the United States Trade Representative","Agency Overall","2019","18","79","3","30","0","0","0","4","0","0","0","4","138"
"United States International Boundary and Water Commission","Agency Overall","2019","27","19","1","4","0","1","0","0","0","0","0","2","54"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","0","1","0","1","0","1","0","0","0","0","3"
"Federal Trade Commission","Agency Overall","2019","339","531","115","167","1","33","15","20","30","3","35","72","1361"
"National Science Foundation","Agency Overall","2019","32","162","6","32","0","25","1","5","2","2","0","0","267"
"Overseas Private Investment Corporation","Agency Overall","2019","8","37","0","15","0","3","1","0","0","0","1","0","65"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","8","0","0","0","0","0","0","0","0","1","0","0","9"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","6","7","3","11","1","0","0","3","0","0","0","10","41"
"United States African Development Foundation","Agency Overall","2019","5","1","0","1","0","0","0","0","0","0","0","0","7"
"Federal Labor Relations Authority","Agency Overall","2019","16","28","1","26","1","6","0","1","0","4","1","0","84"
"Equal Employment Opportunity Commission","Agency Overall","2019","763","13977","2044","1254","148","371","36","60","200","144","756","41","19794"
"Office of Personnel Management","Agency Overall","2019","7494","2704","43","95","20","27","19","27","22","36","6","0","10493"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","1","5","2","3","2","0","0","1","1","0","0","0","15"
"Institute of Museum and Library Services","Agency Overall","2019","30","10","1","2","0","0","0","0","1","6","0","3","53"
"United States Institute of Peace","Agency Overall","2019","2","0","0","2","0","0","0","0","0","0","0","0","4"
"National Indian Gaming Commission","Agency Overall","2019","15","18","2","9","0","3","0","0","0","0","0","0","47"
"Federal Election Commission","Agency Overall","2019","32","33","6","26","3","6","0","1","1","1","0","18","127"
"Commission of Fine Arts","Agency Overall","2019","3","1","0","1","0","0","0","0","0","0","0","0","5"
"National Railroad Passenger Corporation","Agency Overall","2019","52","42","11","26","0","31","15","2","5","0","7","0","191"
"Office of Science and Technology Policy","Agency Overall","2019","2","24","0","36","0","1","0","0","0","0","0","0","63"
"Denali Commission","Agency Overall","2019","4","0","0","0","0","0","0","0","0","0","0","0","4"
"United States Copyright Office","Agency Overall","2019","5","2","0","9","21","0","0","5","0","0","0","0","42"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","4","2","1","0","0","0","0","0","0","0","0","1","8"
"National Transportation Safety Board","Agency Overall","2019","120","65","202","160","2","109","0","3","47","18","35","0","761"
"Selective Service System","Agency Overall","2019","29","3","0","14","10","0","0","6","0","0","0","0","62"
"Office of Government Ethics","Agency Overall","2019","20","57","7","27","2","6","0","6","0","0","0","0","125"
"Export-Import Bank of the U.S.","Agency Overall","2019","26","36","4","10","0","2","2","5","0","0","0","0","85"
"Armed Forces Retirement Home","Agency Overall","2019","3","1","3","0","0","0","0","0","0","0","0","0","7"
"Department of Housing and Urban Development","Agency Overall","2019","446","489","88","317","248","232","28","18","38","10","101","3","2018"
"Administrative Conference of the United States","Agency Overall","2019","4","2","0","0","0","0","0","0","0","18","0","0","24"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","19","20","4","6","0","1","0","1","0","0","0","0","51"
"Federal Deposit Insurance Corporation","Agency Overall","2019","66","46","24","20","3","18","14","45","36","59","10","0","341"
"Central Intelligence Agency","Agency Overall","2019","157","331","607","343","66","7","6","32","429","56","93","134","2261"
"Small Business Administration","Agency Overall","2019","421","195","17","126","2","63","10","23","10","16","40","0","923"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","7","11","7","4","0","4","0","0","1","0","0","0","34"
"National Labor Relations Board","Agency Overall","2019","246","824","62","64","1","156","25","17","1","3","21","0","1420"
"National Credit Union Administration","Agency Overall","2019","50","66","9","10","0","5","0","2","2","4","0","0","148"
"Department of Health and Human Services","Agency Overall","2019","12409","4238","5773","3314","815","3336","746","477","1252","770","653","34","33817"
"Department of Veterans Affairs","Agency Overall","2019","5406","9500","5018","1262","371","300","64","78","332","23","193","1202","23749"
"Department of Transportation","Agency Overall","2019","7549","3386","155","2570","18","732","55","13","53","26","58","6","14621"
"National Council on Disability","Agency Overall","2019","0","0","1","8","0","0","0","2","0","0","0","0","11"
"U.S. Railroad Retirement Board","Agency Overall","2019","87","0","7","8","1","0","0","0","0","4","2","0","109"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","25","0","0","0","0","0","0","0","0","0","0","0","25"
"Millennium Challenge Corporation","Agency Overall","2019","2","4","7","11","1","0","0","1","1","1","0","0","28"
"Legal Services Corporation","Agency Overall","2019","10","6","0","6","3","0","0","1","0","0","0","0","26"
"U.S. Agency for Global Media","Agency Overall","2019","10","34","0","13","0","12","0","3","2","0","0","0","74"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","0","1","0","0","0","0","0","0","0","0","1"
"Marine Mammal Commission","Agency Overall","2019","2","0","0","1","0","0","0","4","0","0","0","0","7"
"National Capital Planning Commission","Agency Overall","2019","3","0","0","4","0","0","0","1","0","0","0","0","8"
"Postal Regulatory Commission","Agency Overall","2019","6","0","0","8","0","1","0","0","0","0","0","0","15"
"All agencies","Agency Overall","2019","221912","351481","33866","128692","16429","15963","3496","7329","44008","9135","36829","8824","877964"
