"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Presidio Trust","Agency Overall","2019","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2019","20","18","1","49","25.5","25","19","30","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2019","27","58.9","<1","345","75","109.4","1","352","N/A","N/A","N/A","N/A"
"Advisory Council on Historic Preservation","Agency Overall","2019","17","17.5","4","32","81","81","81","81","N/A","N/A","N/A","N/A"
"Federal Reserve System","Agency Overall","2019","8","13","1","206","29","48","1","261","N/A","N/A","0","0"
"Securities and Exchange Commission","Agency Overall","2019","8","16.89","<1","446","494","574","311","1261","14","47.41","4","228"
"Appraisal Subcommittee","Agency Overall","2019","17","17","14","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2019","19","25","1","128","114","193","26","1531","7","7","6","9"
"United States International Boundary and Water Commission","Agency Overall","2019","37","40","1","224","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","1","0","1","44","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2019","6","9.7","1","129","20","36.06","1","329","11","19.73","3","45"
"National Science Foundation","Agency Overall","2019","8","32","1","641","50","87","1","1290","13","84","2","493"
"Overseas Private Investment Corporation","Agency Overall","2019","20","36.5","<1","150","96.5","103.3","1","272","N/A","N/A","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","8","10","6","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","34.5","72","4","200","224","249","31","857","N/A","N/A","N/A","N/A"
"United States African Development Foundation","Agency Overall","2019","11","8.6","1","17","51","51","51","51","20","20","20","20"
"Federal Labor Relations Authority","Agency Overall","2019","13","13.26","<1","51","<1","<1","<1","<1","14","14","<1","14"
"Equal Employment Opportunity Commission","Agency Overall","2019","12","32.82","<1","609","47","79.46","<1","325","20","20","20","20"
"Office of Personnel Management","Agency Overall","2019","1","3.5","1","1549","27","40.6","1","3550","N/A","N/A","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","11","12","1","28","10","13.1","2","30","10","10","10","10"
"Institute of Museum and Library Services","Agency Overall","2019","7","7.89","1","26","172","196.66","42","413","N/A","N/A","N/A","N/A"
"United States Institute of Peace","Agency Overall","2019","7","16.75","3","54","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2019","2","4.5","1","17","96","218","45","526","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2019","32","54.8","2","928","332","488.6","6","1876","N/A","N/A","N/A","N/A"
"Commission of Fine Arts","Agency Overall","2019","12.6","12.6","8","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2019","601","457.2","7","832","29","115.41","<1","719","652","652","652","652"
"Office of Science and Technology Policy","Agency Overall","2019","21","53.42","1","410","21","192.3","5","927","12.5","58.7","1","174"
"Denali Commission","Agency Overall","2019","12","13","1","24","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2019","18","15.8","3","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","131","131","29","233","160","160","125","182","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2019","42","280.13","1","1089","359","444.8","4","1180","43","43","43","43"
"Selective Service System","Agency Overall","2019","2","5","1","18","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2019","48","170","1","632","N/A","N/A","N/A","N/A","305.5","13.4","11","594"
"Export-Import Bank of the U.S.","Agency Overall","2019","6","15.76","<1","66","312.5","370.55","8","1273","15","15","15","15"
"Armed Forces Retirement Home","Agency Overall","2019","2","4","<1","4","2","2","2","2","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2019","17","58.59","<1","860","115","205.21","<1","1148","3","29.08","<1","176"
"Administrative Conference of the United States","Agency Overall","2019","1","1","1","1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","13","15.6","<1","61","71","150.7","21","310","2","2","2","2"
"Federal Deposit Insurance Corporation","Agency Overall","2019","7","10.55","<1","98","23","28.27","7","109","7","7.67","2","17"
"Central Intelligence Agency","Agency Overall","2019","14","20.11","<1","100","191.50","329.70","4","2641","88","88","31","145"
"Small Business Administration","Agency Overall","2019","13","22.05","<1","364","69","69","69","69","6","9","<1","26"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","9","13","<1","66","387","509","2","1074","6","59","2","283"
"National Labor Relations Board","Agency Overall","2019","10","39.86","<1","653","N/A","N/A","N/A","N/A","6.5","20.21","<1","361"
"National Credit Union Administration","Agency Overall","2019","8","9.37","<1","30","43","66.46","4","333","2.5","19.83","<1","96"
"Department of Health and Human Services","Agency Overall","2019","8.47","18.54","<1","1434","39.43","101.96","<1","1880","85.51","57.88","10","1424"
"Department of Veterans Affairs","Agency Overall","2019","13","59.42","<1","1606","55","155.28","<1","1365","11","83.74","<1","621"
"Department of Transportation","Agency Overall","2019","15","18.52","<1","1646","70","210.83","<1","1839","12.5","14.5","<1","93"
"National Council on Disability","Agency Overall","2019","4","6","<1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2019","20","194.71","1","1338","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","3","8.2","1","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Millennium Challenge Corporation","Agency Overall","2019","92","35","1","121","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2019","14","13.87","2","36","N/A","N/A","N/A","N/A","20","19","12","25"
"U.S. Agency for Global Media","Agency Overall","2019","48","79","2","338","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","5","5","5","5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2019","12.5","11.67","10","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2019","2","3.4","1","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2019","11","10","3","20","N/A","N/A","N/A","N/A","18","18","18","18"
