"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Selective Service System","Agency Overall","2019","0","2","0","2"
"Office of Government Ethics","Agency Overall","2019","5","1","5","1"
"Export-Import Bank of the U.S.","Agency Overall","2019","3","2","3","2"
"Armed Forces Retirement Home","Agency Overall","2019","0","1","0","1"
"Department of Housing and Urban Development","Agency Overall","2019","52","45","50","40"
"Administrative Conference of the United States","Agency Overall","2019","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","1","1","1","1"
"Federal Deposit Insurance Corporation","Agency Overall","2019","10","12","10","12"
"Central Intelligence Agency","Agency Overall","2019","277","249","219","173"
"Small Business Administration","Agency Overall","2019","21","10","28","10"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","4","0","4","0"
"National Labor Relations Board","Agency Overall","2019","14","11","13","12"
"National Credit Union Administration","Agency Overall","2019","2","2","2","2"
"Department of Health and Human Services","Agency Overall","2019","367","242","170","130"
"Department of Veterans Affairs","Agency Overall","2019","354","303","342","276"
"Department of Transportation","Agency Overall","2019","77","91","90","92"
"National Council on Disability","Agency Overall","2019","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","1","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","0","3","0","3"
"Legal Services Corporation","Agency Overall","2019","2","2","0","4"
"U.S. Agency for Global Media","Agency Overall","2019","2","0","3","3"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2019","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2019","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2019","1","0","1","0"
"All agencies","Agency Overall","2019","15731","15387","15170","15022"
