"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Department of Energy","Agency Overall","2019","6","0","0","1","0","1","1","0","0","0","3"
"National Commission on Military, National, and Public Service","Agency Overall","2019","0","0","0","0","0","0","0","0","0","2","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","1"
"United States Trade and Development Agency","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2019","81","13","45","1","1","499","101","239","16","7","24"
"Federal Mediation and Conciliation Service","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Department of Commerce","Agency Overall","2019","5","2","8","10","1","4","0","0","3","5","0"
"Inter-American Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2019","1","0","0","1","0","1","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2019","1","0","0","0","0","0","0","0","0","0","2"
"Securities and Exchange Commission","Agency Overall","2019","3","0","4","1","0","0","0","0","0","0","9"
"Appraisal Subcommittee","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2019","1","0","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Harry S. Truman Scholarship Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2019","1","0","0","0","0","0","0","1","0","0","0"
"National Science Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2019","13","3","27","1","6","44","0","9","0","0","56"
"Office of Personnel Management","Agency Overall","2019","13","2","3","0","1","0","2","0","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","1"
"Federal Election Commission","Agency Overall","2019","0","0","0","0","0","1","0","0","0","0","5"
"Commission of Fine Arts","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2019","1","0","1","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2019","2","1","4","0","0","10","0","2","0","1","0"
"Selective Service System","Agency Overall","2019","2","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Armed Forces Retirement Home","Agency Overall","2019","0","0","0","0","0","0","0","0","1","0","0"
"Department of Housing and Urban Development","Agency Overall","2019","4","0","6","0","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","1"
"Federal Deposit Insurance Corporation","Agency Overall","2019","0","0","0","0","1","1","0","0","1","0","0"
"Central Intelligence Agency","Agency Overall","2019","1","1","1","0","1","4","1","1","98","0","12"
"Small Business Administration","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2019","2","0","1","0","0","0","0","0","0","1","1"
"National Credit Union Administration","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2019","9","25","32","0","1","7","0","5","12","0","1"
"Department of Veterans Affairs","Agency Overall","2019","39","0","2","12","0","2","0","3","12","50","46"
"Department of Transportation","Agency Overall","2019","7","0","16","2","0","0","0","1","0","1","0"
"National Council on Disability","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Legal Services Corporation","Agency Overall","2019","0","0","0","1","0","1","0","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2019","0","0","1","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2019","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2019","1301","105","442","108","139","862","136","514","262","152","1451"
