"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","3","4","3","4"
"Social Security Administration","Agency Overall","2012","98","867","100","844"
"Department of Agriculture","Agency Overall","2012","225","210","194","180"
"Federal Maritime Commission","Agency Overall","2012","0","0","1","0"
"U.S. Agency for Global Media","Agency Overall","2012","6","4","6","4"
"United States African Development Foundation","Agency Overall","2012","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2012","345","225","230","353"
"Postal Regulatory Commission","Agency Overall","2012","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2012","4","6","3","3"
"United States Copyright Office","Agency Overall","2012","2","0","2","0"
"American Battle Monuments Commission","Agency Overall","2012","0","0","0","0"
"Department of the Treasury","Agency Overall","2012","343","313","349","311"
"Department of Homeland Security","Agency Overall","2012","1917","2345","1933","2490"
"Central Intelligence Agency","Agency Overall","2012","212","315","255","302"
"Federal Deposit Insurance Corporation","Agency Overall","2012","39","44","38","40"
"Merit Systems Protection Board","Agency Overall","2012","8","23","8","22"
"Office of Special Counsel","Agency Overall","2012","9","8","7","6"
"National Archives and Records Administration","Agency Overall","2012","66","61","64","60"
"Department of Defense","Agency Overall","2012","1066","1148","907","1080"
"Office of the Director of National Intelligence","Agency Overall","2012","15","16","3","12"
"Department of Housing and Urban Development","Agency Overall","2012","26","56","37","53"
"Environmental Protection Agency","Agency Overall","2012","215","215","208","246"
"Tennessee Valley Authority","Agency Overall","2012","4","6","4","6"
"National Railroad Passenger Corporation","Agency Overall","2012","7","2","7","3"
"Inter-American Foundation","Agency Overall","2012","0","0","0","0"
"Department of Commerce","Agency Overall","2012","83","76","108","96"
"National Labor Relations Board","Agency Overall","2012","78","34","58","54"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","1","0","1","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","0","3","0","1"
"Court Services and Offender Supervision Agency","Agency Overall","2012","0","2","0","2"
"Department of the Interior","Agency Overall","2012","174","188","230","225"
"Armed Forces Retirement Home","Agency Overall","2012","1","0","1","0"
"Securities and Exchange Commission","Agency Overall","2012","169","115","162","121"
"National Indian Gaming Commission","Agency Overall","2012","0","0","2","0"
"Federal Housing Finance Agency","Agency Overall","2012","11","12","12","11"
"Administrative Conference of the United States","Agency Overall","2012","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","1","0","1"
"National Endowment for the Humanities","Agency Overall","2012","2","1","1","2"
"National Mediation Board","Agency Overall","2012","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","1","2","1","1"
"Department of Education","Agency Overall","2012","32","25","15","34"
"Office of Personnel Management","Agency Overall","2012","31","30","26","34"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","3","1","3","1"
"National Endowment for the Arts","Agency Overall","2012","4","1","4","1"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","7","6","5","8"
"United States Postal Service","Agency Overall","2012","128","148","117","139"
"Selective Service System","Agency Overall","2012","0","0","0","0"
"Federal Trade Commission","Agency Overall","2012","28","29","25","32"
"Small Business Administration","Agency Overall","2012","22","21","22","22"
"Federal Communications Commission","Agency Overall","2012","17","18","17","23"
"General Services Administration","Agency Overall","2012","22","33","21","28"
"Department of Health and Human Services","Agency Overall","2012","316","311","319","245"
"Department of Labor","Agency Overall","2012","338","414","393","354"
"United States Trade and Development Agency","Agency Overall","2012","2","1","2","0"
"All agencies","Agency Overall","2012","10698","11899","10681","11789"
