"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Administrative Conference of the United States","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","0","0","0","1","0","1","0","0","0","1","0","0","0"
"National Endowment for the Humanities","Agency Overall","2012","0","0","0","1","0","1","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Department of Education","Agency Overall","2012","0","1","0","1","4","8","4","0","13","0","1","0","0","0"
"Office of Personnel Management","Agency Overall","2012","0","1","0","3","8","0","0","7","3","2","0","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","0","0","0","0","1","5","0","0","0","0","0","0","0","0"
"United States Postal Service","Agency Overall","2012","0","0","23","2","12","26","5","0","20","4","1","0","0","0"
"Selective Service System","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2012","0","0","4","2","11","5","5","0","0","0","1","0","0","0"
"Small Business Administration","Agency Overall","2012","0","0","0","11","2","5","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2012","0","0","1","4","2","1","2","1","1","0","0","0","0","0"
"General Services Administration","Agency Overall","2012","0","0","2","2","1","2","1","0","2","0","0","1","0","0"
"Department of Health and Human Services","Agency Overall","2012","0","2","3","20","24","45","8","0","14","2","2","0","0","0"
"Department of Labor","Agency Overall","2012","0","1","0","9","6","7","13","0","54","21","1","0","0","0"
"United States Trade and Development Agency","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2012","410","207","741","237","1444","2319","363","17","2170","244","1639","181","31","2"
