"Agency","Component","Fiscal Year","Number of Appeals Pending as of Start of Fiscal Year","Number of Appeals Received in Fiscal Year","Number of Appeals Processed in Fiscal Year","Number of Appeals Pending as of End of Fiscal Year"
"Council on Environmental Quality","Agency Overall","2012","0","1","1","0"
"National Capital Planning Commission","Agency Overall","2012","0","2","2","0"
"Institute of Museum and Library Services","Agency Overall","2012","0","0","0","0"
"Department of Transportation","Agency Overall","2012","74","147","173","48"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","1","1","0"
"Office of the United States Trade Representative","Agency Overall","2012","0","1","1","0"
"Farm Credit Administration","Agency Overall","2012","0","0","0","0"
"Legal Services Corporation","Agency Overall","2012","0","2","2","0"
"Nuclear Regulatory Commission","Agency Overall","2012","0","10","10","0"
"Department of Justice","Agency Overall","2012","501","3569","3412","658"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","0","4","4","0"
"Social Security Administration","Agency Overall","2012","14","867","844","37"
"Department of Agriculture","Agency Overall","2012","169","210","180","199"
"Federal Maritime Commission","Agency Overall","2012","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2012","0","4","4","0"
"United States African Development Foundation","Agency Overall","2012","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2012","318","225","353","190"
"Postal Regulatory Commission","Agency Overall","2012","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2012","2","6","3","5"
"United States Copyright Office","Agency Overall","2012","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2012","0","0","0","0"
"Department of the Treasury","Agency Overall","2012","73","313","311","75"
"Department of Homeland Security","Agency Overall","2012","461","2345","2490","316"
"Central Intelligence Agency","Agency Overall","2012","200","315","302","213"
"Federal Deposit Insurance Corporation","Agency Overall","2012","2","44","40","6"
"Merit Systems Protection Board","Agency Overall","2012","0","23","22","1"
"Office of Special Counsel","Agency Overall","2012","9","8","6","11"
"National Archives and Records Administration","Agency Overall","2012","6","61","60","7"
"Department of Defense","Agency Overall","2012","755","1148","1080","823"
"Office of the Director of National Intelligence","Agency Overall","2012","15","16","12","19"
"Department of Housing and Urban Development","Agency Overall","2012","2","56","53","5"
"Environmental Protection Agency","Agency Overall","2012","106","215","246","75"
"Tennessee Valley Authority","Agency Overall","2012","0","6","6","0"
"National Railroad Passenger Corporation","Agency Overall","2012","2","2","3","1"
"Inter-American Foundation","Agency Overall","2012","0","0","0","0"
"Department of Commerce","Agency Overall","2012","57","76","96","37"
"National Labor Relations Board","Agency Overall","2012","22","34","54","2"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","0","3","1","2"
"Court Services and Offender Supervision Agency","Agency Overall","2012","0","2","2","0"
"Department of the Interior","Agency Overall","2012","234","188","225","197"
"Armed Forces Retirement Home","Agency Overall","2012","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2012","22","115","121","16"
"National Indian Gaming Commission","Agency Overall","2012","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2012","0","12","11","1"
"Administrative Conference of the United States","Agency Overall","2012","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0","0","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","1","1","0"
"National Endowment for the Humanities","Agency Overall","2012","1","1","2","0"
"National Mediation Board","Agency Overall","2012","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","0","2","1","1"
"Department of Education","Agency Overall","2012","41","25","34","32"
"Office of Personnel Management","Agency Overall","2012","8","30","34","4"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","0","1","1","0"
"National Endowment for the Arts","Agency Overall","2012","0","1","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","2","6","8","0"
"United States Postal Service","Agency Overall","2012","11","148","139","20"
"Selective Service System","Agency Overall","2012","0","0","0","0"
"Federal Trade Commission","Agency Overall","2012","3","29","32","0"
"Small Business Administration","Agency Overall","2012","1","21","22","0"
"Federal Communications Commission","Agency Overall","2012","15","18","23","10"
"General Services Administration","Agency Overall","2012","3","33","28","8"
"Department of Health and Human Services","Agency Overall","2012","239","311","245","305"
"Department of Labor","Agency Overall","2012","88","414","354","148"
"United States Trade and Development Agency","Agency Overall","2012","0","1","0","1"
"All agencies","Agency Overall","2012","3854","11899","11789","3964"
