"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"U.S. Department of State","Agency Overall","2012","68","96","1","1589","464.3","579","16","3035","921.43","733","46","1559"
"Surface Transportation Board","Agency Overall","2012","5","6.3","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Credit Union Administration","Agency Overall","2012","13","19.66","N/A","129","213.5","190.15","18","345","11","11","11","11"
"Office of National Drug Control Policy","Agency Overall","2012","11","15","1","42","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2012","18","18.35","1","517","N/A","N/A","N/A","N/A","4","10","4","19"
"National Transportation Safety Board","Agency Overall","2012","26","30","22","46","176.5","200.31","1","614","N/A","N/A","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2012","18","16.37","N/A","51","42","41.92","4","92","39.5","46.75","21","87"
"Federal Financial Institutions Examination Council","Agency Overall","2012","7","9","2","18","19","19","19","19","N/A","N/A","N/A","N/A"
"Federal Election Commission","Agency Overall","2012","45","67.1","1","326","187.5","177.6","25","354","12.5","12.5","10","15"
"Federal Energy Regulatory Commission","Agency Overall","2012","25","23","11","34","30","128","10","16352","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2012","25","23","1","68","122","123","69","173","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2012","2","2","1","3","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2012","9","8.1","1","14","24","28.7","23","39","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2012","15","21.11","<1","878","38","59.04696","<1","1472","1","4.813","<1","252"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","14","12","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2012","19","21","3","75","278","116","1","527","2","2","2","2"
"Farm Credit Administration","Agency Overall","2012","15","13.53","2","19","N/A","N/A","N/A","N/A","18","16","8","20"
"Legal Services Corporation","Agency Overall","2012","7","8.56","1","30","21","22","17","29","10","10","1","19"
"Nuclear Regulatory Commission","Agency Overall","2012","9","14","<1","129","37","72","<1","437","23","135","15","366"
"Department of Justice","Agency Overall","2012","15","21.75","<1","622","58","113.65","<1","1237","236","228.34","<1","851"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","3","5.5","1","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2012","9","11.33","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2012","14","25","3","257","40","55","3","298","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2012","16","31.9","1","954","29","83.33","1","863","14","24.89","1","97"
"Federal Maritime Commission","Agency Overall","2012","10","10","8","12","289","265.5","41","415","10.5","10.5","10","11"
"U.S. Agency for Global Media","Agency Overall","2012","N/A","N/A","N/A","N/A","37","40","21","64","30","36","37","49"
"United States African Development Foundation","Agency Overall","2012","10","10","7","13","N/A","N/A","N/A","N/A","3","3","3","3"
"Department of Veterans Affairs","Agency Overall","2012","3","9.59","<1","444","12","29.57","<1","733","2","45.84","<1","393"
"Postal Regulatory Commission","Agency Overall","2012","6","5","N/A","15","27","27","27","27","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2012","11.5","11.5","10","13","N/A","N/A","N/A","N/A","20","20","20","20"
"Commodity Futures Trading Commission","Agency Overall","2012","26","55.9","<1","333","122","138.97","29","346","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2012","17","29.7","2","153","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2012","15","15","8","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2012","5","12.8","1","398","17","32.06","1","2536","10","22.18","1","895"
"Department of Homeland Security","Agency Overall","2012","46","71.72","1","1780","125","118.41","1","1648","22","58.57","1","813"
"Central Intelligence Agency","Agency Overall","2012","17","52","1","1496","64","188","1","1939","113","128","58","212"
"Federal Deposit Insurance Corporation","Agency Overall","2012","10","12.56","<1","73","22","22.32","<1","56","1","11.24","<1","102"
"Merit Systems Protection Board","Agency Overall","2012","18","10","N/A","38","N/A","N/A","N/A","N/A","8","8","8","8"
"Office of Special Counsel","Agency Overall","2012","20","30","1","183","122","254","4","747","6","75","1","375"
"National Archives and Records Administration","Agency Overall","2012","474","922.6","N/A","3509","609","1110","N/A","4932","16","12.5","1","22"
"Department of Defense","Agency Overall","2012","N/A","11","<1","1770","N/A","115","<1","4097","N/A","14","1","148"
"Office of the Director of National Intelligence","Agency Overall","2012","3","13.12","N/A","772","42.5","202.2","2","1163","23","208","22","579"
"Department of Housing and Urban Development","Agency Overall","2012","18","25.16","1","400","41","39.99","1","533","8","2.8","1","24"
"Environmental Protection Agency","Agency Overall","2012","15","14.14","<1","19","29","44.42","<1","851","40","96.11","24","346"
"Tennessee Valley Authority","Agency Overall","2012","6","6.7","1","20","35","41","21","141","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2012","5.5","6.29","1","22","71","155.1","1","1408","1","1","1","1"
"Inter-American Foundation","Agency Overall","2012","13","21.3","2","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2012","15","23","1","511","42","91","1","628","15","16","5","29"
"National Labor Relations Board","Agency Overall","2012","3","6","N/A","N/A","N/A","N/A","N/A","N/A","3","6","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","13","116","2","382","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","19","22","17","31","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","13","18","1","36","89","85","62","104","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2012","16","22","1","363","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2012","1","2","<1","81","18","43","<1","1870","12","51","<1","369"
"Armed Forces Retirement Home","Agency Overall","2012","14.5","111","4","656","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2012","20","27","<1","399","147","325","21","776","16","16","10","22"
"National Indian Gaming Commission","Agency Overall","2012","24","54.09","1","142","94","94","94","94","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2012","8","12.47","<1","165","45.5","65.55","1","271","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2012","3","3","1","5","N/A","N/A","N/A","N/A","3","3","3","3"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","7","9","1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2012","17","16.71","8","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2012","16.5","15.4","3","19","23","26.5","19","53","9.5","9.5","9","10"
"National Mediation Board","Agency Overall","2012","10","22.33","2","125","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","23","29","1","101","92","70","19","150","22","20","9","30"
"Department of Education","Agency Overall","2012","20","34.75","1","730","65.5","108","3","684","55","72.77","32","136"
"Office of Personnel Management","Agency Overall","2012","7","14","N/A","N/A","78","103","N/A","N/A","27","81","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","20","20","2","41","194","371","46","977","96","276","33","880"
"National Endowment for the Arts","Agency Overall","2012","13","15","<1","42","59","73.5","48","119","9","23","4","71"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","12","12.5","7","19","21.5","21","20","23","3","3","3","3"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","7","7","1","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2012","14","21.44","N/A","269","25","43.64","1","476","1","1","1","1"
"Selective Service System","Agency Overall","2012","2","2","1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2012","5","6.73","1","106","15","29.8","1","499","5","5.33","2","9"
"Small Business Administration","Agency Overall","2012","2","3.87","<1","186","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2012","20","33","<1","1175","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2012","30","44.13","N/A","1507","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2012","10","30","1","1198","53","95","1","1863","N/A","10","41","379"
"Department of Labor","Agency Overall","2012","13","28.5","1","1842","13","25.2","1","1917","8.5","31.1","1","386"
"United States Trade and Development Agency","Agency Overall","2012","N/A","N/A","N/A","N/A","13.5","15.1","7","29","N/A","N/A","N/A","N/A"
