"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Agriculture","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-19","7","2012-04-11","119"
"Federal Maritime Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Agency for Global Media","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States African Development Foundation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-20","6"
"Postal Regulatory Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"American Battle Monuments Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Treasury","Agency Overall","2012","2012-08-30","20","2012-08-22","26","2012-07-18","51","2012-07-17","52","2012-07-17","52","2012-03-29","128","2012-02-01","141","2012-01-25","265","2011-08-23","278","2011-02-01","420"
"Department of Homeland Security","Agency Overall","2012","2011-05-05","357","2011-03-27","385","2011-03-21","390","2010-10-28","486","2010-10-08","499","2010-10-08","499","2010-10-08","499","2010-10-05","502","2010-09-03","523","2010-06-15","580"
"Central Intelligence Agency","Agency Overall","2012","2007-04-19","1992","2007-04-17","1994","2007-02-09","2061","2006-11-03","2159","2006-08-25","2229","2006-08-10","2244","2006-06-08","2307","2006-02-13","2422","2005-02-11","2789","2003-11-24","3234"
"Federal Deposit Insurance Corporation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Merit Systems Protection Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2012","2004-01-22","2180","2003-10-21","2241","2003-02-14","2413","2002-10-09","2499","2002-10-03","2503","2002-08-30","2526","2002-07-16","2559","2002-04-16","2622","2002-04-11","2625","2001-01-08","2940"
"Office of the Director of National Intelligence","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-24","7","2012-05-10","144"
"Department of Housing and Urban Development","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Environmental Protection Agency","Agency Overall","2012","2012-05-06","94","2012-03-02","145","2011-12-28","190","2011-10-20","237","2010-10-21","488","2010-09-29","503","2010-09-28","504","2010-04-05","624","2009-12-02","709","2006-12-20","1450"
"Tennessee Valley Authority","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-09-20","6","2012-06-22","69","2012-05-22","91","2011-08-02","293","2010-09-01","605"
"National Labor Relations Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-08-22","49"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Court Services and Offender Supervision Agency","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Interior","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Armed Forces Retirement Home","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Housing Finance Agency","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Administrative Conference of the United States","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-08-27","23"
"Recovery Accountability and Transparency Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Humanities","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Mediation Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Education","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Personnel Management","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-03-27","140"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Arts","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Small Business Administration","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2012-11-01","230"
"General Services Administration","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2012","N/A","0","N/A","0","N/A","0","2012-09-21","5","2012-09-21","5","2012-09-20","6","2012-09-18","8","2012-08-29","21","2012-08-27","23","2010-06-24","560"
"United States Trade and Development Agency","Agency Overall","2012","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
