"Agency","Component","Fiscal Year","Statute","Case Citation","Type of Information Withheld","Number of Times Relied Upon"
"U.S. Agency for Global Media","Agency Overall","2012","41 U.S.C. 423 (a)(1)* (Procurement Integrity Act)","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001) (dictum)","Contractor bid or proposal information; source selection information","2"
"Postal Regulatory Commission","Agency Overall","2012","N/A","N/A","N/A","0"
"American Battle Monuments Commission","Agency Overall","2012","Exemption 6","FOIA 12-09","ABMC employee's hire date","1"
"Department of the Treasury","Agency Overall","2012","26 U.S.C. § 6103","Church of Scientology v. IRS,  484 U.S. 9, 15 (1987); Pac.  Fisheries, Inc. v. IRS, 395 F.  App'x. 438, 440 (9th Cir.  2010) (unpublished  disposition)","Certain tax return information","2554"
"Department of the Treasury","Agency Overall","2012","26 U.S.C. § 6105","Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Certain tax convention information","55"
"Department of the Treasury","Agency Overall","2012","31 U.S.C. § 5319","Hulstein v. DEA, No. 10-4112, 2011 U.S. Dist. LEXIS 25788, at *7-8 (N.D. Iowa Mar. 11, 2011); Berger v. IRS, 487 F. Supp. 2d 482, 496-97 (D.N.J. 2007), aff'd on other grounds, 288 F. App'x 829 (3d Cir. 2008), cert. denied, 129 S. Ct. 2789 (U.S. 2009); Sciba v. Bd. of Governors of the Fed. Reserve Sys., No. 04-1011, 2005 WL 3201206, at *6 (D.D.C. Nov. 4, 2005).","Reports pertaining to monetary instruments transactions filed under subchapter II of chapter 53 of title 31 and records of those reports","250"
"Department of the Treasury","Agency Overall","2012","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings","2"
"Department of the Treasury","Agency Overall","2012","41 U.S.C. § 4702(b)","Sinkfield v. HUD, No. 10- 885, 2012 U.S. Dist. LEXIS  35233, at *13-15 (S.D. Ohio  Mar. 15, 2012); Hornbostel v.  U.S. Dep't of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts","4"
"National Archives and Records Administration","Agency Overall","2012","5 U.S.C. 574(j) - Alternative Dispute Resolution Act","None","Dispute-resolution communications between a party and a neutral.","3"
"National Archives and Records Administration","Agency Overall","2012","8 U.S.C. 1202(f) - Immigration and Nationality Act","Medina-Hincapie v. Dep't of State, 700 F.2d 737, 741-42 (D.C. Cir. 1983); DeLaurentiis v. Haig, 686 F.2d 192, 194 (3d Cir. 1982); Judicial Watch, Inc. v. U.S. Dep't of State, 650 F. Supp. 2d 28, 33 (D.D.C. 2009); Smith v. DOJ, No. 81-CV-813, 1983 U.S. Dist. LEXIS 10878, at *13-14 (N.D.N.Y. Dec. 13, 1983).","Certain records pertaining to the issuance or refusal of visas to enter the United States.","1"
"National Archives and Records Administration","Agency Overall","2012","10 U.S.C. 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WL 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DOJ, 562 F. Supp. 2d 82, 112 (D.D.C. 2008); Wickwire Gavin, P.C. v. Def. Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of the Defense Intelligence Agency, the National Reconnaissance Office,and the National Geospatial-Intelligence Agency.","6"
"National Archives and Records Administration","Agency Overall","2012","18 U.S.C. 2510-2520 - Title III of the Omnibus Crime Control and Safe Streets Act","Mendoza v. DEA, No. 07-5006, 2007 U.S. App. LEXIS 22175 (D.C.Cir. Sept. 14, 2007)(per curiam); Lam Lek Chong v. DEA, 929 F.2d 729, 733 (D.C. Cir. 1991); Payne v. DOJ, No. 96-30840, slip op. at 5-6 (5th Cir. July 11, 1997).","Wiretap requests and the contents of any wire, oral, or electronic communication obtained through wiretaps.","1"
"National Archives and Records Administration","Agency Overall","2012","26 U.S.C. 6103, 6105 - Internal Revenue Code","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987)(26 U.S.C. 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010)(unpublished disposition)(26 U.S.C. 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. 6105)","Certain tax return information and certain tax convention information.","5"
"National Archives and Records Administration","Agency Overall","2012","41 U.S.C. 253(b)(m)(1)","Sinkfield v. HUD, No. 10-885, 2012 U.S. Dist. LEXIS 35233, at *13-15 (S.D. Ohio Mar. 15, 2012); Hornbostel v. U.S. Dep't of Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.C. Cir. Aug. 25, 2004).","Contractor proposals that are in the possession or control of an executive agency and that have not been set forth or incorporated by reference into contracts.","2"
"National Archives and Records Administration","Agency Overall","2012","41 U.S.C. 423(a)(1) - Procurement Integrity Act","Legal & Safety Employer Research, Inc. v. U.S. Dep't of the Army, No. Civ. S001748, 2001 WL 34098652, at *3-4 (E.D. Cal. May 4, 2001)(dictum).","Contractor bid or proposal information; source selection information.","2"
"National Archives and Records Administration","Agency Overall","2012","42 U.S.C. 2162 - Atomic Energy Act","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","""Restricted Data"" pertaining to atomic weapons and special nuclear material.","1"
"National Archives and Records Administration","Agency Overall","2012","42 U.S.C. 2168(a)(1)(c) (FRD)","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29, 1984), aff'd in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","Restricted and Formerly Restricted Data (Atomic Energy Act of 1954)","3"
"National Archives and Records Administration","Agency Overall","2012","50 U.S.C. 403-1(i)(1) - National Security Act of 1947","CIA v. Sims, 471 U.S. 159, 167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380 (D.C.Cir. 2007).","Intelligence sources and methods.","1"
"National Archives and Records Administration","Agency Overall","2012","50 U.S.C. 403(g) - CIA Act of 1949","Larson v. Dep't of State, 565 F.3d 857, 865 n.2 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v. Chertoff, 489 F. Supp. 2d 421, 442 (D.N.J. 2007), aff'd on other grounds, 541 F.3d 205 (3d Cir. 2008).","Intelligence sources and methods; certain information pertaining to Agency employees, specifically: ""the organization, functions, names, official titles, salaries, or numbers of personnel employed by the Agency""","123"
"National Archives and Records Administration","Agency Overall","2012","50 U.S.C. 421(c) - Intelligence Identies Protection Act of 1982","None","Identies of US Undercover Intelligence Officers, Agents, Informants and Sources","1"
"National Archives and Records Administration","Agency Overall","2012","Fed. R. Crim. P. 6(e), enacted by Act of July 30, 1977, Pub. L. No. 95-78, 91 Stat. 319","Sussman v. USMS, 494 F.3d 1106, 1113 (D.C. Cir. 2007); Fund for Constitutional Gov't v. Nat'l Archives & Records Serv., 656 F.2d 856, 867-68 (D.C. Cir. 1981); Durham v. U.S. Atty. Gen., No. 06-843, 2008 WL 620744, at *2 (E.D. Tex. Mar. 3, 2008); Cozen O'Connor v. U.S. Dep't of Treasury, 570 F. Supp. 2d 749, 776 (E.D. Pa. 2008).","Certain records pertaining to grand jury proceedings.","7"
"Department of Defense","Agency Overall","2012","5 U.S.C. § 574(j)","No","Dispute resolutiion communications between a neutral and a party to the dispute","7"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 128","No","Unclassified special nuclear weapons information","4"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 130","Newport Aeronautical Sales v. Dep’t of the Air Force, 660 F. Supp. 2d 60, 65 (D.D.C. 2009); Chenkin v. Department of the Army, No. 93-494, 1994 U.S. Dist. LEXIS 20907, at *8 (E.D. Pa. Jan. 14, 1994), aff’d, 61 F.3d 894 (3d Cir. 1995) (unpublished table decision).","Certain technical data with military or space application in the possession of, or under the control of, the Department of Defense","122"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 130b","Hiken v. DOD, 521 F. Supp. 2d 1047, 1062(N.D. Cal. 2007); O’Keefe v. DOD, 463 F. Supp. 2d 317, 325 (E.D.N.Y. 2006); Windel v. United States, No. A02-306, 2005 WL 846206, at *2 (D. Alaska Apr. 11, 2005).","Personally identifying information of DoD and Coast Guard personnel in overseas, sensitive or routinely deployable units","765"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 130c","Nat’l Inst. Of Military Justice v. DoD 404 F. Supp 2d 325, 335-37 (D.D.C. 2005), aff’d on other grounds, 512 F.3d 677 (D.C. Cir 2008); ACLU v. DOD, 389 F. Supp. 2d 547, 554 (S.D.N.Y. 2005); Gerstein v. DOD, No. 03-5193, slip op. at 8 (N.D. Ca. Dec. 21, 2004).","Certain sensitive information of foreign governments and international organizations","33"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 424","Physicians for Human Rights v. DOD, No. RDB-08-273, 2011 WS 1495942, at *7 (D.D.C. Apr. 19, 2011); Miller v. DoJ, 562 D. Supp. 2d 82, 112 (D.D.C. 2008). Wickerwire Gavin, P.C. v. Def Intelligence Agency, 330 F. Supp. 2d 592, 602 (E.D. Va. 2004).","Organization or any function of, and certain information pertaining to, employees of DIA, NRO, and NGA","766"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 455","No","Maps, charts, and geodetic data","26"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 612a(a)","No","Proceedings from Selection and Special Selection Boards for Active Duty Officers and Warrant Officers","1"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 1102","Goodrich v. Dept of Air Force, 404 F. Supp. 2d 48, 50-51 (D.D.C. 2005); Dayton Newspapers, Inc. v Dep’t of the Air Force, 107 F Supp. 2d 912, 917 (S.D. Ohio 1999).","Medical quality assurance records","8"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 1506 (d) & (f)","No","Records pertaining to the debriefing of a missing person returned to U.S. control","2"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 2305 (g)","Margolin v. NASA, No. 09-CV-00421-LRH-VPC, 2011 WL 1303551, at *6 (D. Nev. Mar. 31, 2011); Chesterfield Assocs. Inc. v U.S. Coast Guard, No. 08-CV-4674, 2009 WL 1406994 at *1-2 (E.D.N.Y May 19, 2009).","DoD Contractor proposals","198"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 2371 (i)","No","Proposals, business plans, or technical information submitted to the DoD as part of a process resulting in awards other than contracts and grants","1"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 2485(h)","No","Limitations on Release of cCommissary Commercially Valuable Information","1"
"Department of Defense","Agency Overall","2012","10 U.S.C. § 2640 (h)","No","Safety-Related Information Voluntarily Provided by an Air Carrier","9"
"Department of Defense","Agency Overall","2012","5 U.S.C. app. § 107(a)","Meyerhoff v. EPA, 958 F.2d 1498, 1500-02 (9th Cir. 1992); Concepcion v. FBI, 606 F. Supp. 2d 14, 33 (D.D.C. 2009), renewed motion for summary judgment granted in part on other grounds, 699 F. Supp. 2d 106 (D.D.C. 2010).","Financial disclosure information pertaining to certain government employees","2"
"Department of Defense","Agency Overall","2012","15 U.S.C. § 3710a(c)(7)","Pub. Citizen Health Research Group v. NIH, 209 F. Supp. 2d 37, 43, 51 (D.D.C. 2002); DeLorme Pub. Co., Inc. v. NOAA, 917 F. Supp. 867, 871-72 (D. Me. 1996), appeal dismissed per stipulation, No. 96-1601 (1st Cir. July 8, 1996).","Confidential Commercial or Financial Information obtained in Cooperative Research and Development Agreements","1"
"Department of Defense","Agency Overall","2012","16 U.S.C. § 470w-3","Hornbostel v. U.S. Dep’t of the Interior, 305 F. Supp. 2d 21, 30 (D.D.C. 2003), summary affirmance granted, No. 03-5257, 2004 WL 1900562 (D.D.Cir Aug. 25, 2004).","National historic preservation information","39"
"Department of Defense","Agency Overall","2012","18 U.S.C. § 798(a)","Larson v. Dept of State, 565 F 3d 857, 868-869 (D.C. Cir. 2009);N.Y. Times Co. v. DoD 499 F. Supp. 2d 501, 512 (S.D.N.Y. 2007); Adejumobi v. NSA, No. 07-1237, 2007 WL 4247878, at *3 (M.D. Fla Dec 3, 2007), aff’d per curiam, 287 F. App’x 770 (11th Cir. 2008).","Certain classified information pertaining to the communication intelligence and cytological devices of the United States or any foreign government","1044"
"Department of Defense","Agency Overall","2012","18 U.S.C. § 3509(d)","Tampico v. EOUSA, No. 04-2285, slip op. at 8 (D.D.C. Apr. 29, 2005).","Certain records containing identifying information pertaining to children involved in criminal proceedings","12"
"Department of Defense","Agency Overall","2012","22 U.S.C. § 2778(e)","Council for a Livable World v. U.S. Dept. of State, No 96-1807, slip op. at 11 (D.D.C. Jan. 21, 1998), amended (D.D.C Nov. 23, 1998).","Certain information pertaining to export license applications","3"
"Department of Defense","Agency Overall","2012","26 U.S.C. § 6103","Church of Scientology v. IRS, 484 U.S. 9, 15 (1987) (26 U.S.C. § 6103); Pac. Fisheries, Inc. v. IRS, 395 F. App'x. 438, 440 (9th Cir. 2010) (unpublished disposition) (26 U.S.C. §§ 6103, 6105); Tax Analysts v. IRS, 217 F. Supp. 2d 23, 27-29 (D.D.C. 2002) (26 U.S.C. § 6105).","Confidentiality and Disclosure of Returns and Return Information.","3"
"Department of Defense","Agency Overall","2012","35 U.S.C. § 122","Irons & Sears v. Dann, 606 F.2d 1215, 1219-21 (D.C. Cir. 1979).","Confidentiality Status of Patent Applications.","1"
"Department of Defense","Agency Overall","2012","41 U.S.C. § 423(a)(1)","Legal & Safety Employer Research, Inc v. U.S. Dept of Army. No. Civ. S001748, 2001 WL 34098652 at *3-4 (E.D. Cal. May 4, 2001) (dictum).","Contractor bid or proposal information; source selection information","28"
"Department of Defense","Agency Overall","2012","42 U.S.C. § 2162(a), 42 U.S.C. § 2168(a)(1)©","Meeropol v. Smith, No. 75-1121, slip op. at 53-55 (D.D.C. Feb. 29 1984), aff’d in relevant part & remanded in part on other grounds sub nom, Meeropol v. Meese, 790 F.2d 942 (D.C. Cir. 1986).","Information regarding atomic energy:  Restricted and Formerly Restricted Data","38"
"Department of Defense","Agency Overall","2012","50 U.S.C. § 402 note","Houghton v. NSA, No. 09-4440, 2010 WL 1784058, at *3 (3d Cir. May 5, 2010)(per curiam); Larson v. Dept of State, 565 F. 3d 857, 868-869 (D.C. Cir. 2009); Founding Church of Scientology v. NSA, 610 F.2d 824, 827-28 (D.C. Cir. 1979); Roman v. NSA, No. 07-CV-4502, 2009 WL 303686, at *5-6 (E.D.N.Y Feb. 9, 2009), summary affirmance granted, 354 F. App’x. 591 (2d Cir. 2009).","Information pertaining to the functiions or informatiion of NSA; certain information pertaining to NSA employees","1390"
"Department of Defense","Agency Overall","2012","50 U.S.C. § 403(g)","Larson v. Dept of State, 565 F. 3d 857, 868-869 (D.C. Cir. 2009); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Makky v Chertoff, 489 F.Supp. 2d 421, 442 (D.N.J. 2007), aff’d on other grounds, 541 F. 3d 205 (3d Cir 2008).","Certain information pertaining to CIA employees, specifically; the organization, functions, names, official titles, salaries, or numbers of personnel employed by the CIA","23"
"Department of Defense","Agency Overall","2012","50 U.S.C. § 403-1(i)","CIA v. Sims, 471 U.S. 159, 167 (1985); Berman v. CIA, 501 F.3d 1136, 1137-38, 1140 (9th Cir. 2007); Wolf v. CIA, 473 F.3d 370, 378, 380  (D.D. Cir. 2007).","Intelligence sources and methods","2034"
"Department of Defense","Agency Overall","2012","50 U.S.C. § 421","No","Identities of US undercover intelligence officers, agents, informants and sources","4"
"Department of Defense","Agency Overall","2012","50 U.S.C. § 432b","No","NSA operational files","2"
"Department of Defense","Agency Overall","2012","50 U.S.C. § 435 note","No","Information concerning US personnel classified as POW/MIA during the Vietnam and Korean Conflicts (""McCain Bill"")","4"
"Department of Defense","Agency Overall","2012","IG Act of 1978, Sec 7(b). P.L. 95-452","No","Confidentiality of employee complaints to the IG","24"
"National Railroad Passenger Corporation","Agency Overall","2012","N/A","N/A","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","N/A","0","0"
"Armed Forces Retirement Home","Agency Overall","2012","N/A","N/A","N/A","0"
"National Indian Gaming Commission","Agency Overall","2012","N/A","N/A","N/A","0"
"National Endowment for the Humanities","Agency Overall","2012","N/A","N/A","N/A","0"
"National Mediation Board","Agency Overall","2012","N/A","N/A","N/A","0"
"National Endowment for the Arts","Agency Overall","2012","N/A","N/A","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","N/A","N/A","N/A","0"
"Selective Service System","Agency Overall","2012","0","0","0","0"
"Small Business Administration","Agency Overall","2012","0","N/A","0","0"
"Department of Labor","Agency Overall","2012","30 U.S.C. 813(g)","None","Complaint information and interviews of miners","2"
