"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Federal Election Commission","Agency Overall","2012","20","49","1","326","81.5","132.6","16","354","12.5","12.5","10","15"
"Federal Energy Regulatory Commission","Agency Overall","2012","24","23","4","80","28","99","1","1632","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2012","24","26","1","68","90","93","8","173","76","76","28","124"
"National Capital Planning Commission","Agency Overall","2012","3","3","1","6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2012","9","8.9","1","19","24","28.7","23","39","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2012","13","20.714","<1","1323","37","61.912","<1","1472","10","23.69","<1","252"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","12","12","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2012","10","22","3","88","31","151","1","905","51","38","2","51"
"Farm Credit Administration","Agency Overall","2012","12.5","11.71","1","20","N/A","N/A","N/A","N/A","8","11","1","20"
"Legal Services Corporation","Agency Overall","2012","6","8.11","1","30","21","22","17","29","6","9","1","19"
"Nuclear Regulatory Commission","Agency Overall","2012","7","10","<1","129","20","51","<1","437","23","135","15","366"
"Department of Justice","Agency Overall","2012","12","18.93","<1","642","43","100.21","<1","1237","147.5","189.79","<1","851"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","3","5.5","1","28","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2012","9","10.959","1","43","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2012","12","19","3","257","41","57","1","298","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2012","16","33.12","1","954","25","76.4","1","863","13","34.7","1","313"
"Federal Maritime Commission","Agency Overall","2012","12","20.4","4","59","283","272.4","16","504","11","12.3","10","16"
"U.S. Agency for Global Media","Agency Overall","2012","N/A","N/A","N/A","N/A","26","32","3","118","30","36","37","49"
"United States African Development Foundation","Agency Overall","2012","10","10","7","13","N/A","N/A","N/A","N/A","3","3","3","3"
"Department of Veterans Affairs","Agency Overall","2012","4","10.61","<1","444","12","28.1","<1","833","2.5","34.77","<1","393"
"Postal Regulatory Commission","Agency Overall","2012","3","5","N/A","15","27","27","27","27","N/A","N/A","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2012","13","13.8","10","17","N/A","N/A","N/A","N/A","7","9.33","1","20"
"Commodity Futures Trading Commission","Agency Overall","2012","18","46.52","<1","333","108","146.47","3","471","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2012","7.5","18.6","N/A","153","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2012","14","13","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2012","5","17.26","1","398","14","25.75","1","2536","6","31.8","1","895"
"Department of Homeland Security","Agency Overall","2012","44","72","1","1780","98","98.6","1","1648","22","59.67","1","813"
"Central Intelligence Agency","Agency Overall","2012","12","32","N/A","1846","30","93","N/A","1939","58","84","15","212"
"Federal Deposit Insurance Corporation","Agency Overall","2012","5","8.81","<1","73","1","10.15","<1","56","1","8.13","<1","102"
"Merit Systems Protection Board","Agency Overall","2012","18","10","N/A","38","N/A","N/A","N/A","N/A","8","8","8","8"
"Office of Special Counsel","Agency Overall","2012","10","29","1","211","134","271","1","747","20","83","9","381"
"National Archives and Records Administration","Agency Overall","2012","6","57.5","N/A","3509","357","917","N/A","4932","8","10","1","22"
"Department of Defense","Agency Overall","2012","N/A","11","<1","3022","N/A","115","<1","4099","N/A","14","1","391"
"Office of the Director of National Intelligence","Agency Overall","2012","4","16.54","N/A","772","42.5","190.28","N/A","1163","23","208","22","579"
"Department of Housing and Urban Development","Agency Overall","2012","16","20.13","1","400","34","44.75","1","533","9","8.4","1","39"
"Environmental Protection Agency","Agency Overall","2012","15","16.93","<1","19","30","45.91","<1","1186","71","111.18","24","346"
"Tennessee Valley Authority","Agency Overall","2012","7","7.7","1","20","34","36.4","21","86","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2012","6","7.87","1","50","31","104.08","1","1408","9.5","9.5","1","19"
"Inter-American Foundation","Agency Overall","2012","8","13.9","2","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Commerce","Agency Overall","2012","13","18","1","511","32","76","1","628","8","10","1","29"
"National Labor Relations Board","Agency Overall","2012","4","6","N/A","N/A","N/A","N/A","N/A","N/A","2","5","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","13","61","1","381","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","20","27","1","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","10","13","1","39","88","82","59","104","N/A","N/A","N/A","N/A"
"Court Services and Offender Supervision Agency","Agency Overall","2012","17","37","1","475","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Interior","Agency Overall","2012","1","2","<1","81","17","44","<1","1870","12","48","<1","369"
"Armed Forces Retirement Home","Agency Overall","2012","14.5","111","4","656","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2012","6","14","<1","399","147","325","1","776","6","13","1","81"
"National Indian Gaming Commission","Agency Overall","2012","31","53.95","1","226","97","143","94","238","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2012","6","11.03","<1","165","21","39.25","<1","271","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2012","3","2","1","5","N/A","N/A","N/A","N/A","3","3","3","3"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","11","11","1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Recovery Accountability and Transparency Board","Agency Overall","2012","8","10.4","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2012","16.5","15.4","3","22","22.5","25.8","18","53","9","9.3","9","10"
"National Mediation Board","Agency Overall","2012","11","30.32","2","125","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","23","29","1","101","90","75","5","150","22","20","9","30"
"Department of Education","Agency Overall","2012","19","35.71","1","730","63","108","1","850","81.5","91.8","32","263"
"Office of Personnel Management","Agency Overall","2012","7","16","N/A","N/A","121","102","N/A","N/A","27","81","N/A","N/A"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","20","17","2","41","382","413","30","977","35","188","8","880"
"National Endowment for the Arts","Agency Overall","2012","12","14","<1","43","68","148","48","331","9","14","<1","71"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","9","9.5","3","19","21.5","21","20","23","3","3","3","3"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","7","7","1","57","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Postal Service","Agency Overall","2012","7","15.06","N/A","335","23.5","44.06","1","476","1","1","1","1"
"Selective Service System","Agency Overall","2012","2","2","1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2012","3","5.29","1","129","26.5","49.48","1","463","16","11.4","1","18"
"Small Business Administration","Agency Overall","2012","2","4.2","<1","222","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2012","18","26","<1","1175","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"General Services Administration","Agency Overall","2012","35","49.73","N/A","1507","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2012","8","35","<1","1198","42","80","1","2648","60","11","24","400"
"Department of Labor","Agency Overall","2012","8","48","1","1970","12","54.6","1","2796","9","139.9","1","1928"
"United States Trade and Development Agency","Agency Overall","2012","N/A","N/A","N/A","N/A","13","20.6","7","84","N/A","N/A","N/A","N/A"
