"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"National Indian Gaming Commission","Agency Overall","2012","76","56","66","42"
"Federal Housing Finance Agency","Agency Overall","2012","113","174","111","181"
"Administrative Conference of the United States","Agency Overall","2012","7","15","7","15"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","24","10","22","12"
"Recovery Accountability and Transparency Board","Agency Overall","2012","19","17","19","16"
"National Endowment for the Humanities","Agency Overall","2012","48","34","49","37"
"National Mediation Board","Agency Overall","2012","29","25","25","29"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","69","55","69","43"
"Department of Education","Agency Overall","2012","2401","2246","2486","2346"
"Office of Personnel Management","Agency Overall","2012","7844","9519","7643","10610"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","48","29","49","54"
"National Endowment for the Arts","Agency Overall","2012","139","130","140","126"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","20","11","19","12"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","7291","5314","7364","5475"
"United States Postal Service","Agency Overall","2012","2503","2434","2423","2460"
"Selective Service System","Agency Overall","2012","18","20","18","20"
"Federal Trade Commission","Agency Overall","2012","1523","1415","1527","1438"
"Small Business Administration","Agency Overall","2012","3135","3870","3132","3848"
"Federal Communications Commission","Agency Overall","2012","590","501","594","478"
"General Services Administration","Agency Overall","2012","1564","1690","1677","1773"
"Department of Health and Human Services","Agency Overall","2012","67426","68467","70149","69256"
"Department of Labor","Agency Overall","2012","18861","18560","18500","19224"
"United States Trade and Development Agency","Agency Overall","2012","28","14","46","14"
"All agencies","Agency Overall","2012","645115","651254","631515","665924"
