"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Inter-American Foundation","Agency Overall","2012","4","2","0","4","0","0","0","0","0","0","0","0","10"
"Department of Commerce","Agency Overall","2012","428","365","125","176","53","83","119","51","111","133","15","42","1701"
"National Labor Relations Board","Agency Overall","2012","5215","485","277","20","113","163","","","","3","","","6276"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","3","2","4","2","0","0","0","0","0","0","0","0","11"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","3","5","0","3","0","0","0","0","0","0","1","0","12"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","5","11","0","16","5","2","0","0","0","1","0","1","41"
"Court Services and Offender Supervision Agency","Agency Overall","2012","62","633","0","18","0","59","9","0","1","2","6","13","803"
"Department of the Interior","Agency Overall","2012","2863","1445","173","604","152","162","136","87","45","42","87","489","6285"
"Armed Forces Retirement Home","Agency Overall","2012","2","1","1","3","1","3","1","0","0","0","0","0","12"
"Securities and Exchange Commission","Agency Overall","2012","2391","332","479","7176","49","75","53","16","149","116","150","316","11302"
"National Indian Gaming Commission","Agency Overall","2012","14","8","2","7","3","6","2","0","0","0","0","0","42"
"Federal Housing Finance Agency","Agency Overall","2012","23","55","18","51","1","4","15","0","3","11","0","0","181"
"Administrative Conference of the United States","Agency Overall","2012","3","2","0","10","0","0","0","0","0","0","0","0","15"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","8","0","0","4","0","0","0","0","0","0","0","0","12"
"Recovery Accountability and Transparency Board","Agency Overall","2012","5","2","0","3","4","1","0","1","0","0","0","0","16"
"National Endowment for the Humanities","Agency Overall","2012","10","15","0","7","0","2","0","1","2","0","0","0","37"
"National Mediation Board","Agency Overall","2012","18","2","0","5","0","4","0","0","0","0","0","0","29"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","31","6","1","2","0","2","0","1","0","0","0","0","43"
"Department of Education","Agency Overall","2012","672","1134","96","211","9","122","4","10","13","29","40","6","2346"
"Office of Personnel Management","Agency Overall","2012","6119","4409","15","14","1","13","1","5","9","15","1","8","10610"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","7","12","10","9","0","15","0","1","0","0","0","0","54"
"National Endowment for the Arts","Agency Overall","2012","20","80","5","14","0","4","0","0","2","0","0","1","126"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","4","5","0","1","0","0","0","1","0","1","0","0","12"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","4403","206","20","19","1","25","0","3","101","1","226","470","5475"
"United States Postal Service","Agency Overall","2012","436","532","377","235","0","36","42","24","301","106","33","338","2460"
"Selective Service System","Agency Overall","2012","20","0","0","0","0","0","0","0","0","0","0","0","20"
"Federal Trade Commission","Agency Overall","2012","637","483","19","223","0","27","10","5","10","2","6","16","1438"
"Small Business Administration","Agency Overall","2012","3385","147","37","131","31","30","4","13","8","7","6","49","3848"
"Federal Communications Commission","Agency Overall","2012","112","143","11","90","1","55","14","26","4","3","1","18","478"
"General Services Administration","Agency Overall","2012","749","449","47","247","11","106","35","5","28","36","60","0","1773"
"Department of Health and Human Services","Agency Overall","2012","42637","1918","5786","10287","1426","2335","1075","320","1074","279","503","1616","69256"
"Department of Labor","Agency Overall","2012","2869","7419","1503","4360","496","411","199","125","175","274","617","776","19224"
"United States Trade and Development Agency","Agency Overall","2012","6","2","0","5","0","1","0","0","0","0","0","0","14"
"All agencies","Agency Overall","2012","234049","200209","30727","88501","18465","14518","5572","6310","29858","9824","15840","12051","665924"
