"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"United States African Development Foundation","Agency Overall","2012","0","0"
"Department of Veterans Affairs","Agency Overall","2012","615","173"
"Postal Regulatory Commission","Agency Overall","2012","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0"
"Commodity Futures Trading Commission","Agency Overall","2012","42","4"
"United States Copyright Office","Agency Overall","2012","4","0"
"American Battle Monuments Commission","Agency Overall","2012","1","0"
"Department of the Treasury","Agency Overall","2012","282","32"
"Department of Homeland Security","Agency Overall","2012","28553","165"
"Central Intelligence Agency","Agency Overall","2012","887","206"
"Federal Deposit Insurance Corporation","Agency Overall","2012","0","1"
"Merit Systems Protection Board","Agency Overall","2012","0","1"
"Office of Special Counsel","Agency Overall","2012","97","8"
"National Archives and Records Administration","Agency Overall","2012","7610","5"
"Department of Defense","Agency Overall","2012","6371","769"
"Office of the Director of National Intelligence","Agency Overall","2012","132","18"
"Department of Housing and Urban Development","Agency Overall","2012","278","5"
"Environmental Protection Agency","Agency Overall","2012","468","57"
"Tennessee Valley Authority","Agency Overall","2012","12","0"
"National Railroad Passenger Corporation","Agency Overall","2012","6","1"
"Inter-American Foundation","Agency Overall","2012","0","0"
"Department of Commerce","Agency Overall","2012","227","33"
"National Labor Relations Board","Agency Overall","2012","17","1"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","1","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","2","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","4","2"
"Court Services and Offender Supervision Agency","Agency Overall","2012","7","0"
"Department of the Interior","Agency Overall","2012","449","186"
"Armed Forces Retirement Home","Agency Overall","2012","0","0"
"Securities and Exchange Commission","Agency Overall","2012","172","11"
"National Indian Gaming Commission","Agency Overall","2012","29","0"
"Federal Housing Finance Agency","Agency Overall","2012","6","0"
"Administrative Conference of the United States","Agency Overall","2012","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0","0"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","0"
"National Endowment for the Humanities","Agency Overall","2012","0","0"
"National Mediation Board","Agency Overall","2012","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","11","1"
"Department of Education","Agency Overall","2012","238","27"
"Office of Personnel Management","Agency Overall","2012","42","4"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","17","0"
"National Endowment for the Arts","Agency Overall","2012","10","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","0","0"
"United States Postal Service","Agency Overall","2012","53","5"
"Selective Service System","Agency Overall","2012","0","0"
"Federal Trade Commission","Agency Overall","2012","1","0"
"Small Business Administration","Agency Overall","2012","14","0"
"Federal Communications Commission","Agency Overall","2012","38","9"
"General Services Administration","Agency Overall","2012","56","4"
"Department of Health and Human Services","Agency Overall","2012","5740","274"
"Department of Labor","Agency Overall","2012","735","139"
"United States Trade and Development Agency","Agency Overall","2012","1","0"
"All agencies","Agency Overall","2012","71790","NaN"
