"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Federal Election Commission","Agency Overall","2012","0","1","1","0"
"Federal Energy Regulatory Commission","Agency Overall","2012","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2012","5","10","13","2"
"National Capital Planning Commission","Agency Overall","2012","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2012","0","1","1","0"
"Department of Transportation","Agency Overall","2012","2","17","17","2"
"Special Inspector General for Iraq Reconstruction","Agency Overall","2012","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2012","8","3","3","8"
"Farm Credit Administration","Agency Overall","2012","0","0","0","0"
"Legal Services Corporation","Agency Overall","2012","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2012","0","5","5","0"
"Department of Justice","Agency Overall","2012","74","607","596","85"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2012","0","0","0","0"
"Office of Government Ethics","Agency Overall","2012","0","0","0","0"
"Social Security Administration","Agency Overall","2012","0","1","1","0"
"Department of Agriculture","Agency Overall","2012","3","36","37","2"
"Federal Maritime Commission","Agency Overall","2012","0","0","0","0"
"U.S. Agency for Global Media","Agency Overall","2012","0","2","2","0"
"United States African Development Foundation","Agency Overall","2012","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2012","1","8","8","1"
"Postal Regulatory Commission","Agency Overall","2012","0","2","2","0"
"Farm Credit System Insurance Corporation","Agency Overall","2012","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2012","0","0","0","0"
"United States Copyright Office","Agency Overall","2012","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2012","0","0","0","0"
"Department of the Treasury","Agency Overall","2012","30","324","326","28"
"Department of Homeland Security","Agency Overall","2012","43","338","336","45"
"Central Intelligence Agency","Agency Overall","2012","239","1116","1007","348"
"Federal Deposit Insurance Corporation","Agency Overall","2012","0","0","0","0"
"Merit Systems Protection Board","Agency Overall","2012","0","0","0","0"
"Office of Special Counsel","Agency Overall","2012","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2012","0","0","0","0"
"Department of Defense","Agency Overall","2012","1062","2144","2191","1015"
"Office of the Director of National Intelligence","Agency Overall","2012","0","12","10","2"
"Department of Housing and Urban Development","Agency Overall","2012","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2012","15","80","63","32"
"Tennessee Valley Authority","Agency Overall","2012","0","1","1","0"
"National Railroad Passenger Corporation","Agency Overall","2012","0","0","0","0"
"Inter-American Foundation","Agency Overall","2012","0","0","0","0"
"Department of Commerce","Agency Overall","2012","7","40","42","5"
"National Labor Relations Board","Agency Overall","2012","0","4","4","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2012","0","0","0","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2012","0","1","0","1"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2012","0","0","0","0"
"Court Services and Offender Supervision Agency","Agency Overall","2012","0","0","0","0"
"Department of the Interior","Agency Overall","2012","2","17","19","0"
"Armed Forces Retirement Home","Agency Overall","2012","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2012","1","4","5","0"
"National Indian Gaming Commission","Agency Overall","2012","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2012","0","1","1","0"
"Administrative Conference of the United States","Agency Overall","2012","0","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2012","0","3","2","1"
"Recovery Accountability and Transparency Board","Agency Overall","2012","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2012","0","0","0","0"
"National Mediation Board","Agency Overall","2012","0","0","0","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2012","0","0","0","0"
"Department of Education","Agency Overall","2012","0","0","0","0"
"Office of Personnel Management","Agency Overall","2012","0","20","19","1"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","0","0","0","0"
"National Endowment for the Arts","Agency Overall","2012","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2012","0","0","0","0"
"United States Postal Service","Agency Overall","2012","0","18","18","0"
"Selective Service System","Agency Overall","2012","0","0","0","0"
"Federal Trade Commission","Agency Overall","2012","0","2","2","0"
"Small Business Administration","Agency Overall","2012","0","0","0","0"
"Federal Communications Commission","Agency Overall","2012","1","3","3","1"
"General Services Administration","Agency Overall","2012","0","0","0","0"
"Department of Health and Human Services","Agency Overall","2012","0","22","22","0"
"Department of Labor","Agency Overall","2012","12","118","123","7"
"United States Trade and Development Agency","Agency Overall","2012","0","0","0","0"
"All agencies","Agency Overall","2012","3479","16221","13550","6150"
