"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"National Endowment for the Humanities","Agency Overall","2012","0","0","0","9","4","14","0","0","0","0","2","0","0","0"
"National Mediation Board","Agency Overall","2012","0","0","0","0","1","1","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2012","","","","","","","","","","","","","",""
"Chemical Safety and Hazard Investigation Board","Agency Overall","2012","0","1","0","12","6","7","7","0","4","1","4","1","0","0"
"National Endowment for the Arts","Agency Overall","2012","0","0","0","38","16","69","0","0","0","0","0","0","0","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2012","","","","","","","","","","","","","",""
"Pension Benefit Guaranty Corporation","Agency Overall","2012","0","0","0","16","7","192","1","0","2","0","0","0","0","0"
"United States Postal Service","Agency Overall","2012","0","16","440","82","120","508","26","1","299","88","50","1","0","0"
"Selective Service System","Agency Overall","2012","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2012","0","0","0","59","19","37","0","0","2","0","0","0","3","0"
"General Services Administration","Agency Overall","2012","","","","","","","","","","","","","",""
"Department of Health and Human Services","Agency Overall","2012","","","","","","","","","","","","","",""
"Department of Labor","Agency Overall","2012","2","144","89","3835","3133","2058","1618","88","6066","2470","1176","3","0","0"
"United States Trade and Development Agency","Agency Overall","2012","","","","","","","","","","","","","",""
"All agencies","Agency Overall","2012","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN"
