"Agency","Component","Fiscal Year","Number of Full Grants","Number of Partial Grants/Partial Denials","Number of Full Denials Based on Exemptions","No Records","All Records Referred to Another Component or Agency","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper FOIA Request for Other Reason","Not Agency Record","Duplicate Request","Other*","Total"
"Presidio Trust","Agency Overall","2022","0","4","0","2","0","1","2","0","0","0","0","0","9"
"Export-Import Bank of the U.S.","Agency Overall","2022","22","37","1","20","0","2","0","8","0","0","0","0","90"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","2","0","0","0","0","0","0","0","0","0","0","0","2"
"U.S. Department of State","Agency Overall","2022","82","4258","1866","1522","57","44","0","618","262","342","61","55","9167"
"Farm Credit Administration","Agency Overall","2022","6","14","0","16","0","1","0","0","0","0","0","0","37"
"U.S. Commission on Civil Rights","Agency Overall","2022","17","1","0","35","0","2","0","0","5","0","0","0","60"
"Social Security Administration","Agency Overall","2022","5929","2479","1193","1032","196","25","740","87","59","27","44","0","11811"
"National Indian Gaming Commission","Agency Overall","2022","19","14","1","14","0","1","0","0","0","0","0","0","49"
"United States African Development Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2022","30","60","7","12","0","4","0","1","0","1","0","0","115"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","17","20","1","3","0","3","0","0","0","0","0","4","48"
"U.S. Election Assistance Commission","Agency Overall","2022","13","17","1","33","0","8","0","0","0","0","0","0","72"
"Federal Deposit Insurance Corporation","Agency Overall","2022","60","103","23","29","1","16","14","105","54","87","10","0","502"
"Office of National Drug Control Policy","Agency Overall","2022","13","30","0","18","0","3","1","0","0","0","0","0","65"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","15","0","0","0","0","0","0","0","0","0","0","0","15"
"Council on Environmental Quality","Agency Overall","2022","26","20","0","44","0","5","0","8","8","10","0","3","124"
"Merit Systems Protection Board","Agency Overall","2022","29","40","7","34","0","3","0","7","6","2","2","0","130"
"Office of Special Counsel","Agency Overall","2022","19","63","13","11","0","18","0","3","2","5","6","0","140"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","5","4","2","6","2","2","0","0","0","0","0","0","21"
"Peace Corps","Agency Overall","2022","32","47","2","20","9","4","0","20","18","3","1","0","156"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","6","33","6","13","2","7","0","1","7","0","0","8","83"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","5","0","0","0","0","0","0","0","0","0","0","0","5"
"Federal Trade Commission","Agency Overall","2022","433","507","137","180","0","32","10","34","170","12","13","51","1579"
"Department of Labor","Agency Overall","2022","2346","5182","1869","3075","224","663","235","0","0","135","606","0","14335"
"Federal Communications Commission","Agency Overall","2022","99","190","13","90","0","81","7","1","7","2","17","1","508"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","4","0","0","0","0","0","0","0","0","0","0","0","4"
"Nuclear Regulatory Commission","Agency Overall","2022","46","60","6","24","3","28","4","15","4","26","3","0","219"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","10","10"
"United States International Trade Commission","Agency Overall","2022","2","21","6","18","1","10","0","0","0","2","0","0","60"
"Institute of Museum and Library Services","Agency Overall","2022","4","5","2","6","0","1","0","0","4","9","0","0","31"
"National Labor Relations Board","Agency Overall","2022","475","1131","55","83","0","122","30","13","9","0","22","0","1940"
"Denali Commission","Agency Overall","2022","7","0","0","0","0","0","0","0","0","0","0","0","7"
"Federal Reserve System","Agency Overall","2022","251","89","43","84","4","25","6","12","69","63","10","2","658"
"Inter-American Foundation","Agency Overall","2022","3","1","1","4","0","0","0","0","0","0","0","0","9"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","2","1","0","3","0","0","0","1","0","0","0","0","7"
"National Transportation Safety Board","Agency Overall","2022","31","39","157","120","0","23","0","1","98","5","26","0","500"
"Federal Financial Institutions Examination Council","Agency Overall","2022","7","3","0","0","0","0","0","0","0","0","0","0","10"
"National Archives and Records Administration","Agency Overall","2022","823","10457","31","2513","82","244","54","142","280","39","67","245","14977"
"Selective Service System","Agency Overall","2022","26","0","0","22","0","0","0","0","0","0","0","0","48"
"United States Copyright Office","Agency Overall","2022","8","3","0","13","14","4","0","1","0","14","0","0","57"
"Department of Transportation","Agency Overall","2022","8828","6086","167","2397","77","814","45","45","40","89","362","8","18958"
"Office of the Director of National Intelligence","Agency Overall","2022","38","153","44","106","2","3","0","4","1","32","2","44","429"
"Social Security Advisory Board","Agency Overall","2022","0","0","0","10","0","0","0","0","0","0","0","0","10"
"National Capital Planning Commission","Agency Overall","2022","4","0","0","2","0","0","0","0","0","0","0","0","6"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","3129","287","54","235","3","57","0","11","26","17","58","0","3877"
"Department of Agriculture","Agency Overall","2022","12652","2319","189","767","105","679","41","57","78","33","184","62","17166"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","9","0","9","0","0","0","0","0","0","0","0","18"
"Department of Housing and Urban Development","Agency Overall","2022","307","448","121","380","18","501","14","22","77","29","101","13","2031"
"Department of Energy","Agency Overall","2022","317","314","17","569","52","138","9","25","19","21","30","0","1511"
"Department of Health and Human Services","Agency Overall","2022","11227","4093","4906","5509","648","2895","614","398","4491","1128","1156","176","37241"
"Office of Personnel Management","Agency Overall","2022","130","65","62","105","9","76","5","6","14","25","11","0","508"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","4","3","0","6","1","0","0","11","0","0","0","0","25"
"National Council on Disability","Agency Overall","2022","2","4","0","7","0","0","0","0","0","3","0","0","16"
"Small Business Administration","Agency Overall","2022","3994","1395","138","338","8","169","13","4299","0","0","474","0","10828"
"Armed Forces Retirement Home","Agency Overall","2022","2","3","1","1","0","0","0","0","0","0","0","0","7"
"Office of the United States Trade Representative","Agency Overall","2022","16","36","1","17","0","2","0","1","0","0","0","0","73"
"Consumer Product Safety Commission","Agency Overall","2022","90","138","86","64","15","24","0","13","0","10","7","74","521"
"Department of Defense","Agency Overall","2022","14171","16739","2766","5859","1773","2473","316","1014","1836","1317","1982","1976","52222"
"Federal Election Commission","Agency Overall","2022","31","34","7","34","0","1","0","1","5","5","0","0","118"
"Equal Employment Opportunity Commission","Agency Overall","2022","1247","8148","1225","821","38","92","3","125","473","244","844","3","13263"
"Federal Open Market Committee","Agency Overall","2022","4","3","1","3","15","1","0","1","2","1","0","0","31"
"Environmental Protection Agency","Agency Overall","2022","2089","927","51","960","3","717","63","123","1586","11","96","4","6630"
"U.S. Railroad Retirement Board","Agency Overall","2022","36","0","12","13","1","0","0","2","0","0","0","0","64"
"Administrative Conference of the United States","Agency Overall","2022","5","0","0","22","0","0","0","0","0","0","0","0","27"
"Commodity Futures Trading Commission","Agency Overall","2022","22","50","22","30","3","6","2","42","7","2","0","16","202"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","2","0","0","0","0","0","0","0","0","0","0","2"
"Postal Regulatory Commission","Agency Overall","2022","3","4","0","24","0","0","0","0","0","0","1","14","46"
"United States Access Board","Agency Overall","2022","0","2","1","8","0","0","0","0","0","0","0","0","11"
"Department of Education","Agency Overall","2022","106","521","43","135","6","116","7","129","0","267","95","37","1462"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","1","0","0","2","0","0","0","0","0","0","0","0","3"
"National Mediation Board","Agency Overall","2022","7","4","0","8","0","0","0","0","0","0","0","0","19"
"U.S. International Development Finance Corporation","Agency Overall","2022","5","29","0","8","0","2","0","0","0","0","0","0","44"
"United States Institute of Peace","Agency Overall","2022","4","1","0","0","0","0","0","0","0","0","0","0","5"
"Securities and Exchange Commission","Agency Overall","2022","2359","612","949","5120","64","420","14","45","43","84","146","0","9856"
"American Battle Monuments Commission","Agency Overall","2022","4","1","0","18","0","0","0","3","2","1","0","0","29"
"United States International Boundary and Water Commission","Agency Overall","2022","9","13","0","7","0","1","0","1","0","0","0","0","31"
"National Endowment for the Humanities","Agency Overall","2022","3","28","0","14","0","3","0","1","1","0","0","0","50"
"Federal Energy Regulatory Commission","Agency Overall","2022","10","41","12","16","0","5","0","0","0","0","0","0","84"
"Legal Services Corporation","Agency Overall","2022","11","7","0","7","0","4","0","0","0","0","0","0","29"
"Consumer Financial Protection Bureau","Agency Overall","2022","58","89","26","43","1","55","0","8","8","88","4","0","380"
"Department of Commerce","Agency Overall","2022","321","362","65","323","8","136","56","102","105","181","68","47","1774"
"U.S. Agency for International Development","Agency Overall","2022","40","114","8","35","2","52","10","7","26","18","6","12","330"
"Surface Transportation Board","Agency Overall","2022","13","9","2","57","0","2","1","4","0","0","1","0","89"
"Department of the Treasury","Agency Overall","2022","2991","2257","383","733","94","502","21","169","2113","178","944","46","10431"
"National Endowment for the Arts","Agency Overall","2022","12","18","1","8","1","0","0","1","0","0","0","0","41"
"Department of Homeland Security","Agency Overall","2022","44490","250545","13190","133055","4473","2732","122","749","32963","4751","18000","962","506032"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","17","14","3","73","4","14","0","0","0","0","0","0","125"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","23","13","0","9","0","3","0","0","4","0","0","0","52"
"National Railroad Passenger Corporation","Agency Overall","2022","38","34","40","28","3","8","0","1","5","2","5","0","164"
"Federal Labor Relations Authority","Agency Overall","2022","11","41","0","25","0","1","0","5","0","52","1","0","136"
"All agencies","Agency Overall","2022","153182","343501","38400","188773","9301","17345","2940","11176","66518","10185","29734","7284","878339"
