"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","0","0","0","0","0"
"Presidio Trust","Agency Overall","2022","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","0","1","1","0","2"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2022","283","19","33","68","403"
"Farm Credit Administration","Agency Overall","2022","1","0","0","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2022","1","0","0","0","1"
"Social Security Administration","Agency Overall","2022","363","126","183","102","774"
"National Indian Gaming Commission","Agency Overall","2022","0","0","0","0","0"
"United States African Development Foundation","Agency Overall","2022","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2022","5","1","0","0","6"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","0","0","0","0","0"
"U.S. Election Assistance Commission","Agency Overall","2022","1","1","0","0","2"
"Federal Deposit Insurance Corporation","Agency Overall","2022","4","3","1","1","9"
"Office of National Drug Control Policy","Agency Overall","2022","1","0","0","0","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2022","1","0","0","0","1"
"Merit Systems Protection Board","Agency Overall","2022","7","3","1","1","12"
"Office of Special Counsel","Agency Overall","2022","7","3","1","1","12"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","1","0","0","1"
"Peace Corps","Agency Overall","2022","2","4","0","1","7"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","0","6","0","0","6"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2022","25","5","15","4","49"
"Department of Labor","Agency Overall","2022","21","9","37","125","192"
"Federal Communications Commission","Agency Overall","2022","2","0","0","5","7"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2022","7","0","1","1","9"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2022","5","7","0","1","13"
"Institute of Museum and Library Services","Agency Overall","2022","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2022","6","5","1","6","18"
"Denali Commission","Agency Overall","2022","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2022","12","2","0","27","41"
"Inter-American Foundation","Agency Overall","2022","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2022","4","4","0","5","13"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2022","16","1","1","4","22"
"Selective Service System","Agency Overall","2022","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2022","0","0","0","1","1"
"Department of Transportation","Agency Overall","2022","12","10","19","0","41"
"Office of the Director of National Intelligence","Agency Overall","2022","1","0","0","2","3"
"Social Security Advisory Board","Agency Overall","2022","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2022","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","5","1","0","4","10"
"Department of Agriculture","Agency Overall","2022","42","45","13","60","160"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2022","23","0","11","19","53"
"Department of Energy","Agency Overall","2022","14","3","2","10","29"
"Department of Health and Human Services","Agency Overall","2022","68","10","86","314","478"
"Office of Personnel Management","Agency Overall","2022","1","1","4","3","9"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","0","0","0","0","0"
"National Council on Disability","Agency Overall","2022","0","0","0","0","0"
"Small Business Administration","Agency Overall","2022","11","26","14","5","56"
"Armed Forces Retirement Home","Agency Overall","2022","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2022","2","2","0","0","4"
"Consumer Product Safety Commission","Agency Overall","2022","9","5","1","1","16"
"Department of Defense","Agency Overall","2022","479","157","138","483","1257"
"Federal Election Commission","Agency Overall","2022","4","2","0","3","9"
"Equal Employment Opportunity Commission","Agency Overall","2022","57","6","46","133","242"
"Federal Open Market Committee","Agency Overall","2022","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2022","35","20","27","48","130"
"U.S. Railroad Retirement Board","Agency Overall","2022","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2022","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2022","6","4","1","0","11"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2022","0","0","0","0","0"
"United States Access Board","Agency Overall","2022","0","0","0","0","0"
"Department of Education","Agency Overall","2022","10","13","9","30","62"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","0","0","0","0"
"National Mediation Board","Agency Overall","2022","1","0","0","0","1"
"U.S. International Development Finance Corporation","Agency Overall","2022","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2022","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2022","405","48","125","34","612"
"American Battle Monuments Commission","Agency Overall","2022","1","0","0","0","1"
"United States International Boundary and Water Commission","Agency Overall","2022","1","1","0","0","2"
"National Endowment for the Humanities","Agency Overall","2022","2","1","0","0","3"
"Federal Energy Regulatory Commission","Agency Overall","2022","5","3","0","2","10"
"Legal Services Corporation","Agency Overall","2022","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","10","3","2","0","15"
"Department of Commerce","Agency Overall","2022","13","4","1","10","28"
"U.S. Agency for International Development","Agency Overall","2022","1","2","0","4","7"
"Surface Transportation Board","Agency Overall","2022","0","0","0","1","1"
"Department of the Treasury","Agency Overall","2022","103","7","2","35","147"
"National Endowment for the Arts","Agency Overall","2022","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2022","2010","1953","2043","1366","7372"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","1","0","0","0","1"
"National Railroad Passenger Corporation","Agency Overall","2022","2","0","1","0","3"
"Federal Labor Relations Authority","Agency Overall","2022","0","0","0","0","0"
"All agencies","Agency Overall","2022","5676","2698","3204","3847","15425"
