"Agency","Component","Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of Start of the Fiscal Year","Number of Consultations Received from Other Agencies During the Fiscal Year","Number of Consultations Received from Other Agencies that were Processed by the Agency During the Fiscal Year","Number of Consultations Received from Other Agencies that were Pending at the Agency as of End of the Fiscal Year"
"Department of Housing and Urban Development","Agency Overall","2022","0","20","19","1"
"Department of Energy","Agency Overall","2022","188","179","183","184"
"Department of Health and Human Services","Agency Overall","2022","112","324","324","112"
"Office of Personnel Management","Agency Overall","2022","2","27","28","1"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","0","1","1","0"
"National Council on Disability","Agency Overall","2022","0","0","0","0"
"Small Business Administration","Agency Overall","2022","4","13","17","0"
"Armed Forces Retirement Home","Agency Overall","2022","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2022","0","26","26","0"
"Consumer Product Safety Commission","Agency Overall","2022","0","0","0","0"
"Department of Defense","Agency Overall","2022","1335","1223","1322","1236"
"Federal Election Commission","Agency Overall","2022","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2022","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2022","14","62","70","6"
"U.S. Railroad Retirement Board","Agency Overall","2022","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2022","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2022","0","8","8","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2022","0","0","0","0"
"United States Access Board","Agency Overall","2022","0","0","0","0"
"Department of Education","Agency Overall","2022","1","22","20","3"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","1","1","0"
"National Mediation Board","Agency Overall","2022","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","0","10","10","0"
"United States Institute of Peace","Agency Overall","2022","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2022","2","16","14","4"
"American Battle Monuments Commission","Agency Overall","2022","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2022","0","6","6","0"
"National Endowment for the Humanities","Agency Overall","2022","0","2","2","0"
"Federal Energy Regulatory Commission","Agency Overall","2022","0","7","7","0"
"Legal Services Corporation","Agency Overall","2022","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","0","9","8","1"
"Department of Commerce","Agency Overall","2022","42","147","145","44"
"U.S. Agency for International Development","Agency Overall","2022","13","48","46","15"
"Surface Transportation Board","Agency Overall","2022","0","0","0","0"
"Department of the Treasury","Agency Overall","2022","44","212","215","41"
"National Endowment for the Arts","Agency Overall","2022","0","4","4","0"
"Department of Homeland Security","Agency Overall","2022","477","874","1046","305"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","1","8","8","1"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2022","0","2","2","0"
"Federal Labor Relations Authority","Agency Overall","2022","0","0","0","0"
"All agencies","Agency Overall","2022","3391","7053","7284","3160"
