"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Department of Labor","Agency Overall","2022","988","105","123","1108","113","177","2","N/A","N/A"
"Federal Communications Commission","Agency Overall","2022","41","14.0","50.56","19","230.0","389.26","4","183.5","191.0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2022","5","34","114.6","85","673","640.08","1","9","9"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2022","6","20.5","20.8","8","73.5","91.1","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2022","0","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2022","77","8","36.83","0","N/A","N/A","8","8","18.75"
"Denali Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2022","4","2","1","32","22","46","3","223","178"
"Inter-American Foundation","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","2","12","12","0","N/A","N/A","0","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2022","21","69","102","160","156.5","171","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2022","2","13","13","1","20","20","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2022","5849","510","686","4120","801","1217","0","N/A","N/A"
"Selective Service System","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2022","1","22","22","3","28","84","0","N/A","N/A"
"Department of Transportation","Agency Overall","2022","4449","98.00","259.56","2034","356.50","448.14","146","717.00","766.84"
"Office of the Director of National Intelligence","Agency Overall","2022","89","755","689.21","477","616","739.01","4","536","428"
"Social Security Advisory Board","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","36","6.5","6.33","37","5.0","5.97","0","N/A","N/A"
"Department of Agriculture","Agency Overall","2022","1674","153","233.45","640","235","316.16","6","581.5","501.67"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2022","273","59.00","153.96","473","349.00","446.28","3","17.00","26.00"
"Department of Energy","Agency Overall","2022","263","79","166","712","274","402","2","580","612"
"Department of Health and Human Services","Agency Overall","2022","1275","119.41","178.62","11513","323.85","408.23","229","526.15","566.38"
"Office of Personnel Management","Agency Overall","2022","85","71","99","67","290","339","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","2","65","65","0","N/A","N/A","0","N/A","N/A"
"National Council on Disability","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Small Business Administration","Agency Overall","2022","591","151","217","2","474","474","1","583","583"
"Armed Forces Retirement Home","Agency Overall","2022","0","N/A","N/A","1","280","280","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2022","0","N/A","N/A","3","18","31.3","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2022","77","501","549","417","560","529","0","N/A","N/A"
"Department of Defense","Agency Overall","2022","2903","12.50","159.86","17332","282.00","431.94","170","292.00","440.62"
"Federal Election Commission","Agency Overall","2022","1","43","43","3","170","451","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","342","4.499","152.115","63","16.25","182.803","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2022","684","66","198.49","1201","397","493.83","5","1363","944.4"
"U.S. Railroad Retirement Board","Agency Overall","2022","2","231","162.5","0","N/A","N/A","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2022","0"," N/A"," N/A ","5","45","51","0"," N/A"," N/A "
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Access Board","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Education","Agency Overall","2022","238","103.5","216","1452","199","281","4","500.5","542"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","N/A","N/A","1","147","147","0","N/A","N/A"
"National Mediation Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","13","248","268.31","36","531","502.48","7","595","593.14"
"United States Institute of Peace","Agency Overall","2022","0","N/A","N/A","2","359","359","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2022","293","9","9","683","101","135","1","145","145"
"American Battle Monuments Commission","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2022","37","540","574","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2022","1","11","11","2","44.5","44.5","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2022","4","9","19","70","104","304","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2022","2","3.5","3.5","0","N/A","N/A","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2022","17","19","20","55","65","73","0","N/A","N/A"
"Department of Commerce","Agency Overall","2022","546","111","214.67","499","559","591.12","81","385","442.4"
"U.S. Agency for International Development","Agency Overall","2022","1","546","546","409","396","404","14","596","609"
"Surface Transportation Board","Agency Overall","2022","1","7","7","0","N/A","N/A","0","N/A","N/A"
"Department of the Treasury","Agency Overall","2022","189","99","178.11","2604","256","419.54","36","466","545.89"
"National Endowment for the Arts","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2022","26186","157","46","41841","261","304","136","248","291"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2022","6","173.5","154.5","0","N/A","N/A","1","4","4"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","0","0","0","2","82.5","82.5","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2022","106","144.5","179","175","558","571","7","379","351"
"Federal Labor Relations Authority","Agency Overall","2022","34","144","123.75","0","N/A","N/A","0","N/A","N/A"
"All agencies","Agency Overall","2022","103973","N/A","N/A","133173","N/A","N/A","NaN","N/A","N/A"
