"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"U.S. Department of State","Agency Overall","2022","476","419","346","403"
"Farm Credit Administration","Agency Overall","2022","0","1","0","1"
"U.S. Commission on Civil Rights","Agency Overall","2022","1","1","1","1"
"Social Security Administration","Agency Overall","2022","556","792","525","774"
"National Indian Gaming Commission","Agency Overall","2022","0","0","0","0"
"United States African Development Foundation","Agency Overall","2022","0","0","0","0"
"National Credit Union Administration","Agency Overall","2022","4","4","2","6"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","1","0","1","0"
"U.S. Election Assistance Commission","Agency Overall","2022","4","2","0","2"
"Federal Deposit Insurance Corporation","Agency Overall","2022","7","8","7","9"
"Office of National Drug Control Policy","Agency Overall","2022","1","1","1","1"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","1","0","1","0"
"Council on Environmental Quality","Agency Overall","2022","1","1","2","1"
"Merit Systems Protection Board","Agency Overall","2022","15","11","14","12"
"Office of Special Counsel","Agency Overall","2022","12","12","11","12"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","4","1","4","1"
"Peace Corps","Agency Overall","2022","2","7","2","7"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","2","6","2","6"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0","0","0"
"Federal Trade Commission","Agency Overall","2022","35","49","34","49"
"Department of Labor","Agency Overall","2022","178","185","176","192"
"Federal Communications Commission","Agency Overall","2022","15","9","17","7"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2022","6","8","8","9"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","0","0"
"United States International Trade Commission","Agency Overall","2022","1","13","1","13"
"Institute of Museum and Library Services","Agency Overall","2022","0","0","0","0"
"National Labor Relations Board","Agency Overall","2022","11","13","5","18"
"Denali Commission","Agency Overall","2022","0","0","0","0"
"Federal Reserve System","Agency Overall","2022","20","40","19","41"
"Inter-American Foundation","Agency Overall","2022","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2022","23","14","24","13"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2022","54","81","45","22"
"Selective Service System","Agency Overall","2022","1","0","1","0"
"United States Copyright Office","Agency Overall","2022","1","1","1","1"
"Department of Transportation","Agency Overall","2022","100","100","64","41"
"Office of the Director of National Intelligence","Agency Overall","2022","27","15","19","3"
"Social Security Advisory Board","Agency Overall","2022","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2022","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","9","10","10","10"
"Department of Agriculture","Agency Overall","2022","153","131","797","160"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2022","39","58","44","53"
"Department of Energy","Agency Overall","2022","14","29","14","29"
"Department of Health and Human Services","Agency Overall","2022","352","440","498","478"
"Office of Personnel Management","Agency Overall","2022","9","12","9","9"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","0","0","0","0"
"National Council on Disability","Agency Overall","2022","0","0","0","0"
"Small Business Administration","Agency Overall","2022","57","61","41","56"
"Armed Forces Retirement Home","Agency Overall","2022","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2022","2","4","2","4"
"Consumer Product Safety Commission","Agency Overall","2022","16","16","16","16"
"Department of Defense","Agency Overall","2022","1082","1252","1096","1257"
"Federal Election Commission","Agency Overall","2022","2","9","3","9"
"Equal Employment Opportunity Commission","Agency Overall","2022","337","205","175","242"
"Federal Open Market Committee","Agency Overall","2022","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2022","154","132","160","130"
"U.S. Railroad Retirement Board","Agency Overall","2022","1","0","1","0"
"Administrative Conference of the United States","Agency Overall","2022","1","0","1","0"
"Commodity Futures Trading Commission","Agency Overall","2022","4","11","3","11"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2022","0","0","0","0"
"United States Access Board","Agency Overall","2022","0","0","0","0"
"Department of Education","Agency Overall","2022","56","51","68","62"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","0","0","0"
"National Mediation Board","Agency Overall","2022","0","1","0","1"
"U.S. International Development Finance Corporation","Agency Overall","2022","1","0","1","0"
"United States Institute of Peace","Agency Overall","2022","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2022","647","611","645","612"
"American Battle Monuments Commission","Agency Overall","2022","0","1","0","1"
"United States International Boundary and Water Commission","Agency Overall","2022","0","2","0","2"
"National Endowment for the Humanities","Agency Overall","2022","0","4","0","3"
"Federal Energy Regulatory Commission","Agency Overall","2022","4","15","4","10"
"Legal Services Corporation","Agency Overall","2022","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","14","14","13","15"
"Department of Commerce","Agency Overall","2022","94","63","26","28"
"U.S. Agency for International Development","Agency Overall","2022","6","12","3","7"
"Surface Transportation Board","Agency Overall","2022","0","1","0","1"
"Department of the Treasury","Agency Overall","2022","129","156","141","147"
"National Endowment for the Arts","Agency Overall","2022","1","0","1","0"
"Department of Homeland Security","Agency Overall","2022","6908","7394","6579","7374"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","1","0","1","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","0","1","0","1"
"National Railroad Passenger Corporation","Agency Overall","2022","1","4","0","3"
"Federal Labor Relations Authority","Agency Overall","2022","5","0","5","0"
"All agencies","Agency Overall","2022","15396","15491","15519","15427"
