"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"U.S. Election Assistance Commission","Agency Overall","2022","17","81","8","8"
"Federal Deposit Insurance Corporation","Agency Overall","2022","6","5","4.00","5.00"
"Office of National Drug Control Policy","Agency Overall","2022","0","0","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2022","0","0","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2022","0","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2022","0","0","N/A","N/A"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","0","N/A","N/A"
"Peace Corps","Agency Overall","2022","30","0","<1","1.9"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","3","0","4","2.66"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2022","55","173","2","3.82"
"Department of Labor","Agency Overall","2022","239","165","12","42.4"
"Federal Communications Commission","Agency Overall","2022","0","1","1.0","1.0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2022","0","16","<1","<1"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2022","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2022","0","0","0","0"
"National Labor Relations Board","Agency Overall","2022","15","34","<1","4.03"
"Denali Commission","Agency Overall","2022","0","0","0","0"
"Federal Reserve System","Agency Overall","2022","0","1","1","1"
"Inter-American Foundation","Agency Overall","2022","0","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","1","0","6","6"
"National Transportation Safety Board","Agency Overall","2022","0","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2022","585","96","3","3"
"Selective Service System","Agency Overall","2022","0","0","n/a","n/a"
"United States Copyright Office","Agency Overall","2022","0","0","N/A","N/A"
"Department of Transportation","Agency Overall","2022","70","55","1","34.31"
"Office of the Director of National Intelligence","Agency Overall","2022","68","0","<1","<1"
"Social Security Advisory Board","Agency Overall","2022","0","0","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2022","0","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","54","<1","3.15"
"Department of Agriculture","Agency Overall","2022","1068","22","<1","12.31"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2022","44","30","15.50","48.24"
"Department of Energy","Agency Overall","2022","93","42","3","23.37"
"Department of Health and Human Services","Agency Overall","2022","230","365","8.77","9.65"
"Office of Personnel Management","Agency Overall","2022","1","0","21","21"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","3","0","1","1"
"National Council on Disability","Agency Overall","2022","6","0","5","4"
"Small Business Administration","Agency Overall","2022","51","231","<1","25"
"Armed Forces Retirement Home","Agency Overall","2022","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2022","0","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2022","4","0","43","95"
"Department of Defense","Agency Overall","2022","1940","1126","1","20.00"
"Federal Election Commission","Agency Overall","2022","0","0","N/A","N/A"
"Equal Employment Opportunity Commission","Agency Overall","2022","142","0","4","8.24"
"Federal Open Market Committee","Agency Overall","2022","0","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2022","338","402","0",",09"
"U.S. Railroad Retirement Board","Agency Overall","2022","0","0","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2022","0","0","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2022","0","0","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2022","0","0","N/A","N/A"
"United States Access Board","Agency Overall","2022","0","0","N/A","N/A"
"Department of Education","Agency Overall","2022","369","101","9","9.99"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","3","0","48","60"
"National Mediation Board","Agency Overall","2022","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","4","0","7","7"
"United States Institute of Peace","Agency Overall","2022","0","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2022","28","424","2","3.2"
"American Battle Monuments Commission","Agency Overall","2022","0","0","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2022","1","0","110","110"
"National Endowment for the Humanities","Agency Overall","2022","0","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2022","0","0","N/A","N/A"
"Legal Services Corporation","Agency Overall","2022","0","0","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2022","4","2","6.5","24.83"
"Department of Commerce","Agency Overall","2022","235","170","1","1.17"
"U.S. Agency for International Development","Agency Overall","2022","58","28","<1","0.23"
"Surface Transportation Board","Agency Overall","2022","0","19","<1","0.68"
"Department of the Treasury","Agency Overall","2022","162","94","1.5","97.49"
"National Endowment for the Arts","Agency Overall","2022","0","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2022","839","974","5","34"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2022","0","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","4","0","1","1.25"
"National Railroad Passenger Corporation","Agency Overall","2022","36","0","6","14.61"
"Federal Labor Relations Authority","Agency Overall","2022","0","56","1","1"
"All agencies","Agency Overall","2022","8177","6680","N/A","N/A"
