"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Department of Transportation","Agency Overall","2022","18.00","51.41","<1","2056","238.00","285.19","<1","1848","163.00","437.18","<1","1844"
"Office of the Director of National Intelligence","Agency Overall","2022","2","14.02","<1","1371","91","358.31","<1","1950","257","257","257","257"
"Social Security Advisory Board","Agency Overall","2022","5","8","1","10","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2022","8.5","8.5","2","11","N/A","N/A","N/A","N/A","8.5","8.5","2","11"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","17.0","15.98","<1","53","15.0","15.37","<1","89","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2022","<1","23.86","<1","1301","55","189.63","<1","1882","19.5","218.46","<1","1377"
"Farm Credit System Insurance Corporation","Agency Overall","2022","9","11","1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2022","18.00","80.17","<1","1320","168.00","276.40","<1","1310","14.00","57.61","<1","834"
"Department of Energy","Agency Overall","2022","18","41.74","<1","969","110","199.38","<1","2177","643","491.8","2","739"
"Department of Health and Human Services","Agency Overall","2022","10.44","29.63","<1","1511","26.89","87.86","<1","2176","87.31","199.2","1","1341"
"Office of Personnel Management","Agency Overall","2022","31","84","1","1242","332","395","1","1995","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","20","37","3","196","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2022","16","13","1","29","29","22","9","42","0","22","0","0"
"Small Business Administration","Agency Overall","2022","13","60","<1","563","N/A","N/A","N/A","N/A","<1","15","<1","218"
"Armed Forces Retirement Home","Agency Overall","2022","20","20.5","10","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2022","20","23.12","1","88","98","113.38","53","267","20","20","20","20"
"Consumer Product Safety Commission","Agency Overall","2022","15","118","<1","1167","50","226","<1","1216","26","304","13","873"
"Department of Defense","Agency Overall","2022","7","39.61","1","1899","70.50","271.32","1","4145","28.00","118.31","1","1209"
"Federal Election Commission","Agency Overall","2022","8","9","4","28","17","56","4","1991","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","12.379","12.383","<1","771","51.111","52.299","<1","781","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2022","1","3.81","<1","19","113","98","28","138","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2022","17","40.86","<1","1365","47","195.45","<1","2242","105.5","195.75","1","571"
"U.S. Railroad Retirement Board","Agency Overall","2022","17.5","42.9","1","269","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2022","1","1.3","<1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2022","6","23.59","<1","258","31","82.1","<1","877"," N/A "," N/A ","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","499","499","233","765","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2022","2","4.98","1","55","N/A","N/A","N/A","N/A","2","2","1","3"
"United States Access Board","Agency Overall","2022","3","56","<1","497","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2022","2.00","5.67","<1","63","88.00","182.10","4","1387","9.00","17.67","6","38"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","48","60","47","84","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2022","6","7.7","1","30","0","0","N/A","N/A","0","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2022","27","109.87","2","350","113","145.09","14","326","406","406","406","406"
"United States Institute of Peace","Agency Overall","2022","77","106","14","257","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2022","7","7.78","<1","20","43","73","<1","675","34","30","1","79"
"American Battle Monuments Commission","Agency Overall","2022","12","16.6","1","47","13","8","8","18","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2022","11","25.5","1","199","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2022","12.5","11.8","<1","20","40","40.9","21","59","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2022","28","41","1","339","30","118","1","995","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2022","18","20.8","1","47","N/A","N/A","N/A","N/A","36.5","36.5","26","47"
"Consumer Financial Protection Bureau","Agency Overall","2022","3","6.14","<1","36","19","78.8","<1","954","3","3","3","3"
"Department of Commerce","Agency Overall","2022","23","61.01","1","1117","70","202.46","1","1672","34.5","153.43","1","1184"
"U.S. Agency for International Development","Agency Overall","2022","180.5","180.75","62","300","80","204.19","<1","1139","163","163","163","163"
"Surface Transportation Board","Agency Overall","2022","1","5.19","<1","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2022","2","15.97","<1","1158","14","61.68","<1","2755","46.5","177.05","1","1167"
"National Endowment for the Arts","Agency Overall","2022","20","20","<1","41","24","24","16","31","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2022","8","11","<1","20","106","83","20","1924","20","196","<1","896"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2022","4.5","32.3","1","436","N/A","N/A","N/A","N/A","32","26.7","1","32"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","1","4","1","37","39","35","5","65","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2022","23.5","87.7","1","1580","377","406.81","67","912","33","148.36","4","443"
"Federal Labor Relations Authority","Agency Overall","2022","15","19.59","0","92","N/A","N/A","N/A","N/A","13","18.24","1","60"
