"Agency","Component","Fiscal Year","Number of Requests Pending as of Start of Fiscal Year","Number of Requests Received in Fiscal Year","Number of Requests Processed in Fiscal Year","Number of Requests Pending as of End of Fiscal Year"
"Federal Communications Commission","Agency Overall","2022","50","523","508","65"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","4","4","0"
"Nuclear Regulatory Commission","Agency Overall","2022","103","207","219","91"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","10","10","0"
"United States International Trade Commission","Agency Overall","2022","8","68","60","16"
"Institute of Museum and Library Services","Agency Overall","2022","1","30","31","0"
"National Labor Relations Board","Agency Overall","2022","72","1963","1940","95"
"Denali Commission","Agency Overall","2022","0","7","7","0"
"Federal Reserve System","Agency Overall","2022","38","666","658","46"
"Inter-American Foundation","Agency Overall","2022","1","8","9","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","9","7","2"
"National Transportation Safety Board","Agency Overall","2022","165","518","500","183"
"Federal Financial Institutions Examination Council","Agency Overall","2022","1","12","10","3"
"National Archives and Records Administration","Agency Overall","2022","9971","14975","14977","9969"
"Selective Service System","Agency Overall","2022","0","48","48","0"
"United States Copyright Office","Agency Overall","2022","7","54","57","4"
"Department of Transportation","Agency Overall","2022","6537","19090","18958","6669"
"Office of the Director of National Intelligence","Agency Overall","2022","500","499","429","570"
"Social Security Advisory Board","Agency Overall","2022","0","10","10","0"
"National Capital Planning Commission","Agency Overall","2022","0","6","6","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","223","3727","3877","73"
"Department of Agriculture","Agency Overall","2022","2503","17069","17166","2406"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","18","18","0"
"Department of Housing and Urban Development","Agency Overall","2022","1014","1819","2031","802"
"Department of Energy","Agency Overall","2022","793","1722","1511","1004"
"Department of Health and Human Services","Agency Overall","2022","12009","38462","37241","13230"
"Office of Personnel Management","Agency Overall","2022","208","456","508","156"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","1","26","25","2"
"National Council on Disability","Agency Overall","2022","0","16","16","0"
"Small Business Administration","Agency Overall","2022","4484","7844","10828","1500"
"Armed Forces Retirement Home","Agency Overall","2022","0","8","7","1"
"Office of the United States Trade Representative","Agency Overall","2022","9","67","73","3"
"Consumer Product Safety Commission","Agency Overall","2022","576","459","521","514"
"Department of Defense","Agency Overall","2022","23461","54004","52222","25243"
"Federal Election Commission","Agency Overall","2022","8","114","118","4"
"Equal Employment Opportunity Commission","Agency Overall","2022","1275","14040","13263","2052"
"Federal Open Market Committee","Agency Overall","2022","0","31","31","0"
"Environmental Protection Agency","Agency Overall","2022","1939","6636","6630","1945"
"U.S. Railroad Retirement Board","Agency Overall","2022","3","63","64","2"
"Administrative Conference of the United States","Agency Overall","2022","0","27","27","0"
"Commodity Futures Trading Commission","Agency Overall","2022","23","185","202","6"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","2","0","2","0"
"Postal Regulatory Commission","Agency Overall","2022","1","45","46","0"
"United States Access Board","Agency Overall","2022","1","10","11","0"
"Department of Education","Agency Overall","2022","819","2372","1462","1729"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","4","3","1"
"National Mediation Board","Agency Overall","2022","0","20","19","1"
"U.S. International Development Finance Corporation","Agency Overall","2022","73","40","44","69"
"United States Institute of Peace","Agency Overall","2022","3","4","5","2"
"Securities and Exchange Commission","Agency Overall","2022","833","10000","9856","977"
"American Battle Monuments Commission","Agency Overall","2022","0","29","29","0"
"United States International Boundary and Water Commission","Agency Overall","2022","38","30","31","37"
"National Endowment for the Humanities","Agency Overall","2022","5","48","50","3"
"Federal Energy Regulatory Commission","Agency Overall","2022","55","103","84","74"
"Legal Services Corporation","Agency Overall","2022","4","27","29","2"
"Consumer Financial Protection Bureau","Agency Overall","2022","24","437","380","81"
"Department of Commerce","Agency Overall","2022","1134","1768","1774","1128"
"U.S. Agency for International Development","Agency Overall","2022","431","326","330","427"
"Surface Transportation Board","Agency Overall","2022","5","90","89","6"
"Department of the Treasury","Agency Overall","2022","2879","10594","10431","3042"
"National Endowment for the Arts","Agency Overall","2022","1","40","41","0"
"Department of Homeland Security","Agency Overall","2022","68062","539807","506036","101833"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","12","120","125","7"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","2","52","52","2"
"National Railroad Passenger Corporation","Agency Overall","2022","276","246","164","358"
"Federal Labor Relations Authority","Agency Overall","2022","4","166","136","34"
"All agencies","Agency Overall","2022","234639","928261","878343","284557"
