"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Marine Mammal Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-07-13","56","2021-09-06","196","2021-09-20","196","2021-09-20","196","2021-02-23","396"
"Appraisal Subcommittee","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2022","2017-07-12","1298","2017-07-05","1303","2017-06-14","1317","2017-06-08","1321","2017-05-25","1330","2017-05-25","1330","2017-03-29","1371","2017-03-15","1381","2017-03-06","1388","2017-02-10","1403"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2022","2019-02-26","900","2019-02-26","900","2018-09-27","999","2018-09-26","1000","2018-08-24","1022","2018-01-08","1182","2018-01-08","1182","2017-09-28","1249","2017-09-20","1255","2016-06-03","1581"
"Federal Housing Finance Agency","Agency Overall","2022","2021-08-13","285","2021-07-19","304","2021-06-29","317","2021-05-21","343","2021-05-04","356","2021-02-19","408","2020-10-01","502","2020-09-15","514","2019-09-04","773","2019-08-20","783"
"United States Postal Service","Agency Overall","2022","2020-10-01","499","2020-09-29","501","2020-09-15","511","2020-08-24","526","2020-08-18","530","2020-08-14","532","2020-08-13","533","2020-08-10","536","2020-08-10","536","2020-05-14","596"
"Department of the Interior","Agency Overall","2022","2016-08-11","1533","2016-08-11","1533","2016-07-11","1556","2016-06-13","1568","2016-05-24","1588","2016-05-05","1601","2016-05-05","1603","2016-01-15","1667","2016-01-14","1678","2016-01-12","1679"
"Tennessee Valley Authority","Agency Overall","2022","2022-03-31","126","2022-03-31","126","2022-03-31","126","2022-02-22","153","2022-02-17","155","2022-02-15","157","2022-01-11","181","2021-11-22","211","2021-11-22","211","2021-10-20","233"
"Harry S. Truman Scholarship Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Millennium Challenge Corporation","Agency Overall","2022","N/A","0","N/A","0","0","N/A","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","2021-04-05","543","2021-03-12","567","2020-09-16","744","2020-07-12","810","2019-05-31","1218","2018-11-16","1414","2017-10-04","1822","2017-08-16","1871","2017-07-27","1891","2017-03-06","2024"
"Presidio Trust","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2022","2022-03-29","130","2022-03-04","147","2022-02-25","152","2021-10-19","240","2021-06-23","321","2021-05-04","356","2020-05-07","604","2020-03-24","636","2019-03-21","889","2019-01-23","929"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","2022-08-08","39","2022-08-08","39","2022-08-08","39","2022-08-04","40","2022-04-12","120","2022-04-12","120","2022-04-12","120","2022-04-12","120","2022-04-12","120","2022-04-12","120"
"U.S. Department of State","Agency Overall","2022","2007-05-08","3843","2007-05-03","3846","2007-04-25","3852","2007-04-23","3854","2007-03-28","3871","2007-03-12","3883","2007-01-08","3926","2007-01-02","3930","2006-11-27","3954","2006-11-26","3954"
"Farm Credit Administration","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2022-09-30","1"
"Social Security Administration","Agency Overall","2022","2021-08-24","275","2021-06-30","313","2021-06-21","320","2021-06-01","333","2021-05-06","350","2021-03-31","376","2021-02-26","399","2021-02-26","399","2021-02-08","412","2020-10-26","478"
"National Indian Gaming Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-08-10","37","2022-03-24","133","2020-10-01","488"
"United States African Development Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-29","2"
"National Credit Union Administration","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-21","7","2022-09-20","8","2022-09-19","9","2022-09-19","9","2022-09-15","11","2022-09-13","13"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-29","1","2022-09-28","2","2022-08-30","22","2022-08-18","30","2022-07-15","54","2022-06-29","65"
"U.S. Election Assistance Commission","Agency Overall","2022","2020-08-13","534","2020-08-05","540","2020-08-05","540","2020-07-29","545","2020-07-04","562","2020-06-08","581","2020-05-25","588","2020-05-27","589","2020-05-23","590","2019-01-31","922"
"Federal Deposit Insurance Corporation","Agency Overall","2022","2022-08-22","29","2022-08-22","29","2022-08-22","29","2022-08-11","36","2022-06-22","71","2022-06-14","76","2022-06-14","76","2021-12-16","198","2020-06-04","579","2020-02-20","652"
"Office of National Drug Control Policy","Agency Overall","2022","N/A","0","2022-09-22","6","2022-06-10","77","2022-05-17","94","2022-04-11","119","2021-09-14","261","2021-09-14","261","2020-04-21","609","2020-01-14","683","2019-12-02","704"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2022","2020-01-06","686","2019-05-01","855","2019-01-18","926","2018-11-20","966","2018-08-06","1039","2018-04-27","1108","2018-02-21","1155","2017-12-06","1206","2017-07-13","1307","2016-12-19","1450"
"Merit Systems Protection Board","Agency Overall","2022","2019-07-08","808","2019-05-10","847","2019-04-29","855","2019-03-08","886","2019-01-02","937","2018-07-02","1060","2018-05-24","1085","2018-05-24","1085","2017-05-11","1346","2017-02-27","1399"
"Office of Special Counsel","Agency Overall","2022","2022-09-28","2","2022-09-22","6","2022-09-20","8","2022-09-20","8","2022-09-20","8","2022-09-15","11","2022-08-16","32","2022-08-05","39","2022-08-01","43","2021-10-15","238"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Peace Corps","Agency Overall","2022","2018-10-18","987","2018-02-20","1155","2018-02-14","1158","2018-01-30","1160","2017-03-10","1380","2017-02-09","1400","2017-02-01","1406","2016-12-07","1454","2016-12-05","1456","2016-11-21","1464"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","2020-07-17","116","2020-07-17","116","2020-07-17","116","2020-07-17","116","2021-11-19","215","2020-04-09","487","2020-04-23","602","2020-04-09","614","2020-02-13","673","2019-12-16","691"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Trade Commission","Agency Overall","2022","2022-07-07","61","2022-07-07","61","2022-07-06","62","2022-06-17","74","2022-06-14","77","2022-06-13","78","2022-06-08","81","2022-05-10","101","2022-05-05","104","2022-04-27","110"
"Department of Labor","Agency Overall","2022","2017-10-11","1249","2017-10-06","1251","2017-10-05","1252","2017-08-18","1285","2017-07-17","1309","2017-05-15","1310","2017-05-12","1353","2017-05-10","1355","2017-03-20","1392","2017-01-13","1436"
"Federal Communications Commission","Agency Overall","2022","2020-01-21","10","2021-01-27","420","2021-01-21","425","2020-12-01","456","2020-06-29","562","2020-06-01","583","2020-02-26","649","2019-12-23","692","2019-01-04","935","2016-11-18","1464"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2022","2017-10-05","1244","2017-10-03","1246","2017-08-10","1283","2017-06-01","1322","2017-05-22","1339","2017-01-13","1428","2016-12-23","1441","2016-11-15","1468","2016-06-21","1569","2016-05-11","1597"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2022","2022-07-14","56","2022-06-21","72","2022-06-13","77","2022-05-24","90","2022-02-17","157","2021-12-27","193","2021-12-07","206","2021-09-20","258","2020-10-15","468","2019-10-15","735"
"Institute of Museum and Library Services","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2022","2022-05-06","98","2022-05-10","99","2022-05-10","99","2022-05-10","99","2022-03-23","128","2021-09-24","254","2021-08-30","272","2021-06-08","314","2021-06-08","314","2021-06-08","314"
"Denali Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Reserve System","Agency Overall","2022","2022-07-07","60","2022-06-27","67","2022-06-14","75","2022-03-11","141","2022-01-26","172","2022-01-03","188","2021-12-29","190","2021-11-09","223","2021-10-06","246","2021-10-05","247"
"Inter-American Foundation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-16","11","2022-09-14","13"
"National Transportation Safety Board","Agency Overall","2022","2021-05-04","356","2021-03-30","381","2021-02-26","403","2021-01-22","427","2021-01-13","433","2021-01-12","434","2020-12-09","456","2020-11-25","465","2020-07-20","554","2020-04-06","585"
"Federal Financial Institutions Examination Council","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-13","13","2022-09-13","13","2022-09-01","20"
"National Archives and Records Administration","Agency Overall","2022","2008-08-21","3494","2008-04-25","3576","2008-04-17","3582","2008-03-22","3600","2008-03-10","3609","2008-02-19","3623","2008-01-02","3655","2007-02-08","3877","2006-08-10","3999","2006-04-19","4077"
"Selective Service System","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-08-31","22","2022-08-22","28","2022-08-22","28","2021-12-22","195"
"Department of Transportation","Agency Overall","2022","2014-11-03","1979","2014-09-29","2003","2014-09-11","2015","2014-09-04","2021","2014-07-22","2051","2014-07-10","2059","2014-05-27","2090","2014-03-27","2132","2014-02-06","2166","2014-01-09","2185"
"Office of the Director of National Intelligence","Agency Overall","2022","2014-06-16","2054","2014-06-16","2054","2014-06-16","2054","2014-06-10","2058","2014-05-07","2081","2014-05-07","2081","2014-05-07","2102","2014-04-08","2102","2014-04-01","2107","2014-04-01","2107"
"Social Security Advisory Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Capital Planning Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","2022-09-14","12","2022-09-13","13","2022-09-13","13","2022-09-13","13","2022-09-12","14","2022-09-12","14","2022-09-12","14","2022-09-12","14","2022-09-09","15","2022-09-07","17"
"Department of Agriculture","Agency Overall","2022","2018-05-03","1102","2018-02-20","1154","2018-02-09","1160","2018-02-06","1163","2018-02-02","1165","2018-01-11","1180","2018-01-05","1184","2017-11-30","1208","2017-08-03","1289","2017-02-03","1415"
"Farm Credit System Insurance Corporation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Housing and Urban Development","Agency Overall","2022","2017-09-20","1261","2017-08-28","1277","2017-08-28","1277","2017-08-23","1280","2017-08-15","1286","2017-08-15","1286","2017-07-19","1305","2017-04-03","1380","2016-02-19","1661","2016-02-16","1664"
"Department of Energy","Agency Overall","2022","2016-12-19","1454","2016-12-01","1466","2016-10-12","1500","2016-09-21","1514","2016-08-01","1550","2016-06-14","1583","2016-02-23","1662","2015-09-23","1764","2014-03-13","2028","2013-05-21","2352"
"Department of Health and Human Services","Agency Overall","2022","2015-02-05","1925","2015-01-26","1931","2015-01-22","1933","2014-08-18","2039","2014-08-05","2048","2014-07-08","2068","2014-05-09","2108","2014-05-08","2109","2014-02-25","2161","2013-08-26","2284"
"Office of Personnel Management","Agency Overall","2022","2020-08-12","537","2020-08-03","544","2020-05-11","602","2019-10-10","747","2019-09-11","768","2019-07-30","798","2019-07-15","809","2019-04-05","878","2018-05-21","1097","2016-06-10","1584"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-08-20","20","2022-05-05","101"
"National Council on Disability","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Small Business Administration","Agency Overall","2022","2022-02-28","150","2022-02-10","161","2022-02-08","162","2022-01-18","180","2022-01-03","188","2021-10-15","240","2021-07-22","266","2020-11-16","466","2020-11-03","474","2020-05-29","583"
"Armed Forces Retirement Home","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-03-04","146"
"Office of the United States Trade Representative","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-27","4","2022-09-07","18","2022-07-21","51"
"Consumer Product Safety Commission","Agency Overall","2022","2018-03-15","1144","2018-03-14","1145","2018-03-08","1149","2018-02-12","1166","2017-12-14","1205","2017-11-20","1222","2017-11-14","1226","2017-11-08","1229","2017-10-25","1239","2016-11-18","1473"
"Department of Defense","Agency Overall","2022","2007-04-09","3878","2007-04-05","3880","2007-02-23","3909","2007-02-13","3916","2006-11-08","3979","2006-11-07","3980","2006-11-07","3980","2006-10-23","3991","2006-10-10","4000","2006-08-03","4046"
"Federal Election Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-06-16","74","2022-02-07","165","2018-05-19","1134"
"Equal Employment Opportunity Commission","Agency Overall","2022","2022-09-15","12","2022-09-15","12","2022-09-15","12","2022-09-15","12","2022-09-15","12","2022-09-15","12","2022-09-14","13","2022-09-13","14","2022-09-13","14","2022-08-31","22"
"Federal Open Market Committee","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Environmental Protection Agency","Agency Overall","2022","2016-06-14","1562","2016-06-02","1582","2016-04-27","1606","2016-04-25","1480","2016-04-19","1500","2016-04-11","1619","2015-12-24","1691","2015-12-10","1702","2015-06-12","1826","2015-06-04","1832"
"U.S. Railroad Retirement Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-07-19","53","2022-03-04","147"
"Administrative Conference of the United States","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-28","2","2022-09-13","13","2022-07-28","45","2022-07-14","55","2022-03-11","142"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Access Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Education","Agency Overall","2022","2017-10-02","1244","2017-09-25","1249","2017-09-20","1252","2017-09-20","1252","2017-09-20","1252","2017-09-20","1252","2017-09-18","1254","2017-09-12","1258","2017-09-12","1258","2017-08-18","1274"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-05-06","147"
"National Mediation Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","2020-04-24","606","2020-04-24","606","2020-03-24","628","2020-02-25","648","2019-11-07","719","2019-10-15","736","2019-09-19","753","2019-05-13","843","2019-03-18","882","2018-11-27","956"
"United States Institute of Peace","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2021-08-17","285","2021-01-21","433"
"Securities and Exchange Commission","Agency Overall","2022","2020-01-07","682","2019-12-18","693","2019-08-07","784","2019-07-17","799","2019-07-15","801","2019-06-25","814","2018-11-27","964","2018-11-01","973","2018-06-27","1061","2017-07-07","1304"
"American Battle Monuments Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2022","2019-11-20","720","2019-11-20","720","2019-11-19","721","2019-09-27","829","2019-06-17","910","2019-05-31","920","2019-03-21","961","2019-02-19","981","2019-02-20","982","2018-12-31","1017"
"National Endowment for the Humanities","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-15","11","2022-07-29","44","2022-07-28","45"
"Federal Energy Regulatory Commission","Agency Overall","2022","2020-02-14","655","2019-10-28","728","2019-07-11","803","2019-05-28","834","2019-04-24","857","2019-03-29","874","2019-10-16","924","2019-01-16","924","2019-01-04","926","2013-08-26","2268"
"Legal Services Corporation","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-29","1","2022-09-22","6"
"Consumer Financial Protection Bureau","Agency Overall","2022","2022-05-19","92","2022-05-13","96","2022-05-11","98","2022-04-29","106","2022-04-28","107","2022-03-24","132","2022-02-22","154","2022-01-21","175","2021-07-21","301","2020-03-27","631"
"Department of Commerce","Agency Overall","2022","2016-10-28","9","2017-07-24","1301","2017-07-24","1301","2017-07-18","1305","2017-07-10","1311","2017-07-05","1314","2017-07-03","1315","2017-03-23","1386","2015-02-09","1918","2012-08-22","2534"
"U.S. Agency for International Development","Agency Overall","2022","2018-11-30","964","2018-11-22","969","2018-11-21","970","2018-11-21","970","2018-08-03","1040","2018-08-03","1045","2018-07-20","1055","2018-07-13","1060","2018-06-29","1069","2018-06-29","1069"
"Surface Transportation Board","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-08","7"
"Department of the Treasury","Agency Overall","2022","2014-07-24","2050","2014-07-16","2056","2014-06-27","2068","2014-06-25","2070","2014-06-19","2074","2014-06-17","2076","2014-06-12","2079","2014-05-09","2102","2014-03-21","2137","2013-08-22","2280"
"National Endowment for the Arts","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2022","2015-08-25","1779","2015-08-14","1786","2015-08-05","1793","2015-07-14","1786","2015-06-10","1801","2015-06-09","1833","2015-03-11","1896","2015-01-20","1937","2014-01-30","2018","2014-04-01","2126"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2022","N/A","0","N/A","0","N/A","0","2022-09-28","2","2022-09-26","4","2022-08-11","35","2022-01-25","173","2022-01-24","174","2021-12-10","203","2021-06-02","340"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2022-09-07","17","2022-03-02","148"
"National Railroad Passenger Corporation","Agency Overall","2022","2018-03-30","1135","2018-03-22","1141","2018-01-29","1178","2017-12-19","1204","2017-04-24","1369","2017-03-13","1399","2017-03-09","1401","2017-03-07","1403","2017-01-23","1433","2017-01-09","1442"
"Federal Labor Relations Authority","Agency Overall","2022","2022-01-24","174","2022-01-24","174","2022-01-24","174","2022-01-24","174","2022-01-11","182","2022-01-11","182","2022-01-11","182","2022-01-11","182","2022-01-11","182","2021-12-06","206"
