"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Peace Corps","Agency Overall","2022","0","5","0","4","15","48","0","0","14","0","3","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","0","10","2","4","23","36","1","0","24","0","1","0","0","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Trade Commission","Agency Overall","2022","0","18","95","55","128","472","130","0","4","15","7","0","0","0"
"Department of Labor","Agency Overall","2022","0","20","3","2913","1765","1677","1720","18","4369","2526","255","5","0","0"
"Federal Communications Commission","Agency Overall","2022","0","0","3","29","32","136","11","0","8","1","13","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2022","0","0","2","8","19","23","6","0","29","1","3","21","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2022","0","0","3","2","15","23","1","0","0","0","2","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2022","0","0","0","0","2","4","0","0","0","0","0","0","0","0"
"National Labor Relations Board","Agency Overall","2022","0","2","0","25","127","1049","347","0","1034","73","11","0","0","0"
"Denali Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2022","0","0","1","49","62","81","3","0","7","0","5","0","17","0"
"Inter-American Foundation","Agency Overall","2022","0","0","0","2","1","1","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0","0","1","1","0","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2022","0","0","9","11","171","43","49","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2022","139","4","155","5","12","10291","0","0","107","169","15","4","0","0"
"Selective Service System","Agency Overall","2022","0","0","0","0","0","3","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2022","0","0","3","4","0","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2022","1","13","861","287","402","5713","73","2","2805","715","17","12","0","0"
"Office of the Director of National Intelligence","Agency Overall","2022","52","0","187","5","12","53","0","0","10","0","4","0","0","0"
"Social Security Advisory Board","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Capital Planning Commission","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","0","2","18","21","279","1","0","4","0","2","0","0","0"
"Department of Agriculture","Agency Overall","2022","0","22","341","512","664","2037","109","2","637","94","222","79","0","1"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0","0","0","0","9","0","0","0","0","0","0","0","0"
"Department of Housing and Urban Development","Agency Overall","2022","0","0","23","60","59","383","38","1","88","1","52","0","1","0"
"Department of Energy","Agency Overall","2022","2","6","33","91","88","276","3","0","33","2","12","5","0","0"
"Department of Health and Human Services","Agency Overall","2022","1","14","262","1573","855","7776","192","44","1241","52","146","124","0","0"
"Office of Personnel Management","Agency Overall","2022","0","3","1","8","17","117","0","0","5","1","3","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2022","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2022","0","4","2","212","154","151","7","3","11","3","3","3","3","0"
"Armed Forces Retirement Home","Agency Overall","2022","0","0","0","0","1","6","0","0","0","0","0","0","0","0"
"Office of the United States Trade Representative","Agency Overall","2022","9","0","2","13","15","34","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2022","0","1","86","48","48","102","85","1","10","0","1","0","1","0"
"Department of Defense","Agency Overall","2022","1171","161","2954","2162","4228","14144","1042","131","6982","202","2759","150","0","10"
"Federal Election Commission","Agency Overall","2022","0","4","11","1","22","17","3","0","4","0","4","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","0","0","2334","33","5660","2108","1335","2","5108","12","217","0","0","0"
"Federal Open Market Committee","Agency Overall","2022","0","0","0","1","3","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2022","0","8","44","176","429","767","79","1","117","6","48","30","0","36"
"U.S. Railroad Retirement Board","Agency Overall","2022","0","0","10","0","0","10","1","1","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Commodity Futures Trading Commission","Agency Overall","2022","0","0","19","29","30","50","19","0","19","3","15","0","12","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2022","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2022","0","0","0","0","1","3","1","0","0","0","0","1","0","0"
"Department of Education","Agency Overall","2022","0","2","1","14","70","537","159","0","487","4","10","0","0","0"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2022","0","1","0","2","3","1","0","0","0","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","0","0","0","17","7","29","0","0","0","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2022","0","1","25","319","278","504","435","2","274","19","43","3","24","0"
"American Battle Monuments Commission","Agency Overall","2022","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2022","0","0","0","0","0","6","0","0","3","0","4","0","0","0"
"National Endowment for the Humanities","Agency Overall","2022","0","0","0","20","8","23","0","0","1","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2022","0","0","5","8","31","35","1","0","0","0","0","3","0","0"
"Legal Services Corporation","Agency Overall","2022","0","0","0","4","0","3","1","0","1","0","0","0","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","0","2","2","39","53","71","13","0","1","22","67","1","39","0"
"Department of Commerce","Agency Overall","2022","3","1","71","90","147","270","16","0","56","1","19","2","0","0"
"U.S. Agency for International Development","Agency Overall","2022","0","3","39","58","34","106","1","0","17","4","6","1","0","0"
"Surface Transportation Board","Agency Overall","2022","0","0","0","1","2","3","0","0","0","0","1","0","0","0"
"Department of the Treasury","Agency Overall","2022","12","47","1756","206","430","896","317","1","748","12","759","8","35","0"
"National Endowment for the Arts","Agency Overall","2022","0","0","0","11","2","11","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2022","6","442","57159","622","45110","207788","327","33","219596","73","231702","156","2","4"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","0","0","6","1","10","15","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","0","7","0","1","7","11","0","0","0","0","0","0","0","0"
"National Railroad Passenger Corporation","Agency Overall","2022","1","0","0","35","7","27","6","0","3","0","2","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2022","0","0","0","0","5","8","1","0","1","1","0","0","0","0"
"All agencies","Agency Overall","2022","2740","1250","79768","11275","65786","287455","8041","311","256159","6154","242546","2143","208","54"
