"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0"
"United States International Trade Commission","Agency Overall","2022","14","0"
"Institute of Museum and Library Services","Agency Overall","2022","0","0"
"National Labor Relations Board","Agency Overall","2022","18","0"
"Denali Commission","Agency Overall","2022","0","0"
"Federal Reserve System","Agency Overall","2022","15","3"
"Inter-American Foundation","Agency Overall","2022","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0"
"National Transportation Safety Board","Agency Overall","2022","166","0"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","0"
"National Archives and Records Administration","Agency Overall","2022","9969","155"
"Selective Service System","Agency Overall","2022","0","0"
"United States Copyright Office","Agency Overall","2022","4","0"
"Department of Transportation","Agency Overall","2022","5362","222"
"Office of the Director of National Intelligence","Agency Overall","2022","551","22"
"Social Security Advisory Board","Agency Overall","2022","0","0"
"National Capital Planning Commission","Agency Overall","2022","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","0"
"Department of Agriculture","Agency Overall","2022","1991","143"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0"
"Department of Housing and Urban Development","Agency Overall","2022","626","8"
"Department of Energy","Agency Overall","2022","774","12"
"Department of Health and Human Services","Agency Overall","2022","11320","581"
"Office of Personnel Management","Agency Overall","2022","128","2"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","2","0"
"National Council on Disability","Agency Overall","2022","0","0"
"Small Business Administration","Agency Overall","2022","469","21"
"Armed Forces Retirement Home","Agency Overall","2022","1","0"
"Office of the United States Trade Representative","Agency Overall","2022","1","0"
"Consumer Product Safety Commission","Agency Overall","2022","441","0"
"Department of Defense","Agency Overall","2022","18567","862"
"Federal Election Commission","Agency Overall","2022","4","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","53","29"
"Federal Open Market Committee","Agency Overall","2022","0","0"
"Environmental Protection Agency","Agency Overall","2022","1537","0"
"U.S. Railroad Retirement Board","Agency Overall","2022","2","0"
"Administrative Conference of the United States","Agency Overall","2022","0","0"
"Commodity Futures Trading Commission","Agency Overall","2022","3","0"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0"
"Postal Regulatory Commission","Agency Overall","2022","0","0"
"United States Access Board","Agency Overall","2022","0","0"
"Department of Education","Agency Overall","2022","1557","34"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","1","0"
"National Mediation Board","Agency Overall","2022","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","54","0"
"United States Institute of Peace","Agency Overall","2022","2","0"
"Securities and Exchange Commission","Agency Overall","2022","485","0"
"American Battle Monuments Commission","Agency Overall","2022","0","0"
"United States International Boundary and Water Commission","Agency Overall","2022","37","0"
"National Endowment for the Humanities","Agency Overall","2022","2","0"
"Federal Energy Regulatory Commission","Agency Overall","2022","42","0"
"Legal Services Corporation","Agency Overall","2022","0","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","48","0"
"Department of Commerce","Agency Overall","2022","906","180"
"U.S. Agency for International Development","Agency Overall","2022","408","10"
"Surface Transportation Board","Agency Overall","2022","0","0"
"Department of the Treasury","Agency Overall","2022","2381","47"
"National Endowment for the Arts","Agency Overall","2022","0","0"
"Department of Homeland Security","Agency Overall","2022","52239","408"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0"
"Office of Government Ethics","Agency Overall","2022","5","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","1","0"
"National Railroad Passenger Corporation","Agency Overall","2022","277","13"
"Federal Labor Relations Authority","Agency Overall","2022","34","0"
"All agencies","Agency Overall","2022","206636","4708"
