"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Office of National Drug Control Policy","Agency Overall","2022","8","11","1","23","278","332","26","1067","N/A","N/A","N/A","N/A"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","12","12.3","1","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2022","38","101.30","5","536","427","549.23","20","1333","N/A","N/A","N/A","N/A"
"Merit Systems Protection Board","Agency Overall","2022","4","7.13","<1","31","190","354.14","2","1052","N/A","N/A","N/A","N/A"
"Office of Special Counsel","Agency Overall","2022","30","36.56","1","183","44","61.26","1","245","10","10","10","10"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","17","17","17","17","29","31.3","16","53","N/A","N/A","N/A","N/A"
"Peace Corps","Agency Overall","2022","18.5","72.56","<1","691","64.5","93.58","3","441","N/A","N/A","N/A","N/A"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","1","1","1","1","41","235","<1","832","N/A","N/A","N/A","N/A"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Trade Commission","Agency Overall","2022","3","5.75","<1","81","19","31.54","<1","239","7.5","12.41","<1","66"
"Department of Labor","Agency Overall","2022","41.50","79.07","<1","526","91","285.33","<1","1458","4.00","11.67","<1","90"
"Federal Communications Commission","Agency Overall","2022","19.0","20.99","<1","226","62.0","76.85","27","180","18.5","68.13","1","965"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","8","7","1","11","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2022","20","31.81","<1","265","92","178.64","11","1094","215","215","215","215"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2022","20","17.9","7","20","21","24.7","21","45","N/A","N/A","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2022","12","12","2","20","442","442","442","442","n/a","n/a","N/A","N/A"
"National Labor Relations Board","Agency Overall","2022","7","12.32","<1","300","N/A","N/A","N/A","N/A","3","6.6","<1","187"
"Denali Commission","Agency Overall","2022","3","2","1","5","N/A","0","N/A","N/A","N/A","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2022","3","5","1","30","36","69","4","700","133","145","30","367"
"Inter-American Foundation","Agency Overall","2022","11","13","9","19","99","99","99","99","N/A","N/A","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","29","23","6","34","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Transportation Safety Board","Agency Overall","2022","38","81.69","3","351","281","288.74","39","549","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2022","9","10.5","3","20","22","39.67","22","70","N/A","N/A","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2022","10","224","1","2516","514","681","1","4207","N/A","N/A","N/A","N/A"
"Selective Service System","Agency Overall","2022","1","4","1","19","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2022","16","16","12","62","62","64","13","113","N/A","N/A","N/A","N/A"
"Department of Transportation","Agency Overall","2022","18.00","48.31","<1","1881","129.00","217.52","<1","1259","52.00","145.41","<1","746"
"Office of the Director of National Intelligence","Agency Overall","2022","2","2.9","<1","29","42","303.28","<1","1808","257","257","257","257"
"Social Security Advisory Board","Agency Overall","2022","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Capital Planning Commission","Agency Overall","2022","6.5","6.5","5","5","N/A","N/A","N/A","N/A","11","11","11","11"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","17.0","16.03","<1","53","15.0","15.38","<1","89","N/A","N/A","N/A","N/A"
"Department of Agriculture","Agency Overall","2022","<1","17.9","<1","1301","60","190.52","<1","1882","10","166.47","<1","1377"
"Farm Credit System Insurance Corporation","Agency Overall","2022","13","11","1","22","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Housing and Urban Development","Agency Overall","2022","20.00","63.30","<1","1207","74.00","254.24","<1","1201","12.50","18.94","<1","66"
"Department of Energy","Agency Overall","2022","27","52.96","<1","969","136.5","212.82","1","1538","537.5","454","2","739"
"Department of Health and Human Services","Agency Overall","2022","11.71","33.16","<1","1236","56.89","136.40","<1","2175","97.32","154.59","3","1332"
"Office of Personnel Management","Agency Overall","2022","45","106","3","1242","257","267","1","1416","N/A","N/A","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","36","65","10","196","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Council on Disability","Agency Overall","2022","19","17","16","19","29","29","41","42","0","0","0","0"
"Small Business Administration","Agency Overall","2022","3","40","<1","525","N/A","N/A","N/A","N/A","<1","11","<1","218"
"Armed Forces Retirement Home","Agency Overall","2022","20","22.6","20","36","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2022","17","14.75","2","20","98","101.18","53","174","N/A","N/A","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2022","19","95","4","989","69","182","1","1210","20","20","13","26"
"Department of Defense","Agency Overall","2022","12.00","42.42","1","1899","77.00","295.97","1","4145","23.50","56.20","1","1209"
"Federal Election Commission","Agency Overall","2022","10","11","4","28","26","84","5","1991","0","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","5.262","5.261","<1","132","22.693","23.289","<1","161","N/A","N/A","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2022","4.5","6.5","1","16","137","121.33","89","138","N/A","N/A","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2022","20","46.93","<1","1365","60","184","1","1751","105.5","105.5","46","165"
"U.S. Railroad Retirement Board","Agency Overall","2022","17.5","42.9","1","269","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Administrative Conference of the United States","Agency Overall","2022","2","2.2","<1","4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Commodity Futures Trading Commission","Agency Overall","2022","8.5","24.67","<1","118","47.5","127.38","1","877"," N/A "," N/A ","N/A","N/A"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","499","499","233","765","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2022","9","13","1","30","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Access Board","Agency Overall","2022","233","256","30","497","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2022","9.00","10.05","<1","63","87.00","157.38","10","1387","N/A","N/A","N/A","N/A"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","47","47","47","47","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"National Mediation Board","Agency Overall","2022","6","9.9","1","30","0","0","N/A","N/A","0","0","N/A","N/A"
"U.S. International Development Finance Corporation","Agency Overall","2022","32","126.08","2","350","238","200.43","79","326","406","406","406","406"
"United States Institute of Peace","Agency Overall","2022","77","106","14","257","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2022","7","8.26","1","20","77","100","21","606","40","37","6","79"
"American Battle Monuments Commission","Agency Overall","2022","20","16.5","1","25","8","8","8","8","N/A","N/A","N/A","N/A"
"United States International Boundary and Water Commission","Agency Overall","2022","17","29.8","1","199","N/A","N/A","N/A","N/A","N/A","N/A ","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2022","19","15.9","2","20","40","40.9","21","59","N/A","N/A","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2022","20","20","2","39","30","26","19","643","N/A","N/A","N/A","N/A"
"Legal Services Corporation","Agency Overall","2022","19","15.94","5","29","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Consumer Financial Protection Bureau","Agency Overall","2022","10","11.37","<1","35","29","86.06","2","736","3","3","3","3"
"Department of Commerce","Agency Overall","2022","24","51.78","1","869","73","194.33","1","1497","32","90.62","3","568"
"U.S. Agency for International Development","Agency Overall","2022","78","146.67","62","300","192.5","297.88","2","1139","163","163","163","163"
"Surface Transportation Board","Agency Overall","2022","12.5","12.65","<1","39","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of the Treasury","Agency Overall","2022","1","12.65","<1","1158","31","92.96","<1","2755","39.5","133.19","1","1167"
"National Endowment for the Arts","Agency Overall","2022","22","22","4","41","24","24","16","31","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2022","8","16","<1","20","64","86","21","1853","58","230","<1","821"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of Government Ethics","Agency Overall","2022","11","54.9","1","436","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","1","3","1","21","39","35","5","65","N/A","N/A","N/A","N/A"
"National Railroad Passenger Corporation","Agency Overall","2022","32","122.61","1","1580","385","406.5","67","912","33","102.33","20","254"
"Federal Labor Relations Authority","Agency Overall","2022","25","27.03","1","92","N/A","N/A","N/A","N/A","10.50","20.94","1","60"
