"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Millennium Challenge Corporation","Agency Overall","2022","177000.00","0.00","177000.00","0.00","0.0000"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2022","93683.20","0.00","93683.20","0.00","0.0000"
"Presidio Trust","Agency Overall","2022","3895.00","0.00","3895.00","0.00","0.0000"
"Export-Import Bank of the U.S.","Agency Overall","2022","719343.70","0.00","719343.70","520.00","0.0700"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2022","20875.00","0.00","20875.00","0.00","0.0000"
"U.S. Department of State","Agency Overall","2022","37900909.93","1563790.00","39464699.93","0.00","0.0000"
"Farm Credit Administration","Agency Overall","2022","25000.00","0.00","25000.00","0.00","0.0000"
"U.S. Commission on Civil Rights","Agency Overall","2022","50643.00","0.00","50643.00","0.00","0.0000"
"Social Security Administration","Agency Overall","2022","2700002.19","21575.49","2721577.68","186212.00","6.9000"
"National Indian Gaming Commission","Agency Overall","2022","80000.00","0.00","80000.00","1491.50","1.8600"
"United States African Development Foundation","Agency Overall","2022","50.00","0.00","50.00","0.00","0.0000"
"National Credit Union Administration","Agency Overall","2022","447333.00","0.00","447333.00","1344.50","0.3000"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","19400.00","0.00","19400.00","0.00","0.0000"
"U.S. Election Assistance Commission","Agency Overall","2022","39200.00","3675.00","42875.00","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2022","2359999.00","21370.64","2381369.64","8341.50","0.3500"
"Office of National Drug Control Policy","Agency Overall","2022","164000.00","0.00","164000.00","77.00","0.0500"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","15000.00","0.00","15000.00","0.00","0.0000"
"Council on Environmental Quality","Agency Overall","2022","435182.80","0.00","435182.80","0.00","0.0000"
"Merit Systems Protection Board","Agency Overall","2022","227706.00","0.00","227706.00","0.00","0.0000"
"Office of Special Counsel","Agency Overall","2022","777165.76","0.00","777165.76","0.00","0.0000"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","30000.00","0.00","30000.00","0.00","0.0000"
"Peace Corps","Agency Overall","2022","396900.00","0.00","396900.00","0.00","0.0000"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","211300.00","17060.00","228360.00","0.00","0.0000"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","2100.00","0.00","2100.00","0.00","0.0000"
"Federal Trade Commission","Agency Overall","2022","1341242.35","348178.80","1689421.15","25400.88","1.8900"
"Department of Labor","Agency Overall","2022","17556314.00","765756.00","18322070.00","162779.50","0.9300"
"Federal Communications Commission","Agency Overall","2022","3013793.88","19692.56","3033486.44","14856.55","0.4900"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","102.00","0.00","102.00","0.00","0.0000"
"Nuclear Regulatory Commission","Agency Overall","2022","1850072.58","0.00","1850072.58","11734.27","0.6300"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","150.00","0.00","150.00","0.00","0.0000"
"United States International Trade Commission","Agency Overall","2022","63257.00","0.00","63257.00","390.00","0.6200"
"Institute of Museum and Library Services","Agency Overall","2022","53572.00","0.00","53572.00","0.00","0.0000"
"National Labor Relations Board","Agency Overall","2022","2188218.00","119288.00","2307506.00","35353.50","1.6200"
"Denali Commission","Agency Overall","2022","100.00","0.00","100.00","0.00","0.0000"
"Federal Reserve System","Agency Overall","2022","1561858.00","156996.00","1718854.00","1186.50","0.0800"
"Inter-American Foundation","Agency Overall","2022","10000.00","0.00","10000.00","0.00","0.0000"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","32541.00","0.00","32541.00","0.00","0.0000"
"National Transportation Safety Board","Agency Overall","2022","698446.74","8886.25","707332.99","0.00","0.0000"
"Federal Financial Institutions Examination Council","Agency Overall","2022","18715.00","0.00","18715.00","0.00","0.0000"
"National Archives and Records Administration","Agency Overall","2022","1540000.00","0.00","1540000.00","0.00","0.0000"
"Selective Service System","Agency Overall","2022","5087.33","0.00","5087.33","0.00","0.0000"
"United States Copyright Office","Agency Overall","2022","56072.01","0.00","56072.01","0.00","0.0000"
"Department of Transportation","Agency Overall","2022","14969986.00","188280.00","15158266.00","229876.55","1.5400"
"Office of the Director of National Intelligence","Agency Overall","2022","2005190.00","202800.00","2207990.00","0.00","0.0000"
"Social Security Advisory Board","Agency Overall","2022","150.00","0.00","150.00","0.00","0.0000"
"National Capital Planning Commission","Agency Overall","2022","8000.00","0.00","8000.00","0.00","0.0000"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","399360.00","0.00","399360.00","2104.00","0.5300"
"Department of Agriculture","Agency Overall","2022","20431795.00","1180913.00","21612708.00","39175.00","0.1900"
"Farm Credit System Insurance Corporation","Agency Overall","2022","25000.00","0.00","25000.00","0.00","0.0000"
"Department of Housing and Urban Development","Agency Overall","2022","6976098.93","196000.00","7172098.93","12372.56","0.1800"
"Department of Energy","Agency Overall","2022","8089784.27","436213.98","8525998.25","4824.41","0.0600"
"Department of Health and Human Services","Agency Overall","2022","29008736.17","4510092.89","33518829.06","717119.46","2.4700"
"Office of Personnel Management","Agency Overall","2022","1030280.00","0.00","1030280.00","7699.00","0.7500"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","50000.00","0.00","50000.00","0.00","0.0000"
"National Council on Disability","Agency Overall","2022","10000.00","0.00","10000.00","0.00","0.0000"
"Small Business Administration","Agency Overall","2022","1073280.00","76000.00","1149280.00","11600.00","1.0800"
"Armed Forces Retirement Home","Agency Overall","2022","31030.00","0.00","31030.00","0.00","0.0000"
"Office of the United States Trade Representative","Agency Overall","2022","190000.00","200.00","190200.00","0.00","0.0000"
"Consumer Product Safety Commission","Agency Overall","2022","18216.00","0.00","18216.00","2335.00","12.8200"
"Department of Defense","Agency Overall","2022","94021651.92","4582413.00","98604064.92","108275.48","0.1200"
"Federal Election Commission","Agency Overall","2022","300611.00","300611.00","601222.00","0.00","0.0000"
"Equal Employment Opportunity Commission","Agency Overall","2022","3972579.72","2000.00","3974579.72","10252.02","0.2600"
"Federal Open Market Committee","Agency Overall","2022","120143.00","0.00","120143.00","0.00","0.0000"
"Environmental Protection Agency","Agency Overall","2022","34818202.00","981056.00","35799258.00","197135.75","0.5700"
"U.S. Railroad Retirement Board","Agency Overall","2022","471600.00","0.00","471600.00","108.00","0.0200"
"Administrative Conference of the United States","Agency Overall","2022","22620.00","0.00","22620.00","0.00","0.0000"
"Commodity Futures Trading Commission","Agency Overall","2022","483975.39","27624.95","511600.34","0.00","0.0000"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","150.00","0.00","150.00","0.00","0.0000"
"Postal Regulatory Commission","Agency Overall","2022","25000.00","0.00","25000.00","0.00","0.0000"
"United States Access Board","Agency Overall","2022","29454.00","0.00","29454.00","0.00","0.0000"
"Department of Education","Agency Overall","2022","8610355.30","167575.00","8777930.30","19515.84","0.2300"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","85000.00","0.00","85000.00","0.00","0.0000"
"National Mediation Board","Agency Overall","2022","78000.00","0.00","78000.00","0.00","0.0000"
"U.S. International Development Finance Corporation","Agency Overall","2022","162958.00","9900.00","172858.00","187.50","0.1200"
"United States Institute of Peace","Agency Overall","2022","11000.00","0.00","11000.00","0.00","0.0000"
"Securities and Exchange Commission","Agency Overall","2022","7177875.00","317456.30","7495331.30","5201.25","0.0700"
"American Battle Monuments Commission","Agency Overall","2022","15750.00","0.00","15750.00","0.00","0.0000"
"United States International Boundary and Water Commission","Agency Overall","2022","80000.00","0.00","80000.00","0.00","0.0000"
"National Endowment for the Humanities","Agency Overall","2022","60000.00","0.00","60000.00","0.00","0.0000"
"Federal Energy Regulatory Commission","Agency Overall","2022","719738.00","0.00","719738.00","0.00","0.0000"
"Legal Services Corporation","Agency Overall","2022","46627.00","0.00","46627.00","0.00","0.0000"
"Consumer Financial Protection Bureau","Agency Overall","2022","4395953.53","0.00","4395953.53","0.00","0.0000"
"Department of Commerce","Agency Overall","2022","7834599.44","394472.57","8229072.01","54907.44","0.7000"
"U.S. Agency for International Development","Agency Overall","2022","5061207.99","410110.48","5471318.47","0.00","0.0000"
"Surface Transportation Board","Agency Overall","2022","25878.68","0.00","25878.68","0.00","0.0000"
"Department of the Treasury","Agency Overall","2022","15944363.64","1811491.11","17755854.75","42130.72","0.2600"
"National Endowment for the Arts","Agency Overall","2022","90000.00","0.00","90000.00","0.00","0.0000"
"Department of Homeland Security","Agency Overall","2022","75245632.45","2565679.38","77811311.83","14913.00","0.0200"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","1155.00","0.00","1155.00","0.00","0.0000"
"Office of Government Ethics","Agency Overall","2022","352774.26","0.00","352774.26","0.00","0.0000"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","128750.00","0.00","128750.00","290.00","0.2300"
"National Railroad Passenger Corporation","Agency Overall","2022","12228.00","0.00","12228.00","0.00","0.0000"
"Federal Labor Relations Authority","Agency Overall","2022","78170.00","0.00","78170.00","0.00","0.0000"
"All agencies","Agency Overall","2022","543604471.88","40958233.39","584562705.27","2192645.36","N/A"
