"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","78","77","109","83"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","5","5","5","5"
"Federal Trade Commission","Agency Overall","2022","1385","1619","1375","1579"
"Department of Labor","Agency Overall","2022","13560","14491","14022","14335"
"Federal Communications Commission","Agency Overall","2022","534","523","537","508"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","8","4","8","4"
"Nuclear Regulatory Commission","Agency Overall","2022","239","207","229","219"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","10","0","10"
"United States International Trade Commission","Agency Overall","2022","37","68","25","68"
"Institute of Museum and Library Services","Agency Overall","2022","40","30","41","31"
"National Labor Relations Board","Agency Overall","2022","1436","1963","1411","1940"
"Denali Commission","Agency Overall","2022","9","7","9","7"
"Federal Reserve System","Agency Overall","2022","637","666","654","658"
"Inter-American Foundation","Agency Overall","2022","8","8","7","9"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","3","9","3","7"
"National Transportation Safety Board","Agency Overall","2022","453","518","584","500"
"Federal Financial Institutions Examination Council","Agency Overall","2022","13","12","12","10"
"National Archives and Records Administration","Agency Overall","2022","7725","14975","6867","14977"
"Selective Service System","Agency Overall","2022","39","48","39","48"
"United States Copyright Office","Agency Overall","2022","49","54","47","57"
"Department of Transportation","Agency Overall","2022","15740","19090","14754","18958"
"Office of the Director of National Intelligence","Agency Overall","2022","441","499","651","429"
"Social Security Advisory Board","Agency Overall","2022","7","10","8","10"
"National Capital Planning Commission","Agency Overall","2022","8","6","8","6"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","3517","3727","3481","3877"
"Department of Agriculture","Agency Overall","2022","20956","17069","21815","17166"
"Farm Credit System Insurance Corporation","Agency Overall","2022","5","18","5","18"
"Department of Housing and Urban Development","Agency Overall","2022","1734","1819","2093","2031"
"Department of Energy","Agency Overall","2022","1492","1722","1408","1511"
"Department of Health and Human Services","Agency Overall","2022","33158","38462","32952","37241"
"Office of Personnel Management","Agency Overall","2022","640","456","842","508"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","19","26","18","25"
"National Council on Disability","Agency Overall","2022","13","16","13","16"
"Small Business Administration","Agency Overall","2022","18127","7844","15238","10828"
"Armed Forces Retirement Home","Agency Overall","2022","9","8","9","7"
"Office of the United States Trade Representative","Agency Overall","2022","93","67","97","73"
"Consumer Product Safety Commission","Agency Overall","2022","596","459","548","521"
"Department of Defense","Agency Overall","2022","52805","54004","50703","52222"
"Federal Election Commission","Agency Overall","2022","100","114","110","118"
"Equal Employment Opportunity Commission","Agency Overall","2022","15220","14040","15948","13263"
"Federal Open Market Committee","Agency Overall","2022","36","31","36","31"
"Environmental Protection Agency","Agency Overall","2022","6485","6636","6943","6630"
"U.S. Railroad Retirement Board","Agency Overall","2022","70","63","70","64"
"Administrative Conference of the United States","Agency Overall","2022","41","27","41","27"
"Commodity Futures Trading Commission","Agency Overall","2022","157","185","144","202"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","4","0","3","2"
"Postal Regulatory Commission","Agency Overall","2022","27","45","27","46"
"United States Access Board","Agency Overall","2022","8","10","1","11"
"Department of Education","Agency Overall","2022","2151","2372","2292","1462"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","4","0","3"
"National Mediation Board","Agency Overall","2022","20","20","19","19"
"U.S. International Development Finance Corporation","Agency Overall","2022","81","40","61","44"
"United States Institute of Peace","Agency Overall","2022","7","4","8","5"
"Securities and Exchange Commission","Agency Overall","2022","12363","10000","12171","9856"
"American Battle Monuments Commission","Agency Overall","2022","19","29","15","29"
"United States International Boundary and Water Commission","Agency Overall","2022","30","30","18","31"
"National Endowment for the Humanities","Agency Overall","2022","59","48","61","50"
"Federal Energy Regulatory Commission","Agency Overall","2022","37","103","35","84"
"Legal Services Corporation","Agency Overall","2022","25","27","22","29"
"Consumer Financial Protection Bureau","Agency Overall","2022","255","437","366","380"
"Department of Commerce","Agency Overall","2022","2274","1768","2195","1774"
"U.S. Agency for International Development","Agency Overall","2022","329","326","297","330"
"Surface Transportation Board","Agency Overall","2022","48","90","42","89"
"Department of the Treasury","Agency Overall","2022","10820","10594","10755","10431"
"National Endowment for the Arts","Agency Overall","2022","41","40","41","41"
"Department of Homeland Security","Agency Overall","2022","442650","542045","467347","500739"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","0","0"
"Office of Government Ethics","Agency Overall","2022","88","120","109","125"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","42","52","40","52"
"National Railroad Passenger Corporation","Agency Overall","2022","164","246","27","164"
"Federal Labor Relations Authority","Agency Overall","2022","101","166","97","136"
"All agencies","Agency Overall","2022","837938","930499","838382","873054"
