"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate","Number Adjudicated Within Ten Calendar Days"
"National Indian Gaming Commission","Agency Overall","2022","0","3","5","4","3"
"United States African Development Foundation","Agency Overall","2022","0","0","N/A","N/A","0"
"National Credit Union Administration","Agency Overall","2022","0","0","N/A","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2022","0","0","N/A","N/A","0"
"U.S. Election Assistance Commission","Agency Overall","2022","2","84","9","8","85"
"Federal Deposit Insurance Corporation","Agency Overall","2022","11","21","6.00","6.44","23"
"Office of National Drug Control Policy","Agency Overall","2022","0","0","N/A","N/A","0"
"Office of Navajo and Hopi Indian Relocation","Agency Overall","2022","0","0","N/A","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2022","0","0","N/A","N/A","0"
"Merit Systems Protection Board","Agency Overall","2022","0","7","1.0","1.57","7"
"Office of Special Counsel","Agency Overall","2022","7","2","2","2.22","9"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2022","0","0","N/A","N/A","0"
"Peace Corps","Agency Overall","2022","0","12","1","1","11"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2022","0","0","N/A","N/A","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2022","0","0","N/A","N/A","0"
"Federal Trade Commission","Agency Overall","2022","42","190","3","5.4","201"
"Department of Labor","Agency Overall","2022","55","117","8","39.6","92"
"Federal Communications Commission","Agency Overall","2022","40","31","5.0","6.62","59"
"James Madison Memorial Fellowship Foundation","Agency Overall","2022","0","0","N/A","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2022","1","27","1","<1","28"
"U.S. Interagency Council on Homelessness","Agency Overall","2022","0","0","N/A","N/A","0"
"United States International Trade Commission","Agency Overall","2022","0","0","N/A","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2022","2","0","6.5","6.5","2"
"National Labor Relations Board","Agency Overall","2022","366","78","1","2.54","432"
"Denali Commission","Agency Overall","2022","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2022","78","38","8","8","114"
"Inter-American Foundation","Agency Overall","2022","0","0","N/A","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2022","0","0","N/A","N/A","0"
"National Transportation Safety Board","Agency Overall","2022","0","3","38","31.33","1"
"Federal Financial Institutions Examination Council","Agency Overall","2022","0","3","9","9.3","2"
"National Archives and Records Administration","Agency Overall","2022","58","329","5","7","320"
"Selective Service System","Agency Overall","2022","0","0","N/A","N/A","0"
"United States Copyright Office","Agency Overall","2022","0","0","N/A","N/A","0"
"Department of Transportation","Agency Overall","2022","13","185","1","31.72","172"
"Office of the Director of National Intelligence","Agency Overall","2022","1","23","<1",".39","23"
"Social Security Advisory Board","Agency Overall","2022","0","0","N/A","N/A","0"
"National Capital Planning Commission","Agency Overall","2022","2","0","8.5","8.5","1"
"Pension Benefit Guaranty Corporation","Agency Overall","2022","0","84","9.0","10.87","50"
"Department of Agriculture","Agency Overall","2022","12","125","4","29.91","92"
"Farm Credit System Insurance Corporation","Agency Overall","2022","0","0","N/A","N/A","0"
"Department of Housing and Urban Development","Agency Overall","2022","27","85","5.00","13.48","76"
"Department of Energy","Agency Overall","2022","1","87","4","6.71","77"
"Department of Health and Human Services","Agency Overall","2022","220","1029","5.89","7.99","1193"
"Office of Personnel Management","Agency Overall","2022","0","5","1","2","5"
"Defense Nuclear Facilities Safety Board","Agency Overall","2022","0","0","N/A","N/A","0"
"National Council on Disability","Agency Overall","2022","0","6","5","4","6"
"Small Business Administration","Agency Overall","2022","74","367","24","76","186"
"Armed Forces Retirement Home","Agency Overall","2022","0","0","N/A","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2022","0","1","4","4","1"
"Consumer Product Safety Commission","Agency Overall","2022","56","69","9","9","118"
"Department of Defense","Agency Overall","2022","964","2372","2.00","11.16","2373"
"Federal Election Commission","Agency Overall","2022","0","1","33","33","0"
"Equal Employment Opportunity Commission","Agency Overall","2022","0","39","15.16666667","16.04","22"
"Federal Open Market Committee","Agency Overall","2022","0","0","N/A","N/A","0"
"Environmental Protection Agency","Agency Overall","2022","5","220","2","3.39","224"
"U.S. Railroad Retirement Board","Agency Overall","2022","0","0","N/A","N/A","0"
"Administrative Conference of the United States","Agency Overall","2022","0","0","N/A","N/A","0"
"Commodity Futures Trading Commission","Agency Overall","2022","0","7","5","5.43","7"
"U.S. Commission for the Preservation of America’s Heritage Abroad","Agency Overall","2022","0","0","N/A","N/A","0"
"Postal Regulatory Commission","Agency Overall","2022","3","0","2","2","3"
"United States Access Board","Agency Overall","2022","0","0","N/A","N/A","0"
"Department of Education","Agency Overall","2022","5","139","12","13.24","64"
"Federal Permitting Improvement Steering Council","Agency Overall","2022","0","0","N/A","N/A","0"
"National Mediation Board","Agency Overall","2022","0","0","0","0","0"
"U.S. International Development Finance Corporation","Agency Overall","2022","0","2","10","10","2"
"United States Institute of Peace","Agency Overall","2022","0","0","N/A","N/A","0"
"Securities and Exchange Commission","Agency Overall","2022","9","299","2","2.68","304"
"American Battle Monuments Commission","Agency Overall","2022","0","0","N/A","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2022","0","0","N/A","N/A","0"
"National Endowment for the Humanities","Agency Overall","2022","0","5","6","5.6","5"
"Federal Energy Regulatory Commission","Agency Overall","2022","0","1","8","8","1"
"Legal Services Corporation","Agency Overall","2022","2","0","1","1","0"
"Consumer Financial Protection Bureau","Agency Overall","2022","1","12","1","1.69","12"
"Department of Commerce","Agency Overall","2022","78","160","7","17.87","154"
"U.S. Agency for International Development","Agency Overall","2022","0","40","<1","0.4","40"
"Surface Transportation Board","Agency Overall","2022","0","14","1","2.64","13"
"Department of the Treasury","Agency Overall","2022","30","196","5","80.44","156"
"National Endowment for the Arts","Agency Overall","2022","0","0","N/A","N/A","0"
"Department of Homeland Security","Agency Overall","2022","124","24594","2","6","20819"
"Office of the Intellectual Property Enforcement Coordinator","Agency Overall","2022","0","0","N/A","N/A","0"
"Office of Government Ethics","Agency Overall","2022","29","0","6","5.2","29"
"Federal Mine Safety and Health Review Commission","Agency Overall","2022","0","1","1","1","1"
"National Railroad Passenger Corporation","Agency Overall","2022","16","0","19","79.06","6"
"Federal Labor Relations Authority","Agency Overall","2022","1","32","17","26.21","11"
"All agencies","Agency Overall","2022","3328","36939","N/A","N/A","NaN"
