"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Department of Defense","Agency Overall","2009","1998-10-21","2739","1998-09-02","2772","1998-08-07","2789","1998-06-09","2832","1998-01-19","2929","1997-12-03","2960","1997-10-15","2993","1997-08-11","3037","1997-03-17","3141","1997-01-23","3176"
"Department of Housing and Urban Development","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Government Ethics","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2009","2000-01-03","2455","1999-12-29","2458","1999-11-22","2484","1999-11-13","2490","1999-05-07","2620","1999-04-14","2636","1996-03-29","3402","1995-04-06","3650","1995-02-26","3678","1994-06-23","3848"
"Federal Maritime Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-14","16"
"U.S. Agency for International Development","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","875"
"Office of Personnel Management","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-08-26","35"
"Department of the Interior","Agency Overall","2009","2003-12-22","1561","2003-12-22","1561","2003-12-17","1564","2003-12-17","1564","2003-12-17","1564","2003-12-15","1566","2003-12-15","1566","2003-12-15","1566","2003-12-09","1570","2003-12-05","1572"
"United States International Boundary and Water Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Endowment for the Humanities","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-08-25","26","2009-07-21","50"
"Department of Energy","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-29","1","2009-09-29","1","2008-06-12","326","2007-06-20","572"
"Department of the Treasury","Agency Overall","2009","2008-07-03","454","2008-07-03","454","2008-02-25","530","2008-02-25","583","2007-09-18","743","2007-05-04","880","2004-11-24","1783","2004-11-24","1791","2004-11-04","1791","1995-12-27","4881"
"Federal Open Market Committee","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Indian Gaming Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Overseas Private Investment Corporation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Tennessee Valley Authority","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Environmental Protection Agency","Agency Overall","2009","2003-11-25","1465","2003-09-02","1523","2003-05-29","1589","2003-02-20","1658","2003-01-23","1677","2002-12-20","1698","2002-11-20","1719","2002-07-03","1815","2001-04-24","2122","2001-04-24","2122"
"National Aeronautics and Space Administration","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-08-06","55"
"National Mediation Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Securities and Exchange Commission","Agency Overall","2009","2009-05-28","127","2009-05-27","128","2009-05-04","144","2008-12-23","234","2008-10-30","270","2008-10-06","287","2008-07-01","354","2008-05-22","381","2007-11-21","507","2005-03-28","1174"
"General Services Administration","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Central Intelligence Agency","Agency Overall","2009","2001-01-22","3174","2000-12-28","3190","1999-11-24","3599","1999-11-10","3613","1998-10-27","3992","1998-09-08","4041","1995-12-01","5053","1995-11-29","5055","1995-07-10","5197","1995-04-26","5272"
"Council on Environmental Quality","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of National Drug Control Policy","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Communications Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","2009-09-28","2","2009-09-08","22","2009-06-24","98","2009-06-18","104","2009-02-13","229","2009-01-07","266","2008-01-31","608"
"Social Security Administration","Agency Overall","2009","N/A","0","2009-08-25","37","2009-08-24","38","2009-08-21","41","2009-08-21","41","2009-07-20","73","2009-06-26","97","2009-06-19","104","2009-06-10","113","2009-06-05","118"
"Federal Financial Institutions Examination Council","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Housing Finance Agency","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Credit Union Administration","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-29","1","2009-09-10","14"
"Institute of Museum and Library Services","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2009-09-24","4","2009-09-08","16","2009-07-31","42","2009-05-12","98"
"Inter-American Foundation","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Homeland Security","Agency Overall","2009","2005-08-30","1025","2005-08-29","1026","2005-08-29","1026","2005-08-29","1026","2005-05-02","1109","2005-03-10","1146","2005-03-03","1151","2005-02-08","1167","2005-02-08","1167","2003-05-19","1615"
"Export-Import Bank of the U.S.","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Education","Agency Overall","2009","2009-05-21","95","2009-05-21","95","2009-05-15","99","2009-05-07","105","2009-05-05","107","2009-04-22","116","2009-02-23","158","2009-02-05","170","2009-02-05","170","2008-12-05","214"
"Department of Commerce","Agency Overall","2009","2006-05-30","873","2006-02-14","948","2006-02-13","949","2005-12-09","995","2005-10-07","1034","2005-09-20","1053","2005-08-01","1089","2005-01-14","1230","2003-04-28","1679","2003-03-17","1709"
"Office of Science and Technology Policy","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Department of State","Agency Overall","2009","2005-06-21","1074","2005-04-25","1114","2005-02-22","1158","2005-02-07","1168","2004-12-08","1208","2004-12-08","1208","2004-12-08","1208","2004-09-28","1256","2004-09-28","1256","2004-09-28","1256"
"Selective Service System","Agency Overall","2009","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
