"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"Federal Energy Regulatory Commission","Agency Overall","2009","0","0","0","0","5","1","2","1","1","0","0","0","0","0"
"Department of Energy","Agency Overall","2009","2","4","1","2","7","4","0","0","0","0","0","0","0","0"
"Department of the Treasury","Agency Overall","2009","0","10","83","23","51","36","24","2","53","3","23","1","8","0"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","0","0","0","3","3","2","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2009","0","0","0","2","1","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2009","0","1","0","2","8","5","2","2","3","2","0","0","0","1"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2009","0","0","1","1","3","7","0","0","5","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2009","0","7","3","10","43","15","18","0","4","0","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2009","0","1","0","0","2","7","1","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2009","0","0","0","0","1","0","0","0","0","0","0","0","1","0"
"Securities and Exchange Commission","Agency Overall","2009","0","0","1","1","4","6","155","0","2","0","0","0","1","0"
"General Services Administration","Agency Overall","2009","0","0","2","3","2","2","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2009","73","5","78","0","5","4","0","0","3","1","1","0","0","0"
"Council on Environmental Quality","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","0","0","0","6","7","0","2","0","1","0","1","0","0","0"
"Social Security Administration","Agency Overall","2009","0","3","8","1","3","20","0","0","4","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","0","0","0","0","6","2","1","0","0","0","0","0","7","0"
"National Credit Union Administration","Agency Overall","2009","0","2","0","7","5","8","0","0","0","0","0","0","7","0"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","0","1","0","13","5","7","0","0","0","0","0","0","8","0"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","2","521","12","10","463","514","18","0","619","10","474","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2009","0","1","0","1","2","3","2","0","10","0","0","0","0","0"
"Department of Commerce","Agency Overall","2009","0","3","10","4","27","15","1","0","1","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2009","0","1","0","0","1","1","0","0","0","0","0","0","0","0"
"U.S. Department of State","Agency Overall","2009","109","5","80","4","25","47","6","0","5","1","2","0","0","0"
"Selective Service System","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2009","343","975","502","206","1040","1363","351","6","1542","245","657","135","36","1"
