"Agency","Component","Fiscal Year","Processing Costs","Litigation-Related Costs","Total Costs","Total Amount of Fees Collected","Percentage of Total Costs"
"Securities and Exchange Commission","Agency Overall","2009","3053486.00","369425.00","3422911.00","54540.00","1.7900"
"General Services Administration","Agency Overall","2009","2100345.00","10000.00","2110345.00","83986.00","4.0000"
"Surface Transportation Board","Agency Overall","2009","41603.00","0.00","41603.00","53.00","0.1300"
"Central Intelligence Agency","Agency Overall","2009","10000000.00","1720000.00","11720000.00","516.90","0.0100"
"Council on Environmental Quality","Agency Overall","2009","43000.00","9500.00","52500.00","0.00","0.0000"
"Office of National Drug Control Policy","Agency Overall","2009","20000.00","0.00","20000.00","0.00","0.0000"
"Federal Communications Commission","Agency Overall","2009","1821283.67","60852.00","1882135.67","19885.55","1.0900"
"Social Security Administration","Agency Overall","2009","5636099.00","35723.00","5671822.00","4179583.00","74.1600"
"Federal Financial Institutions Examination Council","Agency Overall","2009","3040.00","0.00","3040.00","0.00","0.0000"
"Federal Housing Finance Agency","Agency Overall","2009","150000.00","0.00","150000.00","36.00","0.0200"
"National Credit Union Administration","Agency Overall","2009","117450.00","1986.48","119436.48","3275.45","2.7900"
"Institute of Museum and Library Services","Agency Overall","2009","14245.00","0.00","14245.00","0.00","0.0000"
"Federal Deposit Insurance Corporation","Agency Overall","2009","2288000.00","27078.00","2315078.00","27055.14","1.1800"
"Inter-American Foundation","Agency Overall","2009","5000.00","0.00","5000.00","0.00","0.0000"
"United States Copyright Office","Agency Overall","2009","100416.00","0.00","100416.00","213.50","0.2100"
"Department of Homeland Security","Agency Overall","2009","40871432.56","2208352.19","43079784.75","339828.43","0.8300"
"Export-Import Bank of the U.S.","Agency Overall","2009","206000.00","0.00","206000.00","1760.00","0.8500"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","12000.00","0.00","12000.00","64.30","0.5400"
"United States International Trade Commission","Agency Overall","2009","20504.21","0.00","20504.21","1137.00","5.5500"
"Department of Education","Agency Overall","2009","3052151.00","282428.00","3334579.00","12010.00","0.3900"
"Department of Commerce","Agency Overall","2009","2650630.66","62733.80","2713364.46","69144.69","2.6100"
"Office of Science and Technology Policy","Agency Overall","2009","30000.00","0.00","30000.00","0.00","0.0000"
"U.S. Department of State","Agency Overall","2009","12238267.00","422923.00","12661190.00","10674.62","0.0900"
"Selective Service System","Agency Overall","2009","3532.00","0.00","3532.00","0.00","0.0000"
"All agencies","Agency Overall","2009","331141747.60","27291710.94","358433458.54","8796474.81","N/A"
