"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"Council on Environmental Quality","Agency Overall","2009","33","4","10","2","0","0","0","0","0","0","1","0","1","51"
"Office of National Drug Control Policy","Agency Overall","2009","38","0","0","0","0","0","0","0","0","0","0","0","0","38"
"Federal Communications Commission","Agency Overall","2009","390","149","72","9","11","2","3","2","2","7","8","1","3","659"
"Social Security Administration","Agency Overall","2009","24386","3234","332","498","747","498","166","332","664","164","0","0","0","31021"
"Federal Financial Institutions Examination Council","Agency Overall","2009","1","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Housing Finance Agency","Agency Overall","2009","53","11","1","0","0","0","0","0","0","0","0","0","0","65"
"National Credit Union Administration","Agency Overall","2009","102","10","2","0","0","0","0","0","0","0","0","0","0","114"
"Institute of Museum and Library Services","Agency Overall","2009","33","4","0","0","0","0","0","0","0","0","0","0","0","37"
"Federal Deposit Insurance Corporation","Agency Overall","2009","1235","37","1","2","0","0","0","0","0","0","0","0","0","1275"
"Inter-American Foundation","Agency Overall","2009","7","0","0","0","0","0","0","0","0","0","0","0","0","7"
"United States Copyright Office","Agency Overall","2009","17","3","0","0","0","0","1","0","1","1","5","4","0","32"
"Department of Homeland Security","Agency Overall","2009","19910","3935","2750","1740","2777","889","1176","1705","1439","1322","5539","1281","3126","47589"
"Export-Import Bank of the U.S.","Agency Overall","2009","15","24","20","9","2","2","0","0","0","1","1","0","0","74"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","47","0","0","0","0","0","0","0","0","0","0","0","0","47"
"United States International Trade Commission","Agency Overall","2009","32","16","2","0","0","0","0","0","0","0","0","0","0","50"
"Department of Education","Agency Overall","2009","914","202","79","28","20","16","11","5","6","4","50","33","28","1396"
"Department of Commerce","Agency Overall","2009","1226","403","47","13","6","2","1","3","0","1","1","0","0","1703"
"Office of Science and Technology Policy","Agency Overall","2009","16","4","1","0","0","1","0","0","1","0","0","0","1","24"
"U.S. Department of State","Agency Overall","2009","45","236","306","396","482","519","136","30","15","10","47","24","62","2308"
"Selective Service System","Agency Overall","2009","28","1","0","0","0","0","0","0","0","0","0","0","0","29"
"All agencies","Agency Overall","2009","198321","29609","12963","8114","6886","4577","3065","3367","3205","2321","9138","2267","5324","289157"
