"Agency","Component","Fiscal Year","No Records","Records Referred at Initial Request Level","Request Withdrawn","Fee-Related Reason","Records Not Reasonably Described","Improper Request for Other Reason","Not Agency Record","Duplicate Request or Appeal","Request in Litigation","Appeal Based Solely on Denial of Request for Expedited Processing","Other*"
"Department of the Treasury","Agency Overall","2009","51","1","1","9","2","13","0","1","0","0","49"
"Federal Open Market Committee","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"National Indian Gaming Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Overseas Private Investment Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2009","0","0","0","1","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2009","9","25","38","6","2","0","0","0","0","3","8"
"National Aeronautics and Space Administration","Agency Overall","2009","9","0","0","0","0","0","0","0","0","0","0"
"National Mediation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2009","8","1","1","0","0","0","0","0","0","0","5"
"General Services Administration","Agency Overall","2009","5","0","0","2","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2009","0","0","0","1","0","0","0","0","4","0","16"
"Council on Environmental Quality","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","2","0","6","7","0","2","1","0","1","0","0"
"Social Security Administration","Agency Overall","2009","1","0","0","0","0","1","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2009","2","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2009","2","0","2","0","0","0","0","0","0","0","2"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","91","27","77","6","0","114","5","20","12","8","88"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2009","16","5","6","1","0","7","0","0","8","0","0"
"Department of Commerce","Agency Overall","2009","10","1","8","11","0","6","1","3","0","3","0"
"Office of Science and Technology Policy","Agency Overall","2009","0","1","0","0","0","0","0","0","0","0","1"
"U.S. Department of State","Agency Overall","2009","7","1","2","0","0","0","0","2","5","0","16"
"Selective Service System","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2009","1182","181","308","150","24","281","59","139","141","67","1225"
