"Agency","Component","Fiscal Year","Simple - Median Number of Days","Simple - Average Number of Days","Simple - Lowest Number of Days","Simple - Highest Number of Days","Complex - Median Number of Days","Complex - Average Number of Days","Complex - Lowest Number of Days","Complex - Highest Number of Days","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days","Expedited Processing - Lowest Number of Days","Expedited Processing - Highest Number of Days"
"Central Intelligence Agency","Agency Overall","2009","11","36","N/A","1775","92","216","N/A","5005","173","173","7","338"
"Council on Environmental Quality","Agency Overall","2009","18","41","2","613","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2009","10","11","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Federal Communications Commission","Agency Overall","2009","20","32.62","1","492","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Social Security Administration","Agency Overall","2009","25","9","2","189","60","78","3","387","N/A","N/A","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2009","3","3","3","3","22","22","22","22","N/A","N/A","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2009","16","15","<1","33","42","50","20","139","34","40","33","52"
"National Credit Union Administration","Agency Overall","2009","11.5","12.8","<1","47","24","29.4","1","76","42","42","22","62"
"Institute of Museum and Library Services","Agency Overall","2009","12","13","5","30","65","64.5","44","85","N/A","N/A","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2009","<1","2","<1","68","<1","4","<1","128","18","20","3","46"
"Inter-American Foundation","Agency Overall","2009","12","12","9","15","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States Copyright Office","Agency Overall","2009","16","45","5","162","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Homeland Security","Agency Overall","2009","79.29","98.09","<1","1396","45","141.26","1","1869","34.44","85.38","1","315"
"Export-Import Bank of the U.S.","Agency Overall","2009","41","47","1","203","229","278","45","829","N/A","N/A","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","4","7","1","20","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"United States International Trade Commission","Agency Overall","2009","18","20","2","49","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Department of Education","Agency Overall","2009","14","45","1","851","32","57","1","477","56","56","56","56"
"Department of Commerce","Agency Overall","2009","12","15","1","256","52","119","10","762","20","18","5","40"
"Office of Science and Technology Policy","Agency Overall","2009","5","76.7","1","597","97","190.2","6","885","N/A","N/A","N/A","N/A"
"U.S. Department of State","Agency Overall","2009","61","127","1","1074","352","423","2","2383","85","191","21","720"
"Selective Service System","Agency Overall","2009","6","4","1","23","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
