"Agency","Component","Fiscal Year","Simple - Number Pending","Simple - Median Number of Days","Simple - Average Number of Days","Complex - Number Pending","Complex - Median Number of Days","Complex - Average Number of Days","Expedited Processing - Number Pending","Expedited Processing - Median Number of Days","Expedited Processing - Average Number of Days"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Department of Labor","Agency Overall","2009","390","16","53.28","673","20","30.33","2","200","202.5"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2009","0","N/A","N/A","164","65","82","8","118","125"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","7","4","15","0","N/A","N/A","0","N/A","N/A"
"Peace Corps","Agency Overall","2009","2","64","64","0","N/A","N/A","0","N/A","N/A"
"Department of Defense","Agency Overall","2009","3397","N/A","70","9684","N/A","536","44","N/A","107"
"Department of Housing and Urban Development","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Government Ethics","Agency Overall","2009","4","4.5","3.8","0","N/A","N/A","0","N/A","N/A"
"Consumer Product Safety Commission","Agency Overall","2009","65","46","68","289","61","91","0","N/A","N/A"
"Department of Health and Human Services","Agency Overall","2009","3547","260","74","13951","389","650","16","230","421"
"Federal Maritime Commission","Agency Overall","2009","15","164","167","0","N/A","N/A","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Office of Personnel Management","Agency Overall","2009","0","N/A","N/A","48","297","155","1","13","13"
"Department of the Interior","Agency Overall","2009","6","1","13","963","79","162","1","116","145"
"United States International Boundary and Water Commission","Agency Overall","2009","3","30","19","0","N/A","N/A","0","N/A","N/A"
"National Endowment for the Humanities","Agency Overall","2009","1","9","9","4","23","279","0","N/A","N/A"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Energy Regulatory Commission","Agency Overall","2009","13","29","46.15","6","37","34","8","116","202"
"Department of Energy","Agency Overall","2009","237","40","134","176","139","251","1","16","16"
"Department of the Treasury","Agency Overall","2009","55","9.5","8.5","1394","21","191.1","47","90","85"
"Federal Open Market Committee","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Indian Gaming Commission","Agency Overall","2009","0","N/A","N/A","6","13","27","0","N/A","N/A"
"Overseas Private Investment Corporation","Agency Overall","2009","1","38","38","0","N/A","N/A","0","N/A","N/A"
"Occupational Safety and Health Review Commission","Agency Overall","2009","4","5.5","7","0","N/A","N/A","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2009","10","3","6","9","27","64","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"National Science Foundation","Agency Overall","2009","16","10","18","0","N/A","N/A","0","N/A","N/A"
"Environmental Protection Agency","Agency Overall","2009","1322","20","112.99","73","38","160.41","3","8","234.33"
"National Aeronautics and Space Administration","Agency Overall","2009","35","57","66","396","57","106","0","N/A","N/A"
"National Mediation Board","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Securities and Exchange Commission","Agency Overall","2009","470","12","31","22","135","201","0","N/A","N/A"
"General Services Administration","Agency Overall","2009","114","15","23","0","N/A","N/A","0","N/A","N/A"
"Surface Transportation Board","Agency Overall","2009","1","9","9","0","N/A","N/A","0","N/A","N/A"
"Central Intelligence Agency","Agency Overall","2009","171","93","291","529","333","448","11","127","196"
"Council on Environmental Quality","Agency Overall","2009","5","1061","814","0","N/A","N/A","0","N/A","N/A"
"Office of National Drug Control Policy","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Communications Commission","Agency Overall","2009","57","23","71","0","N/A","N/A","0","N/A","N/A"
"Social Security Administration","Agency Overall","2009","798","40","69","51","52","35","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"Federal Housing Finance Agency","Agency Overall","2009","2","5","5","7","109","87","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2009","9","4","6.2","4","5","5.5","1","1","1"
"Institute of Museum and Library Services","Agency Overall","2009","5","2","5.8","0","N/A","N/A","0","N/A","N/A"
"Federal Deposit Insurance Corporation","Agency Overall","2009","152","65","45","68","40","33","4","58","62"
"Inter-American Foundation","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"United States Copyright Office","Agency Overall","2009","9","11","17","0","N/A","N/A","0","N/A","N/A"
"Department of Homeland Security","Agency Overall","2009","5470","72","95.62","16755","91","116.16","18","267","335.73"
"Export-Import Bank of the U.S.","Agency Overall","2009","10","18","23","19","100","128","0","N/A","N/A"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","1","8","8","0","N/A","N/A","0","N/A","N/A"
"United States International Trade Commission","Agency Overall","2009","3","11","8","0","N/A","N/A","0","N/A","N/A"
"Department of Education","Agency Overall","2009","359","18","51","59","38","66","0","57","57"
"Department of Commerce","Agency Overall","2009","87","10","24","165","34","103","1","51","51"
"Office of Science and Technology Policy","Agency Overall","2009","0","N/A","N/A","1","26","26","0","N/A","N/A"
"U.S. Department of State","Agency Overall","2009","4328","22","61","4466","336","392","17","383","631"
"Selective Service System","Agency Overall","2009","0","N/A","N/A","0","N/A","N/A","0","N/A","N/A"
"All agencies","Agency Overall","2009","28854","N/A","N/A","57654","N/A","N/A","277","N/A","N/A"
