"Agency","Component","Fiscal Year","<1-20 Days","21-40 Days","41-60 Days","61-80 Days","81-100 Days","101-120 Days","121-140 Days","141-160 Days","161-180 Days","181-200 Days","201-300 Days","301-400 Days","401+ Days","Total"
"U.S. Railroad Retirement Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Reserve System","Agency Overall","2009","295","122","69","31","10","9","7","5","3","9","4","1","0","565"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peace Corps","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","","0"
"Department of Defense","Agency Overall","2009","5241","2846","1803","1090","1454","1607","995","486","448","415","1555","506","1598","20044"
"Department of Housing and Urban Development","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Government Ethics","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2009","142","107","88","68","65","44","27","17","18","18","39","17","38","688"
"Department of Health and Human Services","Agency Overall","2009","1588","1356","572","418","295","253","244","274","263","208","921","613","2985","9990"
"Federal Maritime Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Agency for International Development","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Personnel Management","Agency Overall","2009","523","765","1851","65","32","9","8","10","3","1","1","4","45","3317"
"Department of the Interior","Agency Overall","2009","2348","685","216","111","89","42","30","26","25","15","55","12","61","3715"
"United States International Boundary and Water Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2009","7","4","0","0","1","0","0","0","0","0","0","0","0","12"
"Farm Credit System Insurance Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2009","16","22","3","0","0","0","0","0","0","0","0","0","0","41"
"Department of Energy","Agency Overall","2009","75","72","54","21","17","9","6","4","6","5","24","16","22","331"
"Department of the Treasury","Agency Overall","2009","8362","1780","734","244","128","59","55","57","22","22","141","63","260","11927"
"Federal Open Market Committee","Agency Overall","2009","1","0","0","1","0","0","0","0","0","0","0","0","0","2"
"National Indian Gaming Commission","Agency Overall","2009","5","4","2","5","0","2","0","0","0","0","0","0","0","18"
"Overseas Private Investment Corporation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Occupational Safety and Health Review Commission","Agency Overall","2009","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Tennessee Valley Authority","Agency Overall","2009","0","28","11","2","3","1","2","1","6","0","1","0","0","55"
"Postal Regulatory Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2009","32","127","66","23","10","7","4","4","2","1","10","9","8","303"
"National Aeronautics and Space Administration","Agency Overall","2009","228","73","43","72","17","19","32","7","34","8","17","18","19","587"
"National Mediation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Securities and Exchange Commission","Agency Overall","2009","3","1","1","0","0","0","1","0","0","0","0","2","10","18"
"General Services Administration","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2009","405","259","207","125","66","63","46","32","31","21","88","51","178","1572"
"Council on Environmental Quality","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of National Drug Control Policy","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Communications Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2009","99","93","85","76","40","38","29","22","16","19","12","1","0","530"
"Federal Financial Institutions Examination Council","Agency Overall","2009","0","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Federal Housing Finance Agency","Agency Overall","2009","7","10","7","1","1","1","1","0","0","0","0","0","0","28"
"National Credit Union Administration","Agency Overall","2009","28","21","8","5","0","0","0","0","0","0","0","0","0","62"
"Institute of Museum and Library Services","Agency Overall","2009","0","0","1","0","1","0","0","0","0","0","0","0","0","2"
"Federal Deposit Insurance Corporation","Agency Overall","2009","698","29","17","9","2","0","1","0","0","0","0","0","0","756"
"Inter-American Foundation","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Copyright Office","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Homeland Security","Agency Overall","2009","5407","4184","3584","1661","959","515","383","2167","2793","2846","13910","18477","34876","91762"
"Export-Import Bank of the U.S.","Agency Overall","2009","0","0","1","0","0","1","2","4","0","0","3","0","3","14"
"Federal Mine Safety and Health Review Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States International Trade Commission","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Education","Agency Overall","2009","283","176","92","66","52","38","40","23","18","9","29","1","8","835"
"Department of Commerce","Agency Overall","2009","11","128","61","26","21","18","13","12","5","9","24","18","19","365"
"Office of Science and Technology Policy","Agency Overall","2009","3","0","1","0","1","1","0","0","0","1","0","0","1","8"
"U.S. Department of State","Agency Overall","2009","3","23","32","40","48","49","42","42","66","45","227","157","481","1255"
"Selective Service System","Agency Overall","2009","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2009","91102","20472","12320","5533","4233","3504","2448","3568","4061","4144","17862","20372","41398","231017"
