"Agency","Component","Fiscal Year","Number Received During Fiscal Year from Last Year's Annual Report","Number Received During Fiscal Year from Current Annual Report","Number Processed During Fiscal Year from Last Year's Annual Report","Number Processed During Fiscal Year from Current Annual Report"
"Office of Personnel Management","Agency Overall","2018","38","47","31","62"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","0","0","0","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","0","0","0","0"
"Office of the Director of National Intelligence","Agency Overall","2018","49","17","36","11"
"United States Trade and Development Agency","Agency Overall","2018","0","0","0","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","0","0","0","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","1","0","1","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","0","0","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","14","10","15","10"
"National Railroad Passenger Corporation","Agency Overall","2018","5","2","10","5"
"Department of Health and Human Services","Agency Overall","2018","216","226","241","170"
"U.S. Department of State","Agency Overall","2018","270","195","376","228"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","1","0","1"
"Office of the United States Trade Representative","Agency Overall","2018","3","6","3","4"
"Federal Reserve System","Agency Overall","2018","13","6","14","5"
"U.S. Agency for International Development","Agency Overall","2018","5","21","9","16"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0","0","0"
"Small Business Administration","Agency Overall","2018","28","21","21","28"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","3","1","3","1"
"Presidio Trust","Agency Overall","2018","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","2","8","2","8"
"Farm Credit Administration","Agency Overall","2018","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2018","7","4","6","5"
"Department of Commerce","Agency Overall","2018","97","115","103","66"
"United States Institute of Peace","Agency Overall","2018","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","194","156","205","120"
"Overseas Private Investment Corporation","Agency Overall","2018","1","0","1","0"
"Selective Service System","Agency Overall","2018","1","0","1","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","1","3","1","3"
"United States International Boundary and Water Commission","Agency Overall","2018","1","1","1","1"
"Department of Justice","Agency Overall","2018","3192","4018","3270","4022"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0","0","0"
"United States Access Board","Agency Overall","2018","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","0","0"
"Office of Management and Budget","Agency Overall","2018","7","4","4","0"
"Federal Financial Institutions Examination Council","Agency Overall","2018","6","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","5","0","5","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","17","14","18","14"
"Central Intelligence Agency","Agency Overall","2018","220","277","219","219"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","0","1","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0"
"National Council on Disability","Agency Overall","2018","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","1","0","1"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","1","0","1","0"
"Federal Maritime Commission","Agency Overall","2018","0","1","0","1"
"National Labor Relations Board","Agency Overall","2018","11","14","12","13"
"National Aeronautics and Space Administration","Agency Overall","2018","27","9","25","15"
"Department of Veterans Affairs","Agency Overall","2018","424","354","481","342"
"Commission of Fine Arts","Agency Overall","2018","0","0","0","0"
"Department of Energy","Agency Overall","2018","42","53","42","56"
"Environmental Protection Agency","Agency Overall","2018","224","183","204","187"
"National Endowment for the Humanities","Agency Overall","2018","2","2","2","2"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0","0","0"
"Department of Labor","Agency Overall","2018","228","239","306","271"
"Federal Labor Relations Authority","Agency Overall","2018","2","0","2","0"
"National Science Foundation","Agency Overall","2018","2","4","2","4"
"Federal Energy Regulatory Commission","Agency Overall","2018","10","8","9","6"
"Federal Trade Commission","Agency Overall","2018","28","24","25","24"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","4","0","4","0"
"Marine Mammal Commission","Agency Overall","2018","0","0","0","0"
"Office of Special Counsel","Agency Overall","2018","1","12","15","13"
"United States Postal Service","Agency Overall","2018","127","161","114","170"
"Equal Employment Opportunity Commission","Agency Overall","2018","328","318","321","326"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","0","4","0","4"
"Department of the Interior","Agency Overall","2018","206","204","125","241"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","2","0","2","0"
"Denali Commission","Agency Overall","2018","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2018","75","76","60","84"
"United States Copyright Office","Agency Overall","2018","1","2","1","2"
"Social Security Administration","Agency Overall","2018","211","507","238","477"
"National Transportation Safety Board","Agency Overall","2018","26","14","25","20"
"Administrative Conference of the United States","Agency Overall","2018","0","0","0","0"
"National Credit Union Administration","Agency Overall","2018","5","2","5","2"
"Surface Transportation Board","Agency Overall","2018","1","2","1","2"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2018","11","7","10","8"
"Council on Environmental Quality","Agency Overall","2018","2","2","0","3"
"Department of Transportation","Agency Overall","2018","141","77","100","90"
"National Endowment for the Arts","Agency Overall","2018","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2018","0","1","0","1"
"Consumer Product Safety Commission","Agency Overall","2018","15","10","12","12"
"Department of Defense","Agency Overall","2018","1171","1146","1260","1147"
"Millennium Challenge Corporation","Agency Overall","2018","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2018","2","0","2","0"
"Social Security Advisory Board","Agency Overall","2018","0","0","0","0"
"Federal Election Commission","Agency Overall","2018","8","7","9","3"
"All agencies","Agency Overall","2018","14567","15599","14701","15163"
