"Agency","Component","Fiscal Year","Ex. 1","Ex. 2","Ex. 3","Ex. 4","Ex. 5","Ex. 6","Ex. 7(A)","Ex. 7(B)","Ex. 7(C)","Ex. 7(D)","Ex. 7(E)","Ex. 7(F)","Ex. 8","Ex. 9"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Small Business Administration","Agency Overall","2018","0","0","1","2","3","1","0","0","0","0","0","0","1","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Presidio Trust","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","0","0","0","0","2","3","0","0","0","0","0","0","0","0"
"Farm Credit Administration","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Housing Finance Agency","Agency Overall","2018","0","0","0","0","0","1","0","0","2","0","1","0","0","0"
"Department of Commerce","Agency Overall","2018","0","0","4","3","4","9","1","0","5","0","0","0","0","0"
"United States Institute of Peace","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","2","0","0","1","9","13","0","0","8","0","5","3","0","0"
"Overseas Private Investment Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Selective Service System","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"United States International Boundary and Water Commission","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Department of Justice","Agency Overall","2018","30","0","65","5","45","263","38","0","189","44","185","50","0","0"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"United States Access Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","0","0","0","2","0","0","0","0","0","0","0","0","0","0"
"Central Intelligence Agency","Agency Overall","2018","78","1","79","0","2","8","0","0","1","1","1","0","0","0"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Council on Disability","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2018","0","0","1","0","1","0","1","0","1","1","0","0","0","0"
"National Labor Relations Board","Agency Overall","2018","0","0","0","0","2","3","4","0","2","1","0","0","0","0"
"National Aeronautics and Space Administration","Agency Overall","2018","0","0","1","0","5","3","1","0","1","0","0","0","0","0"
"Department of Veterans Affairs","Agency Overall","2018","0","0","4","5","22","89","6","0","14","0","1","1","0","0"
"Commission of Fine Arts","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Energy","Agency Overall","2018","2","0","2","1","10","3","2","0","1","0","0","0","0","0"
"Environmental Protection Agency","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Endowment for the Humanities","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Department of Labor","Agency Overall","2018","0","0","0","2","5","3","7","0","12","5","0","0","0","0"
"Federal Labor Relations Authority","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Science Foundation","Agency Overall","2018","0","0","0","1","2","1","0","0","0","0","0","0","0","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","0","0","1","0","1","1","0","0","0","0","0","1","0","0"
"Federal Trade Commission","Agency Overall","2018","0","0","4","2","4","2","5","0","0","0","1","0","0","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2018","0","0","0","0","2","0","2","0","2","0","0","0","0","0"
"United States Postal Service","Agency Overall","2018","0","2","50","4","9","44","1","0","10","1","1","0","0","0"
"Equal Employment Opportunity Commission","Agency Overall","2018","0","0","92","0","53","10","37","0","77","1","1","0","0","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","0","0","0","0","2","2","0","0","0","0","0","0","0","0"
"Department of the Interior","Agency Overall","2018","0","0","0","2","7","11","2","0","11","0","0","0","0","0"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Denali Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2018","8","0","4","0","2","4","0","0","3","3","2","3","0","0"
"United States Copyright Office","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Administration","Agency Overall","2018","0","0","0","0","1","107","0","0","0","0","0","0","0","0"
"National Transportation Safety Board","Agency Overall","2018","0","0","0","0","5","1","4","0","0","0","0","0","0","0"
"Administrative Conference of the United States","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2018","0","0","0","0","0","0","2","0","0","0","0","0","0","0"
"Surface Transportation Board","Agency Overall","2018","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2018","0","0","0","2","8","0","0","0","0","0","0","0","0","0"
"Council on Environmental Quality","Agency Overall","2018","0","0","0","0","8","0","0","0","0","0","0","0","0","0"
"Department of Transportation","Agency Overall","2018","0","0","3","3","11","9","1","0","1","1","0","1","0","0"
"National Endowment for the Arts","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2018","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Consumer Product Safety Commission","Agency Overall","2018","0","0","8","3","4","7","0","0","1","1","1","1","0","0"
"Department of Defense","Agency Overall","2018","111","5","97","8","43","74","3","1","27","1","4","0","0","0"
"Millennium Challenge Corporation","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2018","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"All agencies","Agency Overall","2018","254","27","1016","107","949","3053","484","244","3251","87","3692","95","21","1"
