"Agency","Component","Fiscal Year","Number Granted","Number Denied","Median Number of Days to Adjudicate","Average Number of Days to Adjudicate"
"Appraisal Subcommittee","Agency Overall","2018","0","0","N/A","N/A"
"U.S. Railroad Retirement Board","Agency Overall","2018","0","0","N/A","N/A"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","0","1","193","193"
"Federal Deposit Insurance Corporation","Agency Overall","2018","1","5","11.5","11.83"
"National Railroad Passenger Corporation","Agency Overall","2018","1","0","4","4"
"Department of Health and Human Services","Agency Overall","2018","44","191","2.74","7.41"
"U.S. Department of State","Agency Overall","2018","6","16","1.03","77.267"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","0","N/A","N/A"
"Office of the United States Trade Representative","Agency Overall","2018","0","0","N/A","N/A"
"Federal Reserve System","Agency Overall","2018","0","0","N/A","N/A"
"U.S. Agency for International Development","Agency Overall","2018","9","36","1","27.87"
"U.S. Election Assistance Commission","Agency Overall","2018","0","0","N/A","N/A"
"Small Business Administration","Agency Overall","2018","56","32","10","21.26"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","4","0","21.5","23.25"
"Presidio Trust","Agency Overall","2018","0","0","N/A","N/A"
"Office of Science and Technology Policy","Agency Overall","2018","0","0","N/A","N/A"
"Farm Credit Administration","Agency Overall","2018","5","0","4","3.2"
"Federal Housing Finance Agency","Agency Overall","2018","4","8","2","5.33"
"Department of Commerce","Agency Overall","2018","269","110","3","10.43"
"United States Institute of Peace","Agency Overall","2018","0","0","N/A","N/A"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0","N/A","N/A"
"Nuclear Regulatory Commission","Agency Overall","2018","12","133","N/A","2.77"
"Overseas Private Investment Corporation","Agency Overall","2018","0","0","N/A","N/A"
"Selective Service System","Agency Overall","2018","0","0","N/A","N/A"
"Export-Import Bank of the U.S.","Agency Overall","2018","12","7","1","1.74"
"United States International Boundary and Water Commission","Agency Overall","2018","3","1","27.5","30"
"Department of Justice","Agency Overall","2018","104","700","3","8.03"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0","N/A","N/A"
"United States Access Board","Agency Overall","2018","0","0","N/A","N/A"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","N/A","N/A"
"Office of Management and Budget","Agency Overall","2018","0","0","N/A","N/A"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0","N/A","N/A"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","0","N/A","N/A"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","4","17","3","5"
"Central Intelligence Agency","Agency Overall","2018","0","0","N/A","N/A"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","5","0","4","4"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","N/A","N/A"
"National Council on Disability","Agency Overall","2018","0","0","N/A","N/A"
"Postal Regulatory Commission","Agency Overall","2018","17","0","12","15"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","N/A","N/A"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0","N/A","N/A"
"Federal Maritime Commission","Agency Overall","2018","0","0","N/A","N/A"
"National Labor Relations Board","Agency Overall","2018","5","166","4","14.99"
"National Aeronautics and Space Administration","Agency Overall","2018","7","15","4.5","13.77"
"Department of Veterans Affairs","Agency Overall","2018","292","93","7","20.57"
"Commission of Fine Arts","Agency Overall","2018","7","0","8","7"
"Department of Energy","Agency Overall","2018","96","15","4","21.34"
"Environmental Protection Agency","Agency Overall","2018","381","425","6","8.07"
"National Endowment for the Humanities","Agency Overall","2018","0","0","N/A","N/A"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0","N/A","N/A"
"Department of Labor","Agency Overall","2018","355","591","15","56"
"Federal Labor Relations Authority","Agency Overall","2018","0","15","2","3.87"
"National Science Foundation","Agency Overall","2018","1","0","7","7"
"Federal Energy Regulatory Commission","Agency Overall","2018","0","0","N/A","N/A"
"Federal Trade Commission","Agency Overall","2018","15","8","7","24.96"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","0","0","N/A","N/A"
"Marine Mammal Commission","Agency Overall","2018","0","0","N/A","N/A"
"Office of Special Counsel","Agency Overall","2018","0","0","N/A","N/A"
"United States Postal Service","Agency Overall","2018","19","93","2","4.23"
"Equal Employment Opportunity Commission","Agency Overall","2018","25","198","2","13.43"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","0","2","49","49"
"Department of the Interior","Agency Overall","2018","673","38","N/A","9"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","1","0","22","22"
"Denali Commission","Agency Overall","2018","0","0","N/A","N/A"
"National Archives and Records Administration","Agency Overall","2018","29","62","2","9.08"
"United States Copyright Office","Agency Overall","2018","4","3","3","4.75"
"Social Security Administration","Agency Overall","2018","13","126","6","9"
"National Transportation Safety Board","Agency Overall","2018","2","0","227.5","227.5"
"Administrative Conference of the United States","Agency Overall","2018","0","0","N/A","N/A"
"National Credit Union Administration","Agency Overall","2018","3","0","5","4.33"
"Surface Transportation Board","Agency Overall","2018","0","0","N/A","N/A"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","N/A","N/A"
"Tennessee Valley Authority","Agency Overall","2018","0","0","N/A","N/A"
"Council on Environmental Quality","Agency Overall","2018","0","0","N/A","N/A"
"Department of Transportation","Agency Overall","2018","63","113","1","13"
"National Endowment for the Arts","Agency Overall","2018","0","0","N/A","N/A"
"Federal Open Market Committee","Agency Overall","2018","2","0","4","4"
"Consumer Product Safety Commission","Agency Overall","2018","29","0","1","1.07"
"Department of Defense","Agency Overall","2018","1832","814","2.55","8.91"
"Millennium Challenge Corporation","Agency Overall","2018","0","0","N/A","N/A"
"American Battle Monuments Commission","Agency Overall","2018","0","0","N/A","N/A"
"Social Security Advisory Board","Agency Overall","2018","0","0","N/A","N/A"
"Federal Election Commission","Agency Overall","2018","6","0","1","1.6"
"All agencies","Agency Overall","2018","7875","5467","N/A","N/A"
