"Agency","Component","Fiscal Year","Number Affirmed on Appeal","Number Partially Affirmed & Partially Reversed/Remanded on Appeal","Number Completely Reversed/Remanded on Appeal","Number of Appeals Closed for Other Reasons","Total"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0","0","0","0"
"Office of Management and Budget","Agency Overall","2018","0","0","0","0","0"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","0","0","0","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","0","0","0","0","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","9","0","0","5","14"
"Central Intelligence Agency","Agency Overall","2018","74","14","3","128","219"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","0","1","0","0","1"
"Advisory Council on Historic Preservation","Agency Overall","2018","0","0","0","0","0"
"National Council on Disability","Agency Overall","2018","0","0","0","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","1","0","0","1"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0","0","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","0","0","0","0","0"
"Federal Maritime Commission","Agency Overall","2018","1","0","0","0","1"
"National Labor Relations Board","Agency Overall","2018","5","3","2","3","13"
"National Aeronautics and Space Administration","Agency Overall","2018","4","4","3","4","15"
"Department of Veterans Affairs","Agency Overall","2018","86","16","85","155","342"
"Commission of Fine Arts","Agency Overall","2018","0","0","0","0","0"
"Department of Energy","Agency Overall","2018","14","14","4","24","56"
"Environmental Protection Agency","Agency Overall","2018","33","19","41","94","187"
"National Endowment for the Humanities","Agency Overall","2018","2","0","0","0","2"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0","0","0","0"
"Department of Labor","Agency Overall","2018","11","12","47","201","271"
"Federal Labor Relations Authority","Agency Overall","2018","0","0","0","0","0"
"National Science Foundation","Agency Overall","2018","1","3","0","0","4"
"Federal Energy Regulatory Commission","Agency Overall","2018","0","2","2","2","6"
"Federal Trade Commission","Agency Overall","2018","18","1","3","2","24"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","0","0","0","0","0"
"Marine Mammal Commission","Agency Overall","2018","0","0","0","0","0"
"Office of Special Counsel","Agency Overall","2018","5","1","5","2","13"
"United States Postal Service","Agency Overall","2018","76","31","35","28","170"
"Equal Employment Opportunity Commission","Agency Overall","2018","113","28","34","151","326"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","2","0","2","0","4"
"Department of the Interior","Agency Overall","2018","26","13","49","153","241"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","0","0","0","0"
"Denali Commission","Agency Overall","2018","0","0","0","0","0"
"National Archives and Records Administration","Agency Overall","2018","37","14","10","23","84"
"United States Copyright Office","Agency Overall","2018","2","0","0","0","2"
"Social Security Administration","Agency Overall","2018","79","81","127","190","477"
"National Transportation Safety Board","Agency Overall","2018","5","3","1","11","20"
"Administrative Conference of the United States","Agency Overall","2018","0","0","0","0","0"
"National Credit Union Administration","Agency Overall","2018","2","0","0","0","2"
"Surface Transportation Board","Agency Overall","2018","2","0","0","0","2"
"Institute of Museum and Library Services","Agency Overall","2018","0","0","0","0","0"
"Tennessee Valley Authority","Agency Overall","2018","7","1","0","0","8"
"Council on Environmental Quality","Agency Overall","2018","1","0","2","0","3"
"Department of Transportation","Agency Overall","2018","23","19","15","33","90"
"National Endowment for the Arts","Agency Overall","2018","0","0","0","0","0"
"Federal Open Market Committee","Agency Overall","2018","0","1","0","0","1"
"Consumer Product Safety Commission","Agency Overall","2018","6","4","2","0","12"
"Department of Defense","Agency Overall","2018","397","113","269","368","1147"
"Millennium Challenge Corporation","Agency Overall","2018","0","0","0","0","0"
"American Battle Monuments Commission","Agency Overall","2018","0","0","0","0","0"
"Social Security Advisory Board","Agency Overall","2018","0","0","0","0","0"
"Federal Election Commission","Agency Overall","2018","3","0","0","0","3"
"All agencies","Agency Overall","2018","6181","2329","2946","3707","15163"
