"Agency","Component","Fiscal Year","Number of ""Full-Time FOIA Employees""","Number of ""Equivalent Full-Time FOIA Employees""","Total Number of ""Full-Time FOIA Staff"""
"National Archives and Records Administration","Agency Overall","2018","0","59.51","59.51"
"United States Copyright Office","Agency Overall","2018","0","0.08","0.08"
"Social Security Administration","Agency Overall","2018","3","36.00","39.00"
"National Transportation Safety Board","Agency Overall","2018","5","2.00","7.00"
"Administrative Conference of the United States","Agency Overall","2018","0","0.05","0.05"
"National Credit Union Administration","Agency Overall","2018","0","2.03","2.03"
"Surface Transportation Board","Agency Overall","2018","0","0.30","0.30"
"Institute of Museum and Library Services","Agency Overall","2018","0","0.25","0.25"
"Tennessee Valley Authority","Agency Overall","2018","1","0.50","1.50"
"Council on Environmental Quality","Agency Overall","2018","0","1.50","1.50"
"Department of Transportation","Agency Overall","2018","43","58.26","101.26"
"National Endowment for the Arts","Agency Overall","2018","0","1.50","1.50"
"Federal Open Market Committee","Agency Overall","2018","0","0.40","0.40"
"Consumer Product Safety Commission","Agency Overall","2018","7","5.00","12.00"
"Department of Defense","Agency Overall","2018","517","436.70","953.70"
"Millennium Challenge Corporation","Agency Overall","2018","0","2.50","2.50"
"American Battle Monuments Commission","Agency Overall","2018","0","0.10","0.10"
"Social Security Advisory Board","Agency Overall","2018","0","0.05","0.05"
"Federal Election Commission","Agency Overall","2018","0","1.87","1.87"
"All agencies","Agency Overall","2018","2739","2165.3","4904.3"
