"Agency","Component","Fiscal Year","Number of Backlogged Requests as of End of Fiscal Year","Number of Backlogged Appeals as of End of Fiscal Year"
"United States Trade and Development Agency","Agency Overall","2018","28","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","50","0"
"Appraisal Subcommittee","Agency Overall","2018","0","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","9","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","4","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","1","0"
"National Railroad Passenger Corporation","Agency Overall","2018","64","2"
"Department of Health and Human Services","Agency Overall","2018","6306","421"
"U.S. Department of State","Agency Overall","2018","10400","367"
"Occupational Safety and Health Review Commission","Agency Overall","2018","0","0"
"Office of the United States Trade Representative","Agency Overall","2018","11","0"
"Federal Reserve System","Agency Overall","2018","17","2"
"U.S. Agency for International Development","Agency Overall","2018","273","4"
"U.S. Election Assistance Commission","Agency Overall","2018","5","0"
"Small Business Administration","Agency Overall","2018","45","1"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","3","0"
"Presidio Trust","Agency Overall","2018","0","0"
"Office of Science and Technology Policy","Agency Overall","2018","56","0"
"Farm Credit Administration","Agency Overall","2018","0","0"
"Federal Housing Finance Agency","Agency Overall","2018","19","0"
"Department of Commerce","Agency Overall","2018","572","82"
"United States Institute of Peace","Agency Overall","2018","0","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","0","0"
"Nuclear Regulatory Commission","Agency Overall","2018","122","20"
"Overseas Private Investment Corporation","Agency Overall","2018","9","0"
"Selective Service System","Agency Overall","2018","0","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","41","0"
"United States International Boundary and Water Commission","Agency Overall","2018","7","0"
"Department of Justice","Agency Overall","2018","17411","161"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","0","0"
"United States Access Board","Agency Overall","2018","0","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","0","0"
"Office of Management and Budget","Agency Overall","2018","510","11"
"Federal Financial Institutions Examination Council","Agency Overall","2018","0","6"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","10","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","0","0"
"Central Intelligence Agency","Agency Overall","2018","2009","158"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","1","0"
"Advisory Council on Historic Preservation","Agency Overall","2018","3","0"
"National Council on Disability","Agency Overall","2018","0","0"
"Postal Regulatory Commission","Agency Overall","2018","0","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","0","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","3","0"
"Federal Maritime Commission","Agency Overall","2018","2","0"
"National Labor Relations Board","Agency Overall","2018","87","0"
"National Aeronautics and Space Administration","Agency Overall","2018","27","N/A"
"Department of Veterans Affairs","Agency Overall","2018","4659","89"
"Commission of Fine Arts","Agency Overall","2018","0","0"
"Department of Energy","Agency Overall","2018","498","8"
"Environmental Protection Agency","Agency Overall","2018","2761","132"
"National Endowment for the Humanities","Agency Overall","2018","0","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","0","0"
"Department of Labor","Agency Overall","2018","816","320"
"Federal Labor Relations Authority","Agency Overall","2018","0","0"
"National Science Foundation","Agency Overall","2018","248","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","31","1"
"Federal Trade Commission","Agency Overall","2018","6","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","1","0"
"Marine Mammal Commission","Agency Overall","2018","1","0"
"Office of Special Counsel","Agency Overall","2018","112","0"
"United States Postal Service","Agency Overall","2018","62","5"
"Equal Employment Opportunity Commission","Agency Overall","2018","2092","6"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","28","0"
"Department of the Interior","Agency Overall","2018","3191","366"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","0","0"
"Denali Commission","Agency Overall","2018","0","0"
"National Archives and Records Administration","Agency Overall","2018","1810","154"
"United States Copyright Office","Agency Overall","2018","5","0"
"Social Security Administration","Agency Overall","2018","149","17"
"National Transportation Safety Board","Agency Overall","2018","658","1"
"Administrative Conference of the United States","Agency Overall","2018","0","0"
"National Credit Union Administration","Agency Overall","2018","12","0"
"Surface Transportation Board","Agency Overall","2018","0","0"
"Institute of Museum and Library Services","Agency Overall","2018","8","0"
"Tennessee Valley Authority","Agency Overall","2018","11","0"
"Council on Environmental Quality","Agency Overall","2018","51","1"
"Department of Transportation","Agency Overall","2018","2634","98"
"National Endowment for the Arts","Agency Overall","2018","0","0"
"Federal Open Market Committee","Agency Overall","2018","0","0"
"Consumer Product Safety Commission","Agency Overall","2018","265","1"
"Department of Defense","Agency Overall","2018","11391","919"
"Millennium Challenge Corporation","Agency Overall","2018","2","0"
"American Battle Monuments Commission","Agency Overall","2018","0","0"
"Social Security Advisory Board","Agency Overall","2018","0","0"
"Federal Election Commission","Agency Overall","2018","72","9"
"All agencies","Agency Overall","2018","130718","NaN"
