"Agency","Component","Fiscal Year","Date","10th Oldest Number of Days Pending","Date","9th Oldest Number of Days Pending","Date","8th Oldest Number of Days Pending","Date","7th Oldest Number of Days Pending","Date","6th Oldest Number of Days Pending","Date","5th Oldest Number of Days Pending","Date","4th Oldest Number of Days Pending","Date","3rd Oldest Number of Days Pending","Date","2nd Oldest Number of Days Pending","Date","Oldest Number of Days Pending"
"Federal Communications Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Legal Services Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Trade Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Inter-American Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Retirement Thrift Investment Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Treasury","Agency Overall","2018","2018-06-06","77","2018-05-14","81","2018-03-19","97","2018-02-23","153","2017-12-01","209","2017-12-01","209","2017-02-27","402","2016-05-16","597","2016-02-09","665","2014-08-05","1043"
"Office of Personnel Management","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Gulf Coast Ecosystem Restoration Council","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"James Madison Memorial Fellowship Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Director of National Intelligence","Agency Overall","2018","2017-09-18","260","2017-09-14","262","2017-08-21","279","2017-08-08","288","2017-08-08","288","2017-07-25","298","2017-04-17","367","2016-07-19","553","2016-06-23","570","2015-12-22","697"
"United States Trade and Development Agency","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council of the Inspectors General on Integrity and Efficiency","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Appraisal Subcommittee","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Railroad Retirement Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Committee for Purchase from People Who Are Blind or Severely Disabled","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Deposit Insurance Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Railroad Passenger Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Health and Human Services","Agency Overall","2018","2017-04-05","375","2017-03-27","382","2017-02-27","402","2017-01-12","432","2016-12-16","449","2016-09-12","515","2016-09-07","518","2016-05-05","604","2016-03-01","651","2015-10-06","749"
"U.S. Department of State","Agency Overall","2018","2014-07-09","1067","2014-06-16","1083","2014-06-16","1083","2014-05-20","1101","2014-05-14","1105","2014-05-14","1105","2014-04-28","1117","2014-04-01","1136","2014-03-26","1140","2013-01-29","1430"
"Occupational Safety and Health Review Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the United States Trade Representative","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Reserve System","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-08-27","24","2018-08-22","27","2018-08-13","34","2018-05-14","97"
"U.S. Agency for International Development","Agency Overall","2018","N/A","0","N/A","0","N/A","0","2018-09-26","2","2018-09-20","6","2018-06-11","77","2018-06-07","79","2018-06-05","81","2018-05-21","91","2018-05-07","101"
"U.S. Election Assistance Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Small Business Administration","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Corporation for National and Community Service (operating as AmeriCorps)","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Presidio Trust","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Science and Technology Policy","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit Administration","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Housing Finance Agency","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Commerce","Agency Overall","2018","2017-12-04","207","2017-09-18","259","2015-07-21","802","2015-07-20","803","2015-07-20","803","2015-07-16","805","2015-07-16","805","2015-07-16","805","2014-12-10","954","2013-08-22","1279"
"United States Institute of Peace","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Nuclear Waste Technical Review Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Nuclear Regulatory Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-14","10"
"Overseas Private Investment Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Selective Service System","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Export-Import Bank of the U.S.","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States International Boundary and Water Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Justice","Agency Overall","2018","2015-11-09","725","2015-09-11","765","2015-08-24","778","2015-06-29","817","2015-06-25","819","2015-06-15","827","2015-05-14","848","2015-03-17","890","2014-11-17","970","2014-06-05","1083"
"Morris K. Udall and Stewart L. Udall Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Access Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Interagency Council on Homelessness","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Management and Budget","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-26","0","2018-08-16","31","2018-08-08","37","2018-07-18","52","2017-04-06","375"
"Federal Financial Institutions Examination Council","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Privacy and Civil Liberties Oversight Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Pension Benefit Guaranty Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Central Intelligence Agency","Agency Overall","2018","2014-03-31","1132","2014-02-27","1167","2013-09-13","1266","2013-09-13","1266","2013-06-19","1326","2013-04-11","1374","2011-12-09","1709","2011-10-12","1749","2011-08-09","1793","2010-03-18","2144"
"Defense Nuclear Facilities Safety Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Advisory Council on Historic Preservation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Council on Disability","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Postal Regulatory Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Farm Credit System Insurance Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Neighborhood Reinvestment Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Maritime Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Labor Relations Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Aeronautics and Space Administration","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Veterans Affairs","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-18","8","2018-09-18","8","2018-06-19","71","2017-11-15","219","2017-06-22","319","2016-09-15","511"
"Commission of Fine Arts","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Energy","Agency Overall","2018","2016-12-06","456","2016-11-01","479","2016-10-13","492","2016-08-25","525","2016-08-11","535","2016-03-30","629","2016-01-21","677","2015-05-22","842","2015-05-22","842","2012-08-02","1552"
"Environmental Protection Agency","Agency Overall","2018","N/A","0","N/A","0","N/A","0","2018-09-24","4","2018-09-19","7","2018-09-17","9","2018-09-12","12","2018-06-13","75","2017-09-12","263","2017-09-11","264"
"National Endowment for the Humanities","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"U.S. Commission on Civil Rights","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Labor","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-11","4","2018-09-08","34","2018-08-06","38","2016-04-05","374"
"Federal Labor Relations Authority","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Science Foundation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Energy Regulatory Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2017-05-05","352"
"Federal Trade Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of the Special Inspector General for Afghanistan Reconstruction","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Marine Mammal Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Office of Special Counsel","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Postal Service","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Equal Employment Opportunity Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Chemical Safety and Hazard Investigation Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of the Interior","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","2018-09-27","1","2018-09-27","1","2018-09-26","2","2018-07-03","61"
"Federal Mine Safety and Health Review Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Denali Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Archives and Records Administration","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"United States Copyright Office","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Administration","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Transportation Safety Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Administrative Conference of the United States","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"National Credit Union Administration","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Surface Transportation Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Institute of Museum and Library Services","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Tennessee Valley Authority","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Council on Environmental Quality","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Transportation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","2018-04-20","112","2018-01-23","174","2017-11-07","224","2016-12-07","455","2016-09-15","511","2015-10-27","734","2015-07-22","801"
"National Endowment for the Arts","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Open Market Committee","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Consumer Product Safety Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Department of Defense","Agency Overall","2018","2012-02-12","1664","2012-01-05","1690","2012-01-05","1690","2011-06-24","1823","2011-03-14","1896","2011-03-10","1898","2011-02-25","1907","2011-02-16","1913","2011-01-19","1933","2010-03-24","2139"
"Millennium Challenge Corporation","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"American Battle Monuments Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Social Security Advisory Board","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
"Federal Election Commission","Agency Overall","2018","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0","N/A","0"
